
[00:00:00.000 --> 00:00:07.000]  我是筲箕灣鎮信會的五十年前的牧師
[00:00:07.000 --> 00:00:17.000]  現在呢 五十年不變 都是這麼長氣的
[00:00:17.000 --> 00:00:21.000]  很高興回來跟大家見面
[00:00:21.000 --> 00:00:26.000]  雖然期間我也有回來幾次
[00:00:27.000 --> 00:00:33.000]  但是這次是我九十歲的時候回來
[00:00:33.000 --> 00:00:40.000]  我離開的時候是四十歲
[00:00:40.000 --> 00:00:45.000]  那就是九十減四十 就是五十了
[00:00:45.000 --> 00:00:50.000]  所以認識我的人都起碼超過五十歲
[00:00:50.000 --> 00:00:53.000]  所以你不認都不行
[00:00:53.000 --> 00:00:56.000]  很高興回來港島
[00:00:57.000 --> 00:01:01.000]  但我請大家饒恕我一件事 幾件事
[00:01:01.000 --> 00:01:03.000]  第一 我戴帽子
[00:01:03.000 --> 00:01:07.000]  我一不戴帽子 頭髮就像箭豬一樣
[00:01:07.000 --> 00:01:10.000]  不好看 不能靚仔
[00:01:10.000 --> 00:01:13.000]  第二 我要戴眼鏡
[00:01:13.000 --> 00:01:16.000]  我不戴眼鏡 又看不到東西
[00:01:16.000 --> 00:01:19.000]  第三 我要戴拐杖
[00:01:19.000 --> 00:01:25.000]  我沒有戴拐杖 我就不能站起來說
[00:01:26.000 --> 00:01:30.000]  還有什麼 還有大家原諒我
[00:01:30.000 --> 00:01:33.000]  我一定要坐下來港島
[00:01:33.000 --> 00:01:39.000]  我如果不坐下 我就不能站下去
[00:01:39.000 --> 00:01:42.000]  那一刻我會跌倒
[00:01:42.000 --> 00:01:46.000]  這樣說 不如你坐下吧
[00:01:46.000 --> 00:01:49.000]  我又覺得不配
[00:01:49.000 --> 00:01:54.000]  我都是小小的傳道人
[00:01:55.000 --> 00:02:00.000]  我不敢坐下來港島
[00:02:00.000 --> 00:02:10.000]  但是試過 使徒約翰你聽過沒有
[00:02:10.000 --> 00:02:16.000]  他一百歲的時候港島 他躺在港島
[00:02:17.000 --> 00:02:26.000]  那我 一個這麼無用的僕人 我都試過躺在港島
[00:02:26.000 --> 00:02:29.000]  什麼時候呢 我前年
[00:02:29.000 --> 00:02:34.000]  港島海岸 暈倒了
[00:02:34.000 --> 00:02:41.000]  我看著那些弟兄姊妹
[00:02:42.000 --> 00:02:47.000]  好像 怎麼了 像雲浪一樣 我閉上眼睛就暈倒了
[00:02:47.000 --> 00:02:51.000]  將近跌的時候 他就扶我
[00:02:51.000 --> 00:02:55.000]  就放在第一行 躺在那裡
[00:02:55.000 --> 00:02:58.000]  我醒了 我在哪裡
[00:02:58.000 --> 00:03:02.000]  牧師 不要吵了 你剛才說暈倒了
[00:03:02.000 --> 00:03:05.000]  是嗎 給我咪高峰 給我咪高峰
[00:03:05.000 --> 00:03:08.000]  怎麼了 我打了911
[00:03:09.000 --> 00:03:13.000]  在香港我打了999 在美國我打了911
[00:03:13.000 --> 00:03:16.000]  我打了911了 你暈倒了
[00:03:16.000 --> 00:03:18.000]  我說不行 我給我咪高峰
[00:03:18.000 --> 00:03:22.000]  於是我拿著咪高峰 我說兩分鐘
[00:03:22.000 --> 00:03:27.000]  於是我躺在港島 說了兩分鐘
[00:03:27.000 --> 00:03:29.000]  真是不好意思
[00:03:29.000 --> 00:03:33.000]  都還沒說完
[00:03:33.000 --> 00:03:36.000]  那些護士就上了港島
[00:03:38.000 --> 00:03:40.000]  給我點氧氣 我就休息了
[00:03:40.000 --> 00:03:43.000]  所以 我都覺得挺驕傲
[00:03:43.000 --> 00:03:45.000]  我都好像使徒約翰一樣
[00:03:45.000 --> 00:03:48.000]  躺在那裡說兩分鐘
[00:03:48.000 --> 00:03:52.000]  我今天說的題目就是
[00:03:52.000 --> 00:03:57.000]  神蹟 微小的記號
[00:03:57.000 --> 00:04:02.000]  神蹟 我們基督徒
[00:04:02.000 --> 00:04:05.000]  你自己稱為基督徒
[00:04:06.000 --> 00:04:08.000]  你有沒有見過神蹟
[00:04:08.000 --> 00:04:13.000]  這個是我們最大的遺憾
[00:04:13.000 --> 00:04:15.000]  很多人不說神蹟
[00:04:15.000 --> 00:04:19.000]  甚至神學院都不教人有神蹟
[00:04:19.000 --> 00:04:22.000]  為什麼 因為耶穌說過
[00:04:22.000 --> 00:04:26.000]  耶穌 我們的主在馬太誓十六章
[00:04:26.000 --> 00:04:30.000]  祂說 你這個世代你不用只有神蹟
[00:04:30.000 --> 00:04:33.000]  因為神蹟就是
[00:04:34.000 --> 00:04:39.000]  你看到人子若拿到土裡
[00:04:39.000 --> 00:04:41.000]  那個就是神蹟
[00:04:41.000 --> 00:04:44.000]  而耶穌說的是什麼呢
[00:04:44.000 --> 00:04:47.000]  是說我們的主耶穌
[00:04:47.000 --> 00:04:49.000]  祂是神的兒子
[00:04:49.000 --> 00:04:52.000]  祂是道成肉身
[00:04:52.000 --> 00:04:54.000]  這個是最大的神蹟
[00:04:54.000 --> 00:04:57.000]  你怎麼知道是最大的神蹟呢
[00:05:03.000 --> 00:05:04.000]  我快要坐下了
[00:05:04.000 --> 00:05:07.000]  你看一下
[00:05:07.000 --> 00:05:10.000]  這個房間夠不夠大
[00:05:10.000 --> 00:05:14.000]  如果你把房間的空氣
[00:05:14.000 --> 00:05:16.000]  放進瓶子裡
[00:05:16.000 --> 00:05:18.000]  現在還可以
[00:05:18.000 --> 00:05:21.000]  香港夠不夠大
[00:05:21.000 --> 00:05:25.000]  你把香港的空氣放進瓶子裡
[00:05:25.000 --> 00:05:28.000]  那個宇宙夠不夠大
[00:05:28.000 --> 00:05:32.000]  你把整個宇宙放進人裡
[00:05:33.000 --> 00:05:34.000]  放進耶穌那裡
[00:05:34.000 --> 00:05:39.000]  整個宇宙 整個宇宙的宇宙
[00:05:39.000 --> 00:05:41.000]  這個是不是神蹟
[00:05:41.000 --> 00:05:43.000]  這個正式是神蹟
[00:05:43.000 --> 00:05:45.000]  沒有人能夠做
[00:05:45.000 --> 00:05:47.000]  只有神能夠做
[00:05:47.000 --> 00:05:49.000]  道成了肉身
[00:05:49.000 --> 00:05:51.000]  第二
[00:05:51.000 --> 00:05:53.000]  耶穌說
[00:05:53.000 --> 00:05:56.000]  若拿到土裡的神蹟是什麼
[00:05:56.000 --> 00:05:58.000]  就是耶穌復活
[00:05:58.000 --> 00:06:01.000]  從一個這麼小的
[00:06:02.000 --> 00:06:04.000]  好像我們這麼小的人
[00:06:04.000 --> 00:06:07.000]  復活
[00:06:07.000 --> 00:06:09.000]  充滿了整個宇宙
[00:06:09.000 --> 00:06:11.000]  神的兒子
[00:06:11.000 --> 00:06:13.000]  你說是不是神蹟呢
[00:06:13.000 --> 00:06:15.000]  這個就是神蹟
[00:06:15.000 --> 00:06:17.000]  這個才叫神蹟
[00:06:17.000 --> 00:06:19.000]  那你今天說什麼呢
[00:06:19.000 --> 00:06:22.000]  我是說微小的記號
[00:06:22.000 --> 00:06:24.000]  在約翰福音
[00:06:24.000 --> 00:06:26.000]  和幾個福音裡面
[00:06:26.000 --> 00:06:28.000]  說到神蹟這個字
[00:06:28.000 --> 00:06:30.000]  原來它的希臘文
[00:06:31.000 --> 00:06:32.000]  就是Sign
[00:06:32.000 --> 00:06:34.000]  S I G N
[00:06:34.000 --> 00:06:36.000]  記號
[00:06:36.000 --> 00:06:38.000]  有什麼記號呢
[00:06:38.000 --> 00:06:40.000]  什麼叫記號呢
