
[00:00:00.000 --> 00:00:03.500]  大家好 平時在網上看到這台電視台
[00:00:03.500 --> 00:00:08.000]  第一次來 原來外面有這麼多美麗的東西
[00:00:08.000 --> 00:00:11.000]  所以沒有機會來誠會的網友
[00:00:11.000 --> 00:00:13.000]  可以特地來訪問一下
[00:00:13.000 --> 00:00:17.000]  我覺得也是一個芝加哥的奇景來的
[00:00:17.000 --> 00:00:20.000]  我是Helen 多謝大家歡迎我來這裡
[00:00:20.000 --> 00:00:24.000]  跟大家分享上帝的信息
[00:00:24.000 --> 00:00:28.000]  我不知道原來誠會教會沒有幫我讀聖經
[00:00:28.000 --> 00:00:29.000]  不過不要緊
[00:00:29.000 --> 00:00:32.000]  幸好我有張畫來代替一下
[00:00:32.000 --> 00:00:34.000]  如果大家像我這樣
[00:00:34.000 --> 00:00:37.000]  沒什麼藝術粗異的 也不要緊
[00:00:37.000 --> 00:00:39.000]  以畫嘗試去明白
[00:00:39.000 --> 00:00:43.000]  我們稍後會看一段經文的一些
[00:00:43.000 --> 00:00:45.000]  他已經畫完了
[00:00:45.000 --> 00:00:47.000]  你要理解多少就大家的誤性
[00:00:47.000 --> 00:00:48.000]  我就沒什麼誤性的
[00:00:48.000 --> 00:00:49.000]  不過我純粹看到
[00:00:49.000 --> 00:00:53.000]  這個是中世紀時代的一個名畫家
[00:00:53.000 --> 00:00:55.000]  叫卡拉阿喬
[00:00:55.000 --> 00:01:02.000]  我應該讀錯了 算了 不要緊
[00:01:02.000 --> 00:01:04.000]  所以我沒什麼藝術細胞
[00:01:04.000 --> 00:01:06.000]  不過我嘗試去找
[00:01:06.000 --> 00:01:08.000]  今天我想跟大家分享的經文
[00:01:08.000 --> 00:01:09.000]  是創世紀二十二章
[00:01:09.000 --> 00:01:13.000]  是阿伯拉罕去獻他的兒子二十
[00:01:13.000 --> 00:01:14.000]  你看到這幅畫當中
[00:01:14.000 --> 00:01:15.000]  中世紀的畫家
[00:01:15.000 --> 00:01:17.000]  他將他迴繪到
[00:01:17.000 --> 00:01:19.000]  阿伯拉罕是按住兒子
[00:01:19.000 --> 00:01:21.000]  兒子是在下面那個
[00:01:21.000 --> 00:01:24.000]  然後你看到他的樣子是怎樣
[00:01:24.000 --> 00:01:28.000]  是好劣還是好決心
[00:01:28.000 --> 00:01:31.000]  他是很決心去做這件事
[00:01:31.000 --> 00:01:32.000]  他的描繪
[00:01:32.000 --> 00:01:33.000]  他在畫家的描繪中
[00:01:33.000 --> 00:01:36.000]  阿伯拉罕聽到上帝的聲音
[00:01:36.000 --> 00:01:39.000]  說你要去獻你的獨生子
[00:01:39.000 --> 00:01:42.000]  你所愛的我一個兒子
[00:01:42.000 --> 00:01:46.000]  去獻給我作為憲制的時候
[00:01:46.000 --> 00:01:48.000]  阿伯拉罕在聖經中二十二章
[00:01:48.000 --> 00:01:50.000]  就說他一大清早就起來
