
[00:00:00.000 --> 00:00:15.000]  幾個月之前,我重遇蒙趙做傳道之前一位舊同事,一位男同事
[00:00:15.000 --> 00:00:23.000]  都十四年沒見,是他先叫我,他說我見到你的樣子都沒有變
[00:00:23.000 --> 00:00:28.000]  所以很快就認得出來了,我說你都沒有變
[00:00:28.000 --> 00:00:31.000]  多了頭髮的highlight,比較多白頭髮
[00:00:31.000 --> 00:00:39.000]  你都沒有變,其實都是一個稱讚,你的樣子沒有變,你的身形沒有變
[00:00:39.000 --> 00:00:45.000]  而且都是很精神,他就告訴我,我去年退休了
[00:00:45.000 --> 00:00:51.000]  所以現在多點空間時間去旅行做運動
[00:00:51.000 --> 00:00:55.000]  人的外形始終都會變的
[00:00:55.000 --> 00:00:59.000]  如果我十幾年之後又再見到這個同事
[00:00:59.000 --> 00:01:06.000]  我估計他就不會說,你都沒什麼變,沒什麼可能
[00:01:06.000 --> 00:01:11.000]  今天就跟大家去看彼得前書
[00:01:11.000 --> 00:01:21.000]  彼得去寫這本書的時候,他已經跟隨了耶穌有三十年
[00:01:21.000 --> 00:01:28.000]  因為這本書大概是主後六十年初期
[00:01:28.000 --> 00:01:35.000]  又沒有一些很確實的文獻說彼得是多少歲
[00:01:35.000 --> 00:01:41.000]  假設彼得跟耶穌差不多年齡的話
[00:01:41.000 --> 00:01:45.000]  彼得去寫這本書的時候就六十幾歲了
[00:01:45.000 --> 00:01:51.000]  我們有一句話,要聽老人言,信了主三十年
[00:01:51.000 --> 00:01:59.000]  一定有在信仰上跟隨主一些很重要的訊息
[00:01:59.000 --> 00:02:08.000]  我們一起祈禱讓上帝帶領我們去體會這份重要
[00:02:08.000 --> 00:02:15.000]  天佛上帝願你藉著彼得前書這個訊息,彼得的一生
[00:02:15.000 --> 00:02:19.000]  對我們說話,為我們得鼓勵
[00:02:19.000 --> 00:02:27.000]  讓聽的、說的都能夠從你自己的心意上活出來
[00:02:27.000 --> 00:02:31.000]  上帝誰管我們在你面前很真誠的祈禱
[00:02:31.000 --> 00:02:34.000]  奉耶穌基督的名字,阿們
[00:02:34.000 --> 00:02:38.000]  這樣就可以出一個 PowerPoint
[00:02:38.000 --> 00:02:46.000]  如果我們回顧一下彼得一些人生的時刻
[00:02:46.000 --> 00:02:52.000]  我們就看到聖經會這樣說
[00:02:52.000 --> 00:03:00.000]  當耶穌問門徒,你說我是誰的時候
[00:03:00.000 --> 00:03:06.000]  彼得就說你是基督,是永活神的兒子
[00:03:06.000 --> 00:03:13.000]  耶穌就說我要在盆石上透過你去建立教會
[00:03:13.000 --> 00:03:16.000]  我給你天國的約事
[00:03:16.000 --> 00:03:20.000]  請在回顧那裡給我看一看
[00:03:20.000 --> 00:03:29.000]  神的心意讓彼得去傳講天國的福音和真理
[00:03:29.000 --> 00:03:35.000]  聖經裡面有記載耶穌跟西門彼得說
[00:03:35.000 --> 00:03:39.000]  其實你會受到考驗的
[00:03:39.000 --> 00:03:46.000]  但是你回頭之後,我要你去兼顧其他的門徒
[00:03:46.000 --> 00:03:49.000]  所以我們又會見到
[00:03:49.000 --> 00:03:54.000]  彼得其實是蒙上帝大大的使用
[00:03:54.000 --> 00:03:57.000]  在五巡節聖靈降臨之後
[00:03:57.000 --> 00:04:03.000]  彼得的講道讓三千人信主
[00:04:03.000 --> 00:04:10.000]  不過除了他侍奉有上帝這麼大的使用
[00:04:10.000 --> 00:04:13.000]  我們也見到他在服侍的過程裡面
[00:04:13.000 --> 00:04:15.000]  也面對很多苦難
[00:04:15.000 --> 00:04:18.000]  例如他要坐牢
[00:04:18.000 --> 00:04:23.000]  例如當時候大祭司和宗教人士
[00:04:23.000 --> 00:04:28.000]  會很妒忌他,想要殺他
[00:04:28.000 --> 00:04:33.000]  並且彼得也受到很多皮肉之苦
[00:04:33.000 --> 00:04:35.000]  所以我們可以說
[00:04:35.000 --> 00:04:38.000]  彼得要寫彼得前書的時候
[00:04:38.000 --> 00:04:41.000]  他不是純粹講一些道理
[00:04:41.000 --> 00:04:47.000]  他親身面對到這幫彼得前書的讀者
[00:04:47.000 --> 00:04:50.000]  他們的困難
[00:04:50.000 --> 00:04:56.000]  所以我們就去看看這本書
[00:04:56.000 --> 00:05:03.000]  彼得怎樣去稱呼這幫讀者
[00:05:03.000 --> 00:05:07.000]  原來書中有好幾次都寫了
[00:05:07.000 --> 00:05:10.000]  你們是一幫寄居的人
[00:05:10.000 --> 00:05:13.000]  什麼是寄居呢?
[00:05:13.000 --> 00:05:17.000]  其實香港如果你看政府的一些刊物
[00:05:17.000 --> 00:05:22.000]  你會知道其實都有十幾萬外籍人士
[00:05:22.000 --> 00:05:24.000]  長居在香港
[00:05:24.000 --> 00:05:26.000]  他們不是在香港出生的
[00:05:26.000 --> 00:05:30.000]  不過他們就住在香港這個地方
[00:05:30.000 --> 00:05:33.000]  就類似寄居的意思
[00:05:33.000 --> 00:05:36.000]  不過也不單止是這樣
[00:05:36.000 --> 00:05:41.000]  因為當時其實是羅馬帝國統治的時期
[00:05:41.000 --> 00:05:44.000]  這幫基督徒
[00:05:44.000 --> 00:05:50.000]  他們是在羅馬政府的一個殖民的政策底下
[00:05:50.000 --> 00:05:53.000]  為了羅馬帝國統治了一些地方
[00:05:53.000 --> 00:05:57.000]  於是他就讓一些在羅馬城居住
[00:05:57.000 --> 00:06:00.000]  但不是公民的人搬去一些地方
[00:06:00.000 --> 00:06:03.000]  就像這裡講的五大地方
[00:06:03.000 --> 00:06:08.000]  在一些政治上、文化、語言上
[00:06:08.000 --> 00:06:10.000]  想他們同化
[00:06:10.000 --> 00:06:12.000]  方便他們的管理
[00:06:12.000 --> 00:06:18.000]  也就是說這幫人就去到這些行省上
[00:06:18.000 --> 00:06:21.000]  跟當地人住
[00:06:21.000 --> 00:06:25.000]  外地人、外來人去到這個地方
[00:06:25.000 --> 00:06:31.000]  自然也有很多價值觀、生活處事不同
[00:06:31.000 --> 00:06:35.000]  大家家裡不知道有沒有請傭人姐姐呢?
[00:06:35.000 --> 00:06:40.000]  你就會發覺傭人姐姐來到你家裡幫你的時候
[00:06:40.000 --> 00:06:43.000]  其實很多生活習慣都不同
[00:06:43.000 --> 00:06:47.000]  例如我家裡因為需要傭人姐姐照顧媽媽
[00:06:47.000 --> 00:06:50.000]  傭人姐姐跟媽媽聊天
[00:06:50.000 --> 00:06:53.000]  她只會坐在地上
[00:06:53.000 --> 00:06:56.000]  她絕對不會坐在沙發上
[00:06:56.000 --> 00:07:00.000]  也不會坐在跟我媽媽平排
[00:07:00.000 --> 00:07:06.000]  她覺得自己是一個傭人、一個賤人
[00:07:06.000 --> 00:07:09.000]  這裡就是一些例子
[00:07:09.000 --> 00:07:12.000]  其實香港有不少印巴籍的人
[00:07:12.000 --> 00:07:17.000]  他們說廣東話其實都是很正確的
[00:07:17.000 --> 00:07:19.000]  沒有什麼口音
[00:07:19.000 --> 00:07:24.000]  不過我們跟印巴籍人士的相處上
[00:07:24.000 --> 00:07:29.000]  總是你未必當他們完全是本地人
[00:07:29.000 --> 00:07:32.000]  很多習慣都不同
[00:07:32.000 --> 00:07:36.000]  作為寄居的這幫人
[00:07:36.000 --> 00:07:39.000]  自然其實心裡很不踏實
[00:07:39.000 --> 00:07:42.000]  寄居的人跟移民不同
[00:07:42.000 --> 00:07:45.000]  現在香港不少人移民
[00:07:45.000 --> 00:07:49.000]  移民之前其實都做了一些準備
[00:07:49.000 --> 00:07:53.000]  心理上和認識環境
[00:07:53.000 --> 00:07:56.000]  到時候住什麼、吃什麼
[00:07:56.000 --> 00:08:00.000]  子女讀什麼書、住屋預備了
[00:08:00.000 --> 00:08:02.000]  但是這幫寄居的人
[00:08:02.000 --> 00:08:08.000]  是在羅馬政府的一些政策下要搬遷
[00:08:08.000 --> 00:08:10.000]  他們也是少數
[00:08:10.000 --> 00:08:11.000]  他們是基督徒
[00:08:11.000 --> 00:08:15.000]  住在一幫不是信徒的人當中
[00:08:15.000 --> 00:08:20.000]  所以彼得就去鼓勵他們
[00:08:20.000 --> 00:08:25.000]  他鼓勵的方法就是稱他們是蒙柬選
[00:08:25.000 --> 00:08:27.000]  給誰選?
[00:08:27.000 --> 00:08:30.000]  是給上帝所選
[00:08:30.000 --> 00:08:33.000]  我們看看一章二節
[00:08:33.000 --> 00:08:36.000]  這幫蒙柬選的人
[00:08:36.000 --> 00:08:40.000]  就是按照父神的預知所柬選
[00:08:40.000 --> 00:08:41.000]  藉著聖靈得以成聖
[00:08:41.000 --> 00:08:43.000]  以至於信復
[00:08:43.000 --> 00:08:46.000]  又給撒上了耶穌基督血的日
[00:08:46.000 --> 00:08:48.000]  彼得告訴這幫信徒
[00:08:48.000 --> 00:08:51.000]  他們不是沒有身份的人
[00:08:51.000 --> 00:08:55.000]  事實上他們是上帝親自柬選
[00:08:55.000 --> 00:08:58.000]  讓他們有很確實的身份
[00:08:58.000 --> 00:09:01.000]  大家你覺得
[00:09:01.000 --> 00:09:03.000]  或者你肯不肯定
[00:09:03.000 --> 00:09:06.000]  你自己是屬上帝的人呢?
[00:09:06.000 --> 00:09:08.000]  柬選的意思就是分別出來
[00:09:08.000 --> 00:09:12.000]  從哪裏分開一幫人呢?
[00:09:12.000 --> 00:09:14.000]  就是從一幫罪人裏面
[00:09:14.000 --> 00:09:17.000]  分出一些人出來
[00:09:17.000 --> 00:09:19.000]  由罪人的群體當中
[00:09:19.000 --> 00:09:21.000]  分了我們出來
[00:09:21.000 --> 00:09:24.000]  得到上帝的拯救
[00:09:24.000 --> 00:09:26.000]  我們的生命就有一個新的開始了
[00:09:26.000 --> 00:09:29.000]  所以一個被上帝選選
[00:09:29.000 --> 00:09:31.000]  就不是自己決定的
[00:09:31.000 --> 00:09:34.000]  如果上帝不選我們
[00:09:34.000 --> 00:09:38.000]  我們就不會得到
[00:09:38.000 --> 00:09:44.000]  上帝他親自的拯救
[00:09:44.000 --> 00:09:48.000]  我們一起讀讀這三次的經文
[00:09:48.000 --> 00:09:51.000]  都是上次我們看彼得前書的時候
[00:09:51.000 --> 00:09:54.000]  有說過的
[00:09:54.000 --> 00:09:58.000]  我們主耶穌基督的父臣
[00:09:58.000 --> 00:10:00.000]  是應當稱重的
[00:10:00.000 --> 00:10:03.000]  他照著自己的大憐憫
[00:10:03.000 --> 00:10:05.000]  藉著耶穌基督
[00:10:05.000 --> 00:10:07.000]  從死人中復活
[00:10:07.000 --> 00:10:09.000]  重生了我們
[00:10:09.000 --> 00:10:12.000]  好讓我們得著活的盼望
[00:10:12.000 --> 00:10:14.000]  得著那不能扭壞
[00:10:14.000 --> 00:10:15.000]  不能玷污
[00:10:15.000 --> 00:10:17.000]  不能衰殘
