
[00:00:00.000 --> 00:00:04.320]  又要和大家繼續說天國的比喻
[00:00:04.320 --> 00:00:09.360]  今天這個比喻一般人叫做藏寶的比喻
[00:00:09.360 --> 00:00:13.400]  相信大家都聽過藏寶的比喻很多很多次
[00:00:13.400 --> 00:00:16.240]  但我可以告訴你我今天的解釋
[00:00:16.240 --> 00:00:20.360]  是和99.9%你聽過的都不同
[00:00:20.360 --> 00:00:22.640]  不是我要標其立意
[00:00:22.640 --> 00:00:25.400]  不是說我是無中生有
[00:00:25.400 --> 00:00:30.280]  如果你真的發現到經文的結構
[00:00:30.280 --> 00:00:34.120]  就有一個結構來限制你告訴你
[00:00:34.120 --> 00:00:36.880]  當時聖靈感動這個作者
[00:00:36.880 --> 00:00:41.080]  寫出這些經文原有的意思是甚麼
[00:00:41.080 --> 00:00:46.200]  而不是我們可以其中將一個比喻抽出來
[00:00:46.200 --> 00:00:50.520]  自己喜歡怎樣解釋就怎樣解釋
[00:00:50.520 --> 00:00:54.280]  今天的比喻剛才都已經讀了
[00:00:54.280 --> 00:00:57.160]  在《馬太福音》13章44節
[00:00:57.160 --> 00:00:58.680]  是很簡短的
[00:00:58.680 --> 00:01:02.160]  天國好像寶貝藏在地裡
[00:01:02.160 --> 00:01:05.520]  人遇見了就把他藏起來
[00:01:05.520 --> 00:01:08.920]  歡歡喜喜的去變賣一切所有的
[00:01:08.920 --> 00:01:10.960]  賣這塊地
[00:01:10.960 --> 00:01:13.200]  非常簡單的經文
[00:01:13.200 --> 00:01:16.800]  古代的人是沒有保險箱的
[00:01:16.800 --> 00:01:21.360]  我們現在有甚麼寶貝有甚麼金銀財寶
[00:01:21.360 --> 00:01:22.680]  不想放在家裡
[00:01:22.680 --> 00:01:24.320]  一會兒有賊入屋
[00:01:24.320 --> 00:01:27.400]  一會兒有火燭的時候就甚麼都沒有了
[00:01:27.400 --> 00:01:30.200]  所以我們去銀行開一個帳戶
[00:01:30.200 --> 00:01:31.520]  開一個保險箱
