
[00:00:00.000 --> 00:00:03.320]  多謝喜樂絲班這麼好的一個頌讚
[00:00:03.320 --> 00:00:06.000]  裏面有幾句我都很入心
[00:00:06.000 --> 00:00:08.000]  越經歷神越什麼?
[00:00:08.000 --> 00:00:10.000]  經歷祂的甘甜
[00:00:10.000 --> 00:00:12.840]  我們這個真是很特別的恩典
[00:00:12.840 --> 00:00:15.520]  今天能夠有機會和大家思想一個問題
[00:00:15.520 --> 00:00:19.200]  就是智慧人但能有益於己
[00:00:19.200 --> 00:00:21.800]  其實這個可以用廣東話翻譯的
[00:00:21.800 --> 00:00:23.800]  想不想到怎麼翻譯?
[00:00:23.800 --> 00:00:25.800]  著數囉
[00:00:25.800 --> 00:00:26.640]  是不是?
[00:00:26.640 --> 00:00:29.600]  智慧人當然是追求有沒有著數
[00:00:29.600 --> 00:00:34.040]  好像最近Donald Trump做了美國總統
[00:00:34.040 --> 00:00:36.960]  我們每個人都說對世界有什麼著數
[00:00:36.960 --> 00:00:40.880]  不過都不知道以後習近平總統
[00:00:40.880 --> 00:00:45.440]  習近平主席昨天
[00:00:45.440 --> 00:00:47.440]  昨天都說了一番話
[00:00:47.440 --> 00:00:50.440]  很多不明朗的因素各樣的東西
[00:00:50.440 --> 00:00:55.760]  但是我都很留意美國的選舉
[00:00:55.760 --> 00:01:02.480]  那天看見Donald Trump一面很愕然的神態
[00:01:02.480 --> 00:01:06.760]  突然發現自己當選以後要上班的神態
[00:01:06.760 --> 00:01:08.760]  我都覺得值回票價
[00:01:08.760 --> 00:01:12.160]  不過他伏在電視機前面看了一會
[00:01:12.160 --> 00:01:17.960]  我想他之前沒想過要由Trump Tower搬去白宮上班
[00:01:17.960 --> 00:01:23.200]  以前他做老闆幾十年都沒上過班
[00:01:23.200 --> 00:01:26.400]  現在突然有四年要上班
[00:01:26.400 --> 00:01:28.400]  還有很特別
[00:01:28.400 --> 00:01:31.000]  我很欣賞網上傳流
[00:01:31.000 --> 00:01:37.280]  這次在美國的福音派90%都投票給他
