
[00:00:00.000 --> 00:00:02.520]  我們看一段聖經約翰福音20章
[00:00:02.520 --> 00:00:04.520]  幾節而已 19到23節
[00:00:04.520 --> 00:00:08.080]  約翰福音20章19到23節
[00:00:08.080 --> 00:00:10.080]  這裏說哪日
[00:00:10.080 --> 00:00:12.480]  這個括號就是七日的第一日
[00:00:12.480 --> 00:00:15.360]  即是星期日的夜晚
[00:00:15.360 --> 00:00:19.840]  門徒所在的地方 因為怕猶太人的緣故 門都關了
[00:00:19.840 --> 00:00:22.880]  耶穌來站在當中對他們說
[00:00:22.880 --> 00:00:24.240]  願你們平安
[00:00:24.240 --> 00:00:27.840]  說到這話 就不搜和立旁子給他們看
[00:00:27.840 --> 00:00:30.960]  門徒看見主就喜樂了
[00:00:30.960 --> 00:00:33.920]  21節 耶穌又對他們說
[00:00:33.920 --> 00:00:35.920]  願你們平安
[00:00:35.920 --> 00:00:39.360]  父怎讓差遣了我 我也照樣差遣你們
[00:00:39.360 --> 00:00:42.720]  說了這話 就向他們吹一口氣
[00:00:42.720 --> 00:00:45.200]  說你們受聖靈
[00:00:45.200 --> 00:00:48.560]  你們赦免誰的罪 誰的罪就赦免了
[00:00:48.560 --> 00:00:53.760]  你們留下誰的罪 誰的罪就留下了
[00:00:53.760 --> 00:00:57.520]  聖經開始說 哪日就是七日的第一日
[00:00:57.520 --> 00:01:00.800]  每星期都有七日的第一日 都是星期日
[00:01:00.800 --> 00:01:02.800]  但那天是很特別的
[00:01:02.800 --> 00:01:05.520]  因為那天的早上
[00:01:05.520 --> 00:01:08.640]  耶穌從死裡復活
[00:01:08.640 --> 00:01:12.640]  那天就是耶穌剛剛從死裡復活
[00:01:12.640 --> 00:01:15.760]  大家記得耶穌復活後
[00:01:15.760 --> 00:01:19.520]  首先向穆達拉的瑪利亞和一群婦女顯現
[00:01:19.520 --> 00:01:22.160]  然後吩咐他們回去對門徒說
[00:01:22.160 --> 00:01:25.040]  告訴他們我從死裡復活了
[00:01:25.040 --> 00:01:27.760]  穆達拉的瑪利亞很高興
[00:01:27.760 --> 00:01:29.760]  回去對門徒說
[00:01:29.760 --> 00:01:31.760]  如果你記得聖經裡說
[00:01:31.760 --> 00:01:34.720]  有些門徒馬上跑去墳墓看一看
[00:01:34.720 --> 00:01:37.360]  不見了耶穌的一個空墳
[00:01:37.360 --> 00:01:38.800]  這個墳墓是空的
[00:01:38.800 --> 00:01:40.800]  耶穌去了哪裡
[00:01:40.800 --> 00:01:43.600]  聖經說約翰見到就信了
[00:01:43.600 --> 00:01:46.400]  其他人就信了
[00:01:46.400 --> 00:01:50.000]  因為穆達拉的瑪利亞說耶穌復活了
[00:01:50.000 --> 00:01:52.320]  我們不見了耶穌 耶穌復活了
[00:01:52.320 --> 00:01:54.320]  到底去了哪裡
[00:01:54.320 --> 00:01:56.960]  所以絕大部份的門徒
[00:01:56.960 --> 00:01:58.960]  聽到女人跟他們說這個消息
[00:01:58.960 --> 00:02:01.360]  雖然墳墓是空的
[00:02:01.360 --> 00:02:04.560]  但我相信絕大部份的信徒
[00:02:04.560 --> 00:02:09.360]  心裡對耶穌復活的消息是半信半疑的
[00:02:09.360 --> 00:02:11.360]  為什麼我這樣說呢
[00:02:11.360 --> 00:02:13.360]  因為這群人
[00:02:13.360 --> 00:02:17.520]  並沒有因為聽到耶穌從死裡復活
[00:02:17.520 --> 00:02:19.520]  很開心很興奮 有沒有
[00:02:19.520 --> 00:02:22.160]  沒有 相反他們很害怕
[00:02:22.160 --> 00:02:25.680]  那些猶太人的領袖去迫害他們 去攻擊他們
[00:02:25.680 --> 00:02:27.680]  於是全部躲在房裡
[00:02:27.680 --> 00:02:29.680]  鎖上門 關得緊緊的
[00:02:29.680 --> 00:02:33.520]  仍然是十分的害怕
[00:02:33.520 --> 00:02:37.840]  而當耶穌忽然出現在當中的時候
[00:02:37.840 --> 00:02:39.840]  你看六個福音
[00:02:39.840 --> 00:02:41.840]  六個福音的描寫是什麼
[00:02:41.840 --> 00:02:43.840]  門徒驚慌害怕
[00:02:43.840 --> 00:02:45.840]  他們以為見到鬼魂
