
[00:00:00.000 --> 00:00:06.660]  今天進入法靈爲整的第三個課堂的主題
[00:00:06.660 --> 00:00:08.100]  叫做"嚇"
[00:00:08.100 --> 00:00:13.740]  我找了一位弟兄跟我做了一些視頻
[00:00:13.740 --> 00:00:15.740]  可不可以放出來看看
[00:00:15.740 --> 00:00:17.740]  找了一位弟兄跟我拍的時候
[00:00:17.740 --> 00:00:19.320]  他說不要期望太多
[00:00:19.320 --> 00:00:20.620]  其實我沒有期望太多
[00:00:20.620 --> 00:00:22.620]  因爲"嚇"究竟是什麼意思沒什麼人知道
[00:00:22.620 --> 00:00:24.620]  所以拍什麼都沒什麼所謂
[00:00:24.620 --> 00:00:27.300]  這個題目叫"嚇"
[00:00:27.300 --> 00:00:32.500]  "嚇"其實我用英文解釋叫做
[00:00:32.500 --> 00:00:35.180]  guard the partner
[00:00:35.180 --> 00:00:39.540]  即是說他如何模造我們出來
[00:00:39.540 --> 00:00:41.980]  其實二十年前
[00:00:41.980 --> 00:00:45.940]  這個潮語"嚇"這個字是沒有的
[00:00:45.940 --> 00:00:47.300]  是吧
[00:00:47.300 --> 00:00:51.620]  今天大家都用得很多
[00:00:51.620 --> 00:00:54.620]  "嚇"這個字究竟怎麼用呢
[00:00:54.620 --> 00:00:56.380]  先考考你們
[00:00:56.380 --> 00:00:58.700]  有幾個
[00:00:58.700 --> 00:01:05.980]  我們去哪裏"嚇"呢?爲什麼呢?
[00:01:05.980 --> 00:01:07.860]  我們去哪裏"嚇"呢?如果這麼說
[00:01:07.860 --> 00:01:11.740]  我們去哪裏消磨時間呢?是吧
[00:01:11.740 --> 00:01:14.940]  現在有空就去哪裏"嚇"呢?
[00:01:14.940 --> 00:01:16.940]  這裏是消磨時間
[00:01:16.940 --> 00:01:20.340]  你不要再在這裏"嚇"了
[00:01:20.340 --> 00:01:23.900]  爲什麼呢?
[00:01:23.900 --> 00:01:27.300]  不要再在這裏流連,不要在這裏無所事事
[00:01:27.300 --> 00:01:30.820]  浪費無謂的時間,不要再在這裏"嚇"了
[00:01:30.820 --> 00:01:32.020]  接着我們說
[00:01:32.020 --> 00:01:34.300]  這份工很"嚇"
[00:01:34.300 --> 00:01:36.300]  是什麼意思呢?
[00:01:36.300 --> 00:01:37.540]  很空閒
[00:01:37.540 --> 00:01:39.900]  最好找這些工做,"嚇"做
[00:01:39.900 --> 00:01:42.380]  "嚇"一天就放工了
[00:01:42.380 --> 00:01:45.460]  所以"嚇"這個字其實很難去解釋
[00:01:45.460 --> 00:01:48.940]  嘗試搜尋網上,原來有解釋的
[00:01:48.940 --> 00:02:01.300]  解釋是"懶散,懶惰,無聊,無所事事,萬不驚心,隨意玩下流連,清閒"
[00:02:01.300 --> 00:02:05.860]  嘗試集中一下,因爲今天要講道
[00:02:05.860 --> 00:02:07.780]  究竟"嚇"是什麼呢?
[00:02:07.780 --> 00:02:09.460]  英文是比較直接的
[00:02:09.460 --> 00:02:12.340]  "Snowfall"
[00:02:12.340 --> 00:02:16.700]  即是"laziness",即是"懶","懶惰"
[00:02:16.700 --> 00:02:22.420]  如果將"嚇"這個字在聖經裏找,是找不到的
[00:02:22.420 --> 00:02:24.620]  沒有找到"嚇"字在聖經裏
[00:02:24.620 --> 00:02:29.740]  但是"懶惰"這個字,在聖經裏屢見不鮮
[00:02:29.740 --> 00:02:32.740]  一直出現,出現了很多
[00:02:32.740 --> 00:02:36.460]  嘗試看看聖經怎麼看"懶惰"
[00:02:36.460 --> 00:02:40.820]  看看這張,很嚇人的
[00:02:40.820 --> 00:02:44.780]  有很多的,昨天抽了三個出來給大家看看這些"懶惰"的例子
[00:02:44.780 --> 00:02:51.340]  所羅門王,《針言》是他寫的,聖經是這麼說的
[00:02:51.340 --> 00:02:56.500]  "懶惰的人等於自殺,因爲他不肯工作"
[00:02:56.500 --> 00:02:57.940]  嚇死人了
[00:02:57.940 --> 00:03:00.020]  你懶惰就等於自殺,什麼意思呢?
[00:03:00.020 --> 00:03:03.980]  就是說你坐着等死
[00:03:03.980 --> 00:03:08.540]  這個意思就是"懶惰的人不想做事,don't feel like to work"
[00:03:08.540 --> 00:03:12.300]  我不想做事了,我就等着時間一路去
[00:03:12.300 --> 00:03:14.820]  第二個例子
[00:03:14.820 --> 00:03:23.420]  "懶惰的人,你要睡到幾時呢?你何時睡醒呢?"
[00:03:23.420 --> 00:03:28.860]  就是說這些人,睡覺就睡到黃絲白眼
[00:03:28.860 --> 00:03:32.140]  最好不要有事做
[00:03:32.140 --> 00:03:34.540]  一路睡,一路嚇,嚇了一天
[00:03:34.540 --> 00:03:36.500]  我曾經試過這樣的情況
[00:03:36.500 --> 00:03:41.580]  就是我在讀中四到中五那段時間要考會考
[00:03:41.580 --> 00:03:46.020]  我就很害怕,因爲我不知道範圍太大
[00:03:46.020 --> 00:03:48.260]  因爲四年都沒有讀過書
[00:03:48.260 --> 00:03:50.660]  突然會考的時候要考試
[00:03:50.660 --> 00:03:52.940]  考試考什麼呢?很害怕
[00:03:52.940 --> 00:03:56.060]  結果就進入了一個"嚇"的狀態
[00:03:56.060 --> 00:03:58.820]  每天早上就睡到很晚
[00:03:58.820 --> 00:04:01.340]  睡醒之後喫兩碗飯就去睡覺
[00:04:01.340 --> 00:04:02.380]  就在這裏"嚇"
[00:04:02.380 --> 00:04:03.980]  這種就叫做
[00:04:03.980 --> 00:04:09.580]  睡到在牀上,應該活動的時候就終日在牀上
[00:04:09.580 --> 00:04:11.860]  很喜歡睡在牀上
[00:04:11.860 --> 00:04:14.660]  因爲你應該做事,但是你沒有事做,沒有人生目標
[00:04:14.660 --> 00:04:16.620]  所以就進入了"嚇"的狀態
[00:04:16.620 --> 00:04:19.020]  第三種,聖經有說
[00:04:19.020 --> 00:04:27.700]  "懶惰的人善無卻無所得,殷勤的人必得豐宇"
