
[00:00:00.000 --> 00:00:03.000]  大家揭開《馬太福音》第八章
[00:00:03.000 --> 00:00:05.000]  我們思想到聖經所說
[00:00:05.000 --> 00:00:09.000]  「照著你的信,給你承傳吧」
[00:00:09.000 --> 00:00:13.000]  當我們說到信心的生活的時候
[00:00:13.000 --> 00:00:16.000]  其實我們小心想就會體會到
[00:00:16.000 --> 00:00:18.000]  聖經清楚說
[00:00:18.000 --> 00:00:19.000]  教徒的生活
[00:00:19.000 --> 00:00:23.000]  其實必然是信心的生活
[00:00:23.000 --> 00:00:29.000]  教徒的人生和信心是不能夠分開的
[00:00:30.000 --> 00:00:32.000]  我們過去看過
[00:00:32.000 --> 00:00:35.000]  當保羅在哥倫多的後書第四章
[00:00:35.000 --> 00:00:37.000]  提醒我們一件事情
[00:00:37.000 --> 00:00:42.000]  告訴我們原來我們不是顧念所見到的
[00:00:42.000 --> 00:00:46.000]  而是顧念那些看不見的
[00:00:46.000 --> 00:00:49.000]  因為見得到的那些是短暫的
[00:00:49.000 --> 00:00:53.000]  不能見到的那些是永遠的
[00:00:53.000 --> 00:00:57.000]  既然我們會知道我們真正顧念的事情
[00:00:57.000 --> 00:01:00.000]  不是那些眼前見得到的事情
[00:01:00.000 --> 00:01:04.000]  而是神給我們永遠的角度
[00:01:04.000 --> 00:01:07.000]  如果要顧念一些看不見的事情
[00:01:07.000 --> 00:01:13.000]  必然是以信心來接觸去明白
[00:01:13.000 --> 00:01:15.000]  所以在哥倫多的後書
[00:01:15.000 --> 00:01:16.000]  保羅就繼續說
[00:01:16.000 --> 00:01:18.000]  因此我們行事為人
[00:01:18.000 --> 00:01:22.000]  是憑著信心
[00:01:22.000 --> 00:01:24.000]  不是憑著眼見
[00:01:24.000 --> 00:01:28.000]  基督徒的人生必然是一個信心的人生
[00:01:28.000 --> 00:01:32.000]  是每一天憑著信心來生活
[00:01:32.000 --> 00:01:36.000]  當然基督徒的信心是有基礎的信心
[00:01:36.000 --> 00:01:37.000]  不是一種信
[00:01:37.000 --> 00:01:42.000]  是一種好像想像出來的一種現實
[00:01:42.000 --> 00:01:43.000]  這個基礎就是很清楚
[00:01:43.000 --> 00:01:46.000]  當我們認識這位上帝
[00:01:46.000 --> 00:01:49.000]  知道祂是有權能的上帝
