
[00:00:00.000 --> 00:00:03.360]  今天很多時候我相信做父母
[00:00:03.360 --> 00:00:06.360]  如果你真的愛子女的時候
[00:00:06.360 --> 00:00:12.200]  你是不希望他們重蹈覆轍
[00:00:12.200 --> 00:00:14.800]  如果你現在是在掙扎的話
[00:00:14.800 --> 00:00:17.360]  你真的希望兒子女兒
[00:00:17.360 --> 00:00:23.920]  父母曾經一不慎已經走過的路
[00:00:23.920 --> 00:00:28.280]  如果他們是痛苦的話是不開心的話
[00:00:28.280 --> 00:00:31.880]  你希望他們也做嗎
[00:00:31.880 --> 00:00:34.960]  你不會希望的
[00:00:34.960 --> 00:00:36.960]  時代在變
[00:00:36.960 --> 00:00:41.120]  有什麼辦法有什麼途徑
[00:00:41.120 --> 00:00:45.360]  可以令他們在人生的道路上
[00:00:45.360 --> 00:00:49.080]  無論是摘葉也好摘藕也好
[00:00:49.080 --> 00:00:54.640]  能夠安然去走的呢
[00:00:54.640 --> 00:00:57.320]  我相信在座中間
[00:00:57.320 --> 00:01:00.640]  我估計你們都是基督徒
[00:01:00.640 --> 00:01:03.240]  如果你還不是的話
[00:01:03.240 --> 00:01:05.680]  我勸你早點做這個決定
[00:01:05.680 --> 00:01:07.920]  因為在一個婚姻上
[00:01:07.920 --> 00:01:09.480]  在一個事業上
[00:01:09.480 --> 00:01:12.080]  如果一個人生沒有了一個
[00:01:12.080 --> 00:01:15.680]  肯定的目標與方向
[00:01:15.680 --> 00:01:18.480]  你會發覺就算給你得到的東西
[00:01:18.480 --> 00:01:19.640]  你回頭一看
[00:01:19.640 --> 00:01:21.000]  都是四個字
[00:01:21.000 --> 00:01:23.120]  不愛如此
[00:01:23.120 --> 00:01:27.640]  縱然你現在覺得很幸福很美滿
[00:01:27.640 --> 00:01:31.920]  我希望這些都是白頭偕老事業有成
[00:01:31.920 --> 00:01:33.960]  不過總有一天
[00:01:33.960 --> 00:01:35.280]  你都要走
[00:01:35.280 --> 00:01:38.320]  你都要留下
[00:01:38.320 --> 00:01:40.880]  到時不應該是一個傷感
[00:01:40.880 --> 00:01:43.560]  如果你一生覺得是很開心的話
[00:01:43.560 --> 00:01:44.840]  很滿意的話
