
[00:00:00.000 --> 00:00:06.920]  大家是否知道路加寫了路加福音
[00:00:06.920 --> 00:00:10.800]  以及司徒行轉
[00:00:10.800 --> 00:00:16.040]  所以我們過往年多
[00:00:16.040 --> 00:00:19.560]  一直從路加福音思想
[00:00:19.560 --> 00:00:24.720]  有了上集 當然要有下集
[00:00:24.720 --> 00:00:29.240]  所以我們接下來看看司徒行轉的訊息
[00:00:29.240 --> 00:00:32.560]  特別是因為今年我們教會的主題
[00:00:32.560 --> 00:00:37.720]  就是要求先求神的國
[00:00:37.720 --> 00:00:41.640]  所以我們想到最好不過
[00:00:41.640 --> 00:00:47.400]  就是看到教會怎樣去配合神的國的進展
[00:00:47.400 --> 00:00:52.600]  我想今年我們思想從司徒行轉中
[00:00:52.600 --> 00:00:54.520]  給我們看見教會的使命
[00:00:54.520 --> 00:00:58.720]  我們在神的國度裡怎樣去追求
[00:00:59.000 --> 00:01:03.040]  說起路加 其實路加是一位很寶貴的童工
[00:01:03.040 --> 00:01:08.080]  我希望將來有機會可以特別說一下路加的生平
[00:01:08.080 --> 00:01:10.280]  不過首先我們提一提
[00:01:10.280 --> 00:01:13.120]  既然兩本書都是他所寫的
[00:01:13.120 --> 00:01:13.920]  很不同的
[00:01:13.920 --> 00:01:17.040]  一本是記載耶穌基督的生平
[00:01:17.040 --> 00:01:18.720]  另一本也很重要的
[00:01:18.720 --> 00:01:22.280]  就是記載教會的開始和發展
[00:01:22.280 --> 00:01:24.560]  神使用路加
[00:01:24.560 --> 00:01:28.800]  他是一位非常有奉獻心的人
[00:01:28.800 --> 00:01:31.960]  所以如果我們學習像路加那樣給神使用
[00:01:31.960 --> 00:01:34.240]  我們也有奉獻的心
[00:01:34.240 --> 00:01:36.640]  神要我們在不同的方面
[00:01:36.640 --> 00:01:39.800]  見上神給我們有的東西
[00:01:39.800 --> 00:01:41.600]  以致我們能夠給神使用
[00:01:41.600 --> 00:01:43.880]  路加本來是行醫的
[00:01:43.880 --> 00:01:47.200]  但是神呼召他跟隨了司徒布羅
[00:01:47.200 --> 00:01:50.640]  開始了一個宣教士的歷程
[00:01:50.640 --> 00:01:54.920]  所以從本來寫路加福音的時候
[00:01:54.920 --> 00:01:56.360]  到轉入司堂轉
[00:01:56.360 --> 00:02:00.640]  這個可以說他人生也開始了新的一頁
[00:02:00.640 --> 00:02:02.520]  他有一個奉獻的心
[00:02:02.520 --> 00:02:06.240]  願意用他的生命回應神的呼召
[00:02:06.240 --> 00:02:11.120]  去參與神角度的事工
[00:02:11.120 --> 00:02:12.680]  他也很細心的
[00:02:12.680 --> 00:02:16.880]  路加很多特別的記載是很獨特的
[00:02:16.880 --> 00:02:18.920]  我們過往看過路加福音
[00:02:18.920 --> 00:02:21.320]  他有很多很獨特的記載
[00:02:21.320 --> 00:02:23.080]  也很仔細
[00:02:23.080 --> 00:02:25.520]  當然也因為他是專業醫生
[00:02:25.520 --> 00:02:27.040]  所以有很多時候提到
[00:02:27.040 --> 00:02:29.960]  關乎一些身體構造、醫學的東西
[00:02:29.960 --> 00:02:31.800]  但是更加寶貴的是
[00:02:31.800 --> 00:02:34.760]  在司堂轉看到他跟保羅的行程裡面
[00:02:34.760 --> 00:02:36.920]  有很多準確的描寫
[00:02:36.920 --> 00:02:38.520]  以及很獨特的
[00:02:38.520 --> 00:02:43.240]  很細膩的一些參與
[00:02:43.240 --> 00:02:45.240]  所以真是做神的功
[00:02:45.240 --> 00:02:47.040]  我們也需要很細心
[00:02:47.040 --> 00:02:50.600]  需要用心能夠給神使用
[00:02:50.600 --> 00:02:52.320]  路加最寶貴的
[00:02:52.320 --> 00:02:55.640]  我相信就是他持續的愛心
[00:02:55.640 --> 00:03:00.640]  因為當司徒保羅在寫最後一封書信
[00:03:00.640 --> 00:03:03.400]  他臨離世之前提摩太後書
[00:03:03.400 --> 00:03:04.720]  寫到最後那一章
[00:03:04.720 --> 00:03:06.480]  最後結語的時候
[00:03:06.480 --> 00:03:07.520]  他再提到
[00:03:07.520 --> 00:03:10.840]  他說「獨有路加在我這裏」
[00:03:10.840 --> 00:03:15.840]  所以不單止在司堂轉保羅初期的時候
[00:03:15.840 --> 00:03:19.560]  一直與他一次、兩次、三次
[00:03:19.560 --> 00:03:22.200]  可以說有四次的宣教旅程
[00:03:22.200 --> 00:03:23.600]  但是我們看到
[00:03:23.600 --> 00:03:25.360]  到了最後的時候
[00:03:25.360 --> 00:03:27.640]  路加一直在他身邊
[00:03:27.640 --> 00:03:28.760]  直到最後
[00:03:28.760 --> 00:03:31.160]  所以這是一種持續的忠心
[00:03:31.160 --> 00:03:32.640]  也是一種愛心
[00:03:32.640 --> 00:03:33.880]  愛神
[00:03:33.880 --> 00:03:36.320]  愛保羅的心
