
[00:00:00.000 --> 00:00:05.000]  大姨姊妹平安,我很感恩我們可以再次一起崇拜
[00:00:05.000 --> 00:00:08.000]  無論是在網上的,還是實體的
[00:00:08.000 --> 00:00:10.000]  我們都一同來到上帝面前去進行
[00:00:10.000 --> 00:00:14.000]  上星期我們一起紀念了
[00:00:14.000 --> 00:00:16.000]  主耶穌的受死復活
[00:00:16.000 --> 00:00:18.000]  今天我們再次回到
[00:00:18.000 --> 00:00:20.000]  《盧家福音》主耶穌的教導
[00:00:20.000 --> 00:00:22.000]  今天的經文是
[00:00:22.000 --> 00:00:26.000]  《盧家福音》第十一章,第五至五十四節
[00:00:26.000 --> 00:00:28.000]  由我們一起學習
[00:00:28.000 --> 00:00:30.000]  因為耶穌基督的福音
[00:00:30.000 --> 00:00:33.000]  不單單避免我們自己
[00:00:33.000 --> 00:00:37.000]  成為一個偽善的耶穌跟隨者
[00:00:37.000 --> 00:00:40.000]  更讓我們一同學習
[00:00:40.000 --> 00:00:43.000]  成為彰顯主因典的心靈
[00:00:43.000 --> 00:00:45.000]  讓我們先一起普告
[00:00:45.000 --> 00:00:53.000]  通過上帝感謝你此下聖焉
[00:00:53.000 --> 00:00:55.000]  向我們啟示你自己
[00:00:55.000 --> 00:00:59.000]  我們需要你幫助我們每一個
[00:00:59.000 --> 00:01:01.000]  一起學習你的話語
[00:01:01.000 --> 00:01:05.000]  一起給你的話語建立和提醒
[00:01:05.000 --> 00:01:09.000]  聽我們的禱告,奉耶穌基督的名
[00:01:09.000 --> 00:01:14.000]  上一次雪崩傳道的宣講
[00:01:14.000 --> 00:01:18.000]  講了十一章的三七至四十四節
[00:01:18.000 --> 00:01:20.000]  講到主耶穌祂在賢職上
[00:01:20.000 --> 00:01:24.000]  不單單沒有跟隨猶太人洗手的傳統
[00:01:24.000 --> 00:01:29.000]  祂還指出法律賽人的三宗禍
[00:01:29.000 --> 00:01:31.000]  到今天的經文
[00:01:31.000 --> 00:01:37.000]  當中的律法師很急著為自己辯解
[00:01:37.000 --> 00:01:41.000]  跟耶穌說,你這樣指責法律賽人的時候
[00:01:41.000 --> 00:01:45.000]  即是那些嚴謹遵循律法的法律賽人
[00:01:45.000 --> 00:01:47.000]  其實同樣侮辱了我們
[00:01:47.000 --> 00:01:49.000]  很精心地去編寫
[00:01:49.000 --> 00:01:54.000]  甚至教導律法的一群律法教師
[00:01:54.000 --> 00:01:58.000]  正正因為這樣,耶穌順著這個誓
[00:01:58.000 --> 00:02:04.000]  指出了律法教師他們的禍患
[00:02:04.000 --> 00:02:06.000]  經文四十六節
[00:02:06.000 --> 00:02:09.000]  耶穌說,你們律法師也有禍
[00:02:09.000 --> 00:02:11.000]  因為你們將難挑的擔子
[00:02:11.000 --> 00:02:13.000]  放在別人的身上
[00:02:13.000 --> 00:02:15.000]  自己不肯動一個指頭
[00:02:15.000 --> 00:02:18.000]  去減輕這些擔子
[00:02:18.000 --> 00:02:22.000]  法律賽人是講述一群猶太信徒
[00:02:22.000 --> 00:02:25.000]  他們在神學上、政治立場上
[00:02:25.000 --> 00:02:27.000]  都有他們自己獨特的見解
[00:02:27.000 --> 00:02:31.000]  他們很嚴謹地按照他們的傳統
[00:02:31.000 --> 00:02:34.000]  按照自己的宗派的神學
[00:02:34.000 --> 00:02:40.000]  遵守古人遺留下來的傳統、條例
[00:02:40.000 --> 00:02:44.000]  律法的教師是講述我們平時聽的文士
[00:02:44.000 --> 00:02:49.000]  或文字的領袖,他們很精通律法的文字
[00:02:49.000 --> 00:02:52.000]  鑽研律法,可以說是
