
[00:00:00.000 --> 00:00:04.000]  各位聽衆姐妹朋友們早安
[00:00:04.000 --> 00:00:07.000]  今天又是這個機會
[00:00:07.000 --> 00:00:10.000]  能夠跟各位來分享信息
[00:00:10.000 --> 00:00:14.000]  今天教會的意向是什麼
[00:00:14.000 --> 00:00:17.000]  興旺福音 是的
[00:00:17.000 --> 00:00:19.000]  耶穌這麼的希望
[00:00:19.000 --> 00:00:21.000]  保羅也這麼希望
[00:00:21.000 --> 00:00:25.000]  我們也是這樣的期望
[00:00:25.000 --> 00:00:27.000]  那麼上一次我講的是說
[00:00:27.000 --> 00:00:30.000]  同心合一
[00:00:30.000 --> 00:00:32.000]  興旺福音
[00:00:32.000 --> 00:00:38.000]  那麼合一是偏重在
[00:00:38.000 --> 00:00:41.000]  一個心 一個基督的心
[00:00:41.000 --> 00:00:43.000]  我特別講到
[00:00:43.000 --> 00:00:45.000]  聖經上面說有七個一
[00:00:45.000 --> 00:00:46.000]  不是嗎
[00:00:46.000 --> 00:00:47.000]  它是說
[00:00:47.000 --> 00:00:50.000]  一個身體 一個聖靈 一個指望
[00:00:50.000 --> 00:00:54.000]  一個主 一個信 一個喜 一個神
[00:00:54.000 --> 00:00:56.000]  七個一就表示說
[00:00:56.000 --> 00:00:59.000]  完全的意識 完全的合一
[00:00:59.000 --> 00:01:02.000]  但是不是統一
[00:01:02.000 --> 00:01:04.000]  因爲你去看
[00:01:04.000 --> 00:01:05.000]  那個聖經上面
[00:01:05.000 --> 00:01:06.000]  他跟着講說
[00:01:06.000 --> 00:01:09.000]  他所賜的有使徒 有先知 有傳福音的
[00:01:09.000 --> 00:01:11.000]  有牧師 有教師
[00:01:11.000 --> 00:01:15.000]  爲要成全聖徒 各盡其職
[00:01:15.000 --> 00:01:17.000]  建立基督的身體
[00:01:17.000 --> 00:01:19.000]  基督的身體就是什麼
[00:01:19.000 --> 00:01:21.000]  教會
[00:01:21.000 --> 00:01:22.000]  所以教會里面
[00:01:22.000 --> 00:01:25.000]  雖然我們要以基督的心爲
[00:01:25.000 --> 00:01:27.000]  好像合一
[00:01:27.000 --> 00:01:29.000]  但是我們確實有不同的職份
[00:01:29.000 --> 00:01:32.000]  不同的恩賜 不同的作用
[00:01:32.000 --> 00:01:36.000]  然後來一起來建造基督的身體
[00:01:36.000 --> 00:01:38.000]  尤其我們新萬岸裏面
[00:01:38.000 --> 00:01:39.000]  它在這個地方
[00:01:39.000 --> 00:01:41.000]  坐落在加美之處
[00:01:41.000 --> 00:01:43.000]  我記得我們以前剛進來的時候
[00:01:43.000 --> 00:01:46.000]  外面下雨 裏面就下雨
[00:01:46.000 --> 00:01:49.000]  而且連牆上都長那個
[00:01:49.000 --> 00:01:50.000]  那個香菇了
[00:01:50.000 --> 00:01:53.000]  Fungus都長出來了
