
[00:00:00.000 --> 00:00:02.700]  在上個月有一個機會
[00:00:02.700 --> 00:00:04.700]  剛好有一個學生請喝酒
[00:00:04.700 --> 00:00:07.320]  學生請喝酒,我去吧
[00:00:07.320 --> 00:00:09.980]  坐下,喝酒之前
[00:00:09.980 --> 00:00:13.340]  陸陸續續有些舊生坐下來吃飯
[00:00:13.340 --> 00:00:15.340]  不,還沒吃飯,喝酒之前,講得明白
[00:00:15.340 --> 00:00:17.620]  喝酒之前聊天,廣東講西
[00:00:17.620 --> 00:00:20.940]  講著講著,突然有人問起
[00:00:20.940 --> 00:00:23.300]  喂,你記不記得哪個哪個?
[00:00:23.300 --> 00:00:26.940]  一講起,大家就很興奮
[00:00:26.940 --> 00:00:30.100]  當然記得了,哪個哪個,嘩
[00:00:30.100 --> 00:00:32.100]  嘩,個個臉紅耳熱
[00:00:32.100 --> 00:00:35.080]  你明不明白,絕對比我們講起耶穌基督的名字更興奮
[00:00:35.080 --> 00:00:38.420]  很緊張,講了一大串的東西
[00:00:38.420 --> 00:00:40.640]  一邊講,其實那個哪個哪個呢
[00:00:40.640 --> 00:00:43.180]  就是同學當中,其中一個比較
[00:00:43.180 --> 00:00:44.720]  怎麼說呢
[00:00:44.720 --> 00:00:48.520]  學生當然說他奇怪,古怪,那些來的
[00:00:48.520 --> 00:00:51.240]  還要被人玩得多
[00:00:51.240 --> 00:00:53.600]  一邊講的時候,我坐在旁邊聽
[00:00:53.600 --> 00:00:55.600]  我都記得哪個哪個
[00:00:55.600 --> 00:00:57.600]  講到半天,他燒到我一塊了
[00:00:57.600 --> 00:01:01.920]  有人問我,阿sir,你知不知道當年你上課
[00:01:01.920 --> 00:01:05.840]  有些時間,他其實不在
[00:01:05.840 --> 00:01:09.540]  我說不是啊,我上課應該在的
[00:01:09.540 --> 00:01:11.540]  不是啊,阿sir,是這樣的
[00:01:11.540 --> 00:01:14.220]  大家知不知道什麼叫高影機,講到這裏
[00:01:14.220 --> 00:01:16.880]  就是投影機,overhead projector
[00:01:16.880 --> 00:01:19.280]  就是現在用這些的嘛
[00:01:19.280 --> 00:01:21.280]  就是九十年代
[00:01:21.280 --> 00:01:23.280]  是用膠片一張一張擺上去
[00:01:23.280 --> 00:01:26.820]  那部機很大,用個小機器晾起,行不行啊?
[00:01:26.820 --> 00:01:31.800]  那個時候這些東西,都是叫四位數字的產品,都挺昂貴的
[00:01:31.800 --> 00:01:34.160]  所以那時候課室有這些的時間呢
[00:01:34.160 --> 00:01:37.480]  課室有個櫃的,大概到那個架底位的
[00:01:37.480 --> 00:01:39.360]  要收起來的
[00:01:39.360 --> 00:01:42.360]  那我班學生告訴我,阿sir,其實有幾堂呢
[00:01:42.360 --> 00:01:44.160]  你在那裏一直教書的時候呢
[00:01:44.160 --> 00:01:48.400]  哪個哪個就一直被我們鎖在那個櫃裏面的
[00:01:48.400 --> 00:01:51.120]  一直在裏面,沒有出來的
[00:01:51.120 --> 00:01:54.080]  那我不信了,我說不是啊,你們欺負他
[00:01:54.080 --> 00:01:57.800]  我來到,他都拍門喊救命,走啦,這樣
[00:01:57.800 --> 00:02:01.560]  接著他們再跟我說,阿sir,就算你那時候救了他
[00:02:01.560 --> 00:02:03.320]  下一堂課會沒事嗎?你猜
[00:02:03.320 --> 00:02:07.160]  他們一樣,是不是啊,所以他都懶得吵啦,這樣
[00:02:07.160 --> 00:02:09.440]  那很興奮,哇,很興奮
[00:02:09.440 --> 00:02:11.160]  一路講,一路很雀躍
[00:02:11.160 --> 00:02:13.760]  那舉完這件事又舉,第二件事又舉
[00:02:13.760 --> 00:02:15.080]  不停地繼續講
[00:02:15.080 --> 00:02:17.640]  那如果用我們後來,我們現在認識的那個叫法呢
[00:02:17.640 --> 00:02:20.120]  這些分明是校園欺凌
[00:02:20.120 --> 00:02:22.040]  欺凌,bullying那些
[00:02:22.040 --> 00:02:23.760]  擺明欺負人家,是不是
[00:02:23.760 --> 00:02:25.480]  還要將當年呢
[00:02:25.480 --> 00:02:28.520]  這個我也認識的,我也曉得,就是他們竟然曾經
[00:02:28.520 --> 00:02:30.320]  同樣將那個哪個哪個呢
[00:02:30.320 --> 00:02:32.160]  就是在吃lunch的時候呢
[00:02:32.160 --> 00:02:36.840]  整個人抬上去,擺上個傘架上面,大家知不知道什麼叫傘架
[00:02:36.840 --> 00:02:40.040]  就是那些比較大的課室那些,大的傘架整個擺上去
[00:02:40.040 --> 00:02:43.600]  然後脫鞋帶呢,就綁起他四肢,抬他出冷巷
[00:02:43.600 --> 00:02:45.200]  就玩祭神這樣
[00:02:45.200 --> 00:02:46.640]  很興奮啊他們
[00:02:46.640 --> 00:02:50.600]  哦,多麼的罪惡啊這樣,年輕人上學不要跟著做啊
[00:02:50.600 --> 00:02:51.640]  一路這樣講
[00:02:51.640 --> 00:02:53.440]  哦,很罪惡啊這樣講
[00:02:53.440 --> 00:02:55.800]  講完呢,他為什麼要特意講回這一件呢
[00:02:55.800 --> 00:02:56.880]  他就說
[00:02:56.880 --> 00:02:59.760]  以後呢,偷吃要吃抹嘴啊,因為當年呢
[00:02:59.760 --> 00:03:02.080]  訓導處老師來到我們散水啊
[00:03:02.080 --> 00:03:05.600]  誰知道就發生了灰姑娘的事件了
[00:03:05.600 --> 00:03:07.680]  他拿什麼綁起他啊
[00:03:07.680 --> 00:03:09.720]  鞋帶
[00:03:09.720 --> 00:03:12.280]  阿sir就憑著鞋帶抓回我們那些
[00:03:12.280 --> 00:03:14.800]  就是誰綁上去的人
[00:03:14.800 --> 00:03:18.520]  這是他們生命裡面最懊悔的敗因,很興奮地在那裡講
[00:03:18.520 --> 00:03:22.640]  在那裡講啊,就繼續很罪惡啊,講了十分鐘啊那些事,不講太多
[00:03:22.640 --> 00:03:25.200]  那我忍不住口,我就問了
[00:03:25.200 --> 00:03:29.400]  喂,講了這麼久,誰誰現在在哪裡呢
[00:03:29.400 --> 00:03:31.160]  問題一出
