
[00:00:00.000 --> 00:00:05.000]  今天跟大家分享很特別的一個題目
[00:00:05.000 --> 00:00:08.000]  叫做有生有活的道路
[00:00:08.000 --> 00:00:10.000]  剛才我們看的經文
[00:00:10.000 --> 00:00:14.000]  就是希伯來書第十章第十九節
[00:00:14.000 --> 00:00:16.000]  一直到第十節
[00:00:16.000 --> 00:00:19.000]  而這個經文我們經常都會抽出來
[00:00:19.000 --> 00:00:23.000]  就是說耶穌基督為我們開了一條
[00:00:23.000 --> 00:00:26.000]  有生有活的道路
[00:00:26.000 --> 00:00:28.000]  但是我想問大家
[00:00:28.000 --> 00:00:30.000]  這條有生有活的道路
[00:00:30.000 --> 00:00:32.000]  是一條什麼樣的道路呢?
[00:00:32.000 --> 00:00:34.000]  我們經常都想著
[00:00:34.000 --> 00:00:36.000]  做完基督徒
[00:00:36.000 --> 00:00:37.000]  感謝主
[00:00:37.000 --> 00:00:39.000]  耶穌基督為我們開了一條
[00:00:39.000 --> 00:00:40.000]  有生有活的道路
[00:00:40.000 --> 00:00:43.000]  進入至聖所
[00:00:43.000 --> 00:00:45.000]  是的 新過了
[00:00:45.000 --> 00:00:49.000]  接著慢慢過了多少年了這條路
[00:00:49.000 --> 00:00:50.000]  這條路過了多少年
[00:00:50.000 --> 00:00:54.000]  就變成有舊有死的路了
[00:00:54.000 --> 00:00:55.000]  做基督徒有時候
[00:00:55.000 --> 00:01:00.000]  初初信主 感謝主 我過去的生活
[00:01:00.000 --> 00:01:02.000]  我現在找到人生的意義了
[00:01:02.000 --> 00:01:05.000]  耶穌基督給了我新的生命了
[00:01:05.000 --> 00:01:06.000]  是 新的生命
[00:01:06.000 --> 00:01:07.000]  那你現在的生命
[00:01:07.000 --> 00:01:10.000]  是不是一個新的生命?
[00:01:10.000 --> 00:01:12.000]  新了多久?
[00:01:12.000 --> 00:01:15.000]  四十年了 還新嗎?
[00:01:15.000 --> 00:01:17.000]  還新嗎?
[00:01:17.000 --> 00:01:19.000]  舊了
[00:01:19.000 --> 00:01:21.000]  那是不是耶穌基督的生命
[00:01:21.000 --> 00:01:25.000]  只是新的一時呢?
[00:01:25.000 --> 00:01:28.000]  又或者教會本身
[00:01:28.000 --> 00:01:29.000]  慶祝多少週年了
[00:01:29.000 --> 00:01:32.000]  我都忘記了
[00:01:32.000 --> 00:01:33.000]  四十多年了 新了
[00:01:33.000 --> 00:01:34.000]  這個新的教會
[00:01:34.000 --> 00:01:38.000]  新了四十多年了 還新嗎?
[00:01:38.000 --> 00:01:40.000]  那這個有活的道路呢?
[00:01:40.000 --> 00:01:43.000]  我們教會是不是一個活的教會?
[00:01:43.000 --> 00:01:46.000]  活過了
[00:01:46.000 --> 00:01:51.000]  剛才大家聽那個齊來崇拜
[00:01:51.000 --> 00:01:54.000]  大家知不知道教會剩下多少人?
[00:01:54.000 --> 00:01:56.000]  這樣說大家就知道很少了
[00:01:56.000 --> 00:01:58.000]  剩下多少人
[00:01:58.000 --> 00:01:59.000]  不是剩的
[00:01:59.000 --> 00:02:01.000]  土耳其的教會其實是一些
[00:02:01.000 --> 00:02:03.000]  他們可以有
[00:02:03.000 --> 00:02:08.000]  但是他們是一個被受壓制
[00:02:08.000 --> 00:02:10.000]  叫做有宗教自由
[00:02:10.000 --> 00:02:14.000]  但是基本上是回教的國家
[00:02:14.000 --> 00:02:18.000]  他們那裡 我唱聖誕歌的時候
[00:02:18.000 --> 00:02:22.000]  大概不夠十二個人
[00:02:22.000 --> 00:02:25.000]  但是他們唱得很開心
[00:02:25.000 --> 00:02:27.000]  我在他們當中慶拜
[00:02:27.000 --> 00:02:30.000]  他們是完全用土耳其話
[00:02:30.000 --> 00:02:31.000]  但是他們完全用土耳其話
[00:02:31.000 --> 00:02:32.000]  我連一句都聽不懂
[00:02:32.000 --> 00:02:34.000]  只懂得聽一句
