
[00:00:00.000 --> 00:00:02.000]  醒智媒午安
[00:00:02.000 --> 00:00:06.600]  在新的一年第一周的崇拜
[00:00:06.600 --> 00:00:10.600]  先在這裡恭祝大家新年蒙福
[00:00:10.600 --> 00:00:17.200]  在我進入去今年要跟大家分享的訊息之先
[00:00:17.200 --> 00:00:20.200]  其實我是想先講一講
[00:00:20.200 --> 00:00:23.000]  我們在整年的當中
[00:00:23.000 --> 00:00:26.400]  我們在港壇為什麼這樣編排
[00:00:26.400 --> 00:00:28.800]  如果大家有機會去看年報
[00:00:28.800 --> 00:00:36.200]  或者你曾經有參與我們幾個禮拜之前的會友大會
[00:00:36.200 --> 00:00:41.000]  其實我們在當中有表達過
[00:00:41.000 --> 00:00:45.800]  我們今年會跟大家分享這幾卷書
[00:00:45.800 --> 00:00:48.200]  《爾忽所書》、《菲律賓書》、《哥羅西書》
[00:00:48.200 --> 00:00:49.800]  以及《菲利門書》
[00:00:49.800 --> 00:00:55.800]  這四卷書都是保羅所寫的
[00:00:55.800 --> 00:00:59.800]  在他《新約聖經》十三卷的當中
[00:00:59.800 --> 00:01:04.800]  一般都會將它統稱為監獄書信
[00:01:04.800 --> 00:01:11.800]  原因就是他在裡面都是描述自己是被囚
[00:01:11.800 --> 00:01:13.800]  即是坐牢
[00:01:13.800 --> 00:01:17.800]  如果我們去看《仕途行轉》
[00:01:17.800 --> 00:01:20.800]  其實保羅在第三次宣教旅程
[00:01:20.800 --> 00:01:23.800]  差不多去到尾聲的時候
[00:01:23.800 --> 00:01:27.800]  他和他的同行的人
[00:01:27.800 --> 00:01:31.800]  由小亞細亞要坐船去到耶路撒冷
[00:01:31.800 --> 00:01:35.800]  就是要將一些奉獻
[00:01:35.800 --> 00:01:40.800]  拿給當時正在面對著
[00:01:40.800 --> 00:01:44.800]  飢荒困苦的一班耶路撒冷進途
[00:01:44.800 --> 00:01:51.800]  在暫時停在米利都這個地方的時候
[00:01:51.800 --> 00:01:55.800]  他就被人去提醒他
[00:01:55.800 --> 00:02:00.800]  當時他見了附近的爾弗所的長老
[00:02:00.800 --> 00:02:05.800]  在《仕途行轉》二十章二十二至二十四節那裡
[00:02:05.800 --> 00:02:08.800]  這班長老就提醒他
[00:02:08.800 --> 00:02:13.800]  他說你去到耶路撒冷你要坐牢的
[00:02:13.800 --> 00:02:18.800]  其實他曾經拜訪過好幾個地方
[00:02:18.800 --> 00:02:22.800]  有些信徒都跟他說相類似的話
[00:02:22.800 --> 00:02:27.800]  所以這個最主要就是變成了
[00:02:27.800 --> 00:02:32.800]  其實是聖靈透過這些弟兄姊妹
[00:02:32.800 --> 00:02:34.800]  預備他的心
[00:02:34.800 --> 00:02:37.800]  當他未來要坐牢
[00:02:37.800 --> 00:02:41.800]  要面對患難那會怎樣呢
[00:02:41.800 --> 00:02:44.800]  後來保羅就去了一個叫做
[00:02:44.800 --> 00:02:49.800]  該撒利亞的地方在那裡又被人提醒他
[00:02:49.800 --> 00:02:51.800]  你不要去耶路撒冷
[00:02:51.800 --> 00:02:54.800]  但保羅知道其實上帝的心意
