
[00:00:00.000 --> 00:00:03.200]  願意在講道之前為同心祈禱
[00:00:30.000 --> 00:00:33.000]  願至能夠成為神理話語的出口
[00:00:33.000 --> 00:00:36.000]  能夠將主的恩賢解明
[00:00:36.000 --> 00:00:38.000]  恭敬將以下環節
[00:00:38.000 --> 00:00:41.000]  交託仰望奉主名求
[00:00:41.000 --> 00:00:42.000]  阿們
[00:00:42.000 --> 00:00:44.000]  眨眼今年
[00:00:44.000 --> 00:00:47.000]  今日就是年廿八了
[00:00:47.000 --> 00:00:50.000]  真是很不覺
[00:00:50.000 --> 00:00:52.000]  又一次新年
[00:00:52.000 --> 00:00:56.000]  今年的新年和上一年何其相似
[00:00:56.000 --> 00:00:58.000]  又是這樣的疫情
[00:00:58.000 --> 00:01:00.000]  又是這樣
[00:01:00.000 --> 00:01:05.000]  未能夠相聚
[00:01:05.000 --> 00:01:11.000]  完全沒有新年的氣氛
[00:01:11.000 --> 00:01:17.000]  以前這段時間會去花市買花
[00:01:17.000 --> 00:01:20.000]  年初一會去飲茶
[00:01:20.000 --> 00:01:24.000]  三代同堂去遊花市
[00:01:24.000 --> 00:01:27.000]  兒子會陪奶奶去看花
[00:01:27.000 --> 00:01:30.000]  其名陪奶奶去看花
[00:01:30.000 --> 00:01:33.000]  其實是邀奶奶去買東西
[00:01:33.000 --> 00:01:35.000]  走來走去都是乾貨區
[00:01:35.000 --> 00:01:38.000]  看來看去都是玩具
[00:01:38.000 --> 00:01:39.000]  精品
[00:01:39.000 --> 00:01:40.000]  模型
[00:01:40.000 --> 00:01:43.000]  最終都邀到奶奶買東西
[00:01:43.000 --> 00:01:46.000]  去年有失貨
[00:01:46.000 --> 00:01:47.000]  摸乾貨
[00:01:47.000 --> 00:01:48.000]  兒子走了一個圈
[00:01:48.000 --> 00:01:50.000]  就不想走了
[00:01:50.000 --> 00:01:52.000]  要打鬥回府面為其難
[00:01:52.000 --> 00:01:54.000]  走多個圈
[00:01:54.000 --> 00:01:56.000]  草草收場
[00:01:58.000 --> 00:02:02.000]  誰知今年
[00:02:02.000 --> 00:02:04.000]  我們滿意為
[00:02:04.000 --> 00:02:07.000]  上個月都以為很安定
[00:02:07.000 --> 00:02:09.000]  突然間因為疫情
[00:02:09.000 --> 00:02:11.000]  逝入第五波的時間
[00:02:11.000 --> 00:02:12.000]  不讓人群聚集
[00:02:12.000 --> 00:02:14.000]  連花市都無得行
[00:02:14.000 --> 00:02:16.000]  沒有新年的氣氛
[00:02:16.000 --> 00:02:20.000]  最慘是花農血本無歸
[00:02:20.000 --> 00:02:24.000]  限聚令我們兄弟姊妹都不能夠出外
[00:02:24.000 --> 00:02:26.000]  和奶奶去吃飯
[00:02:26.000 --> 00:02:31.000]  昨晚吃了借去團年飯
[00:02:31.000 --> 00:02:33.000]  繼續是外賣pizza
[00:02:33.000 --> 00:02:34.000]  壽司
[00:02:34.000 --> 00:02:36.000]  燒味
[00:02:36.000 --> 00:02:40.000]  真是非常無奈
[00:02:40.000 --> 00:02:42.000]  今日
[00:02:42.000 --> 00:02:44.000]  大家都好驚
[00:02:44.000 --> 00:02:46.000]  坐困壽星
[00:02:46.000 --> 00:02:52.000]  突然間在新聞報告
[00:02:52.000 --> 00:02:53.000]  某一區
[00:02:53.000 --> 00:02:55.000]  某一個住宅
[00:02:55.000 --> 00:02:58.000]  要去封測的時間
[00:02:58.000 --> 00:03:01.000]  心裏都來一來
[00:03:01.000 --> 00:03:04.000]  回到家
[00:03:04.000 --> 00:03:06.000]  在大堂
[00:03:06.000 --> 00:03:07.000]  突然間見到一個人
[00:03:07.000 --> 00:03:09.000]  穿著保護衣
[00:03:09.000 --> 00:03:11.000]  拿著支嘢噴一噴
[00:03:11.000 --> 00:03:13.000]  心裏都來一來
[00:03:13.000 --> 00:03:14.000]  有人發燒經過
[00:03:14.000 --> 00:03:15.000]  所以噴
[00:03:15.000 --> 00:03:16.000]  當堂定啲
[00:03:16.000 --> 00:03:18.000]  都好驚
[00:03:18.000 --> 00:03:20.000]  我們都落在一個
[00:03:20.000 --> 00:03:22.000]  被隔離
