
[00:00:00.000 --> 00:00:05.840]  今天是救安婆的求主日
[00:00:05.840 --> 00:00:12.740]  題目是「耶穌經歷的冰冷與顯示的人生的世界」
[00:00:12.740 --> 00:00:15.340]  剛好是巴黎事件
[00:00:15.340 --> 00:00:17.840]  三位要簽在一起
[00:00:17.840 --> 00:00:19.840]  不知道簽不簽得到
[00:00:19.840 --> 00:00:21.840]  我們放心就簽吧
[00:00:21.840 --> 00:00:27.520]  希望當我們見到有靚姊妹願意更深去侍奉您的時候
[00:00:27.520 --> 00:00:30.020]  求主幫助我們
[00:00:30.020 --> 00:00:33.400]  無論是在我們平常的工作環境裏面
[00:00:33.400 --> 00:00:36.360]  或者思想更全世界服侍裏面
[00:00:36.360 --> 00:00:38.760]  我們學習更深去經歷您
[00:00:38.760 --> 00:00:42.760]  更願意去跳出一些安全區
[00:00:42.760 --> 00:00:44.520]  進入這個世界裏面
[00:00:44.520 --> 00:00:46.360]  進入不同的裝備裏面
[00:00:46.360 --> 00:00:47.800]  去學習去服侍
[00:00:47.800 --> 00:00:49.560]  因為這世界需要耶穌
[00:00:49.560 --> 00:00:51.160]  需要耶穌的福音
[00:00:51.160 --> 00:00:52.200]  求主恩代
[00:00:52.200 --> 00:00:53.080]  將今天的訊息
[00:00:53.080 --> 00:00:55.080]  今天我們在主日裏面領受
[00:00:55.080 --> 00:00:55.880]  求主大靈
[00:00:55.880 --> 00:00:57.560]  請您感動補償我們
[00:00:57.560 --> 00:00:59.560]  同主耶穌基督的靈魂
[00:00:59.560 --> 00:01:01.560]  今天簡短的經文
[00:01:01.560 --> 00:01:04.760]  講到耶穌由舊約異年到新約異年
[00:01:04.760 --> 00:01:07.560]  都講到耶穌經歷了很多的冰冷與藐視
[00:01:07.560 --> 00:01:09.560]  我們用體育方式讀完這幾節經文
[00:01:09.560 --> 00:01:11.560]  我們先從第一篇開始
[00:01:11.560 --> 00:01:15.160]  他被藐視
[00:01:15.160 --> 00:01:16.160]  被人見利
[00:01:16.160 --> 00:01:18.160]  多受痛苦
[00:01:18.160 --> 00:01:19.160]  常經憂患
[00:01:19.160 --> 00:01:20.160]  他被藐視
[00:01:20.160 --> 00:01:23.160]  好像被人掩面不忘的一樣
[00:01:23.160 --> 00:01:25.160]  我們也不尊重他
[00:01:25.160 --> 00:01:26.160]  他被誤懷
[00:01:26.160 --> 00:01:27.160]  他被人見利
[00:01:27.160 --> 00:01:28.160]  將他打傷
[00:01:28.160 --> 00:01:30.160]  只怕受痛苦
[00:01:30.160 --> 00:01:31.160]  他被誤懷
[00:01:31.160 --> 00:01:32.160]  他因為純粹罪行
[00:01:32.160 --> 00:01:34.160]  他被人看見侮辱
[00:01:34.160 --> 00:01:36.160]  並且被侮辱長年
[00:01:36.160 --> 00:01:37.160]  他被誤懷
[00:01:37.160 --> 00:01:38.160]  他被藐視
[00:01:38.160 --> 00:01:40.160]  只怕受痛苦
[00:01:40.160 --> 00:01:43.160]  受心了求託的兒子
[00:01:43.160 --> 00:01:44.160]  用布包給我
[00:01:44.160 --> 00:01:46.160]  放狀馬掃他
[00:01:46.160 --> 00:01:49.160]  因為下面裏會有地方
[00:01:49.160 --> 00:01:50.160]  他被藐視
[00:01:50.160 --> 00:01:51.160]  被人讓步
[00:01:51.160 --> 00:01:52.160]  他被藐視
[00:01:52.160 --> 00:01:53.160]  他被藐視
[00:01:53.160 --> 00:01:55.160]  只怕受痛苦
[00:01:55.160 --> 00:01:56.160]  他被誤懷
[00:01:56.160 --> 00:01:58.160]  把他釘十字架
[00:01:58.160 --> 00:01:59.160]  長鼓說
[00:01:59.160 --> 00:02:00.160]  為什麼呢
[00:02:00.160 --> 00:02:02.160]  他做了什麼惡事呢
[00:02:02.160 --> 00:02:04.160]  他永遠極力地哭著說
[00:02:04.160 --> 00:02:06.160]  把他釘十字架
[00:02:06.160 --> 00:02:07.160]  他被誤懷
[00:02:07.160 --> 00:02:08.160]  他被藐視
[00:02:08.160 --> 00:02:09.160]  他被人看見侮辱
[00:02:09.160 --> 00:02:10.160]  他被人看見侮辱
[00:02:10.160 --> 00:02:11.160]  他被人看見侮辱
[00:02:11.160 --> 00:02:12.160]  他被人看見侮辱
[00:02:12.160 --> 00:02:13.160]  他被人看見侮辱
[00:02:13.160 --> 00:02:14.160]  他被人看見侮辱
[00:02:14.160 --> 00:02:15.160]  他被人看見侮辱
[00:02:15.160 --> 00:02:16.160]  他被人看見侮辱
[00:02:16.160 --> 00:02:17.160]  他被人看見侮辱
[00:02:17.160 --> 00:02:18.160]  他被人看見侮辱
[00:02:18.160 --> 00:02:19.160]  他被人看見侮辱
[00:02:19.160 --> 00:02:20.160]  他被人看見侮辱
[00:02:20.160 --> 00:02:23.160]  他被人看見侮辱
[00:02:23.160 --> 00:02:24.160]  他被人看見侮辱
[00:02:24.160 --> 00:02:25.160]  他被人看見侮辱
[00:02:25.160 --> 00:02:26.160]  他被人看見侮辱
[00:02:26.160 --> 00:02:27.160]  他被人看見侮辱
[00:02:27.160 --> 00:02:28.160]  他被人看見侮辱
[00:02:28.160 --> 00:02:29.160]  他被人看見侮辱
[00:02:29.160 --> 00:02:30.160]  他被人看見侮辱
[00:02:30.160 --> 00:02:31.160]  他被人看見侮辱
[00:02:31.160 --> 00:02:32.160]  他被人看見侮辱
[00:02:32.160 --> 00:02:33.160]  他被人看見侮辱
[00:02:33.160 --> 00:02:34.160]  他被人看見侮辱
[00:02:34.160 --> 00:02:35.160]  他被人看見侮辱
[00:02:35.160 --> 00:02:36.160]  他被人看見侮辱
[00:02:36.160 --> 00:02:37.160]  他被人看見侮辱
[00:02:37.160 --> 00:02:38.160]  他被人看見侮辱
