
[00:00:00.000 --> 00:00:02.740]  教會是世界的希望
[00:00:02.740 --> 00:00:04.640]  到現在我也很喜歡這本書
[00:00:04.640 --> 00:00:05.760]  這本書的名字
[00:00:05.760 --> 00:00:07.300]  但是裡面也很興奮
[00:00:07.300 --> 00:00:09.160]  教會說的最基本的東西
[00:00:09.160 --> 00:00:10.160]  是什麼呢?
[00:00:10.160 --> 00:00:12.340]  就是培訓門徒
[00:00:12.340 --> 00:00:13.400]  去傳福音
[00:00:13.400 --> 00:00:15.800]  所以今天我希望藉著這篇訊息
[00:00:15.800 --> 00:00:18.260]  在我裡面的題目就是
[00:00:18.260 --> 00:00:21.000]  邁向標桿
[00:00:21.000 --> 00:00:22.900]  屬靈生命系列的終極篇
[00:00:22.900 --> 00:00:25.340]  如果大家記得我已經說了有五篇了
[00:00:25.340 --> 00:00:26.360]  這篇是第六篇
[00:00:26.360 --> 00:00:27.400]  是終極的
[00:00:27.400 --> 00:00:31.240]  即時再沒有話題說關於屬靈生命的成長系列
[00:00:31.240 --> 00:00:32.840]  如果大家想知道是什麼呢?
[00:00:32.840 --> 00:00:33.660]  你就回去看
[00:00:33.660 --> 00:00:35.200]  來來去去都是這六篇了
[00:00:35.200 --> 00:00:36.640]  其實說真的
[00:00:36.640 --> 00:00:37.900]  是三篇而已
[00:00:37.900 --> 00:00:39.900]  不過有第四篇、第五篇
[00:00:39.900 --> 00:00:42.400]  是在三篇補足裡面有些不足
[00:00:42.400 --> 00:00:46.500]  第六篇就是再重新溫習
[00:00:46.500 --> 00:00:47.940]  所以今天所說的
[00:00:47.940 --> 00:00:49.300]  其實大家是聽過的
[00:00:49.300 --> 00:00:50.940]  可以告訴大家你們是聽過的
[00:00:50.940 --> 00:00:53.800]  好,我就會藉著在
[00:00:53.800 --> 00:00:57.800]  《菲律賓書》在第三章十二至十六
[00:00:57.800 --> 00:00:59.400]  我一起讀一讀這篇經文
[00:00:59.400 --> 00:01:01.000]  這篇經文提醒我們
[00:01:01.000 --> 00:01:03.700]  也是保羅提醒我們每一個人
[00:01:03.700 --> 00:01:06.200]  在年終的時候
[00:01:06.200 --> 00:01:07.900]  雖然他說的時候不是年終
[00:01:07.900 --> 00:01:10.600]  但是他寫的時候是生命裡的末期
[00:01:10.600 --> 00:01:12.800]  是他有一個經驗的累積
[00:01:12.800 --> 00:01:14.900]  無論你什麼時候都好
[00:01:14.900 --> 00:01:16.200]  不過我覺得
[00:01:16.200 --> 00:01:17.800]  年終是一個好的時間
[00:01:17.800 --> 00:01:19.000]  或者你過了年
[00:01:19.000 --> 00:01:19.500]  都是可以的
[00:01:19.500 --> 00:01:20.600]  因為計劃是重要的
[00:01:20.600 --> 00:01:22.700]  好,看看保羅有什麼提醒
[00:01:22.700 --> 00:01:24.500]  在他生命裡面重要的計劃
[00:01:24.500 --> 00:01:27.400]  叫我們要邁向標桿
[00:01:27.400 --> 00:01:28.500]  好,我一起讀一讀
[00:01:28.500 --> 00:01:29.500]  好嗎?一二三,來
[00:01:29.500 --> 00:01:34.600]  已經完全了
[00:01:34.600 --> 00:01:36.700]  我乃是竭力追求
[00:01:36.700 --> 00:01:38.700]  或者可以得著
