
[00:00:00.000 --> 00:00:01.860]  各位領子妹 早晨
[00:00:01.860 --> 00:00:04.420]  我們今天就… 不知道你覺不覺得
[00:00:04.420 --> 00:00:07.200]  我們之前是說這個《針研書》
[00:00:07.200 --> 00:00:09.720]  其實我們今年是說三卷書的
[00:00:09.720 --> 00:00:11.000]  很進取
[00:00:11.000 --> 00:00:13.900]  我們頭半年就會說《針研書》
[00:00:13.900 --> 00:00:15.660]  所以我們也有很多遊戲玩
[00:00:15.660 --> 00:00:17.220]  就是我們愛讀《針研》
[00:00:17.220 --> 00:00:19.700]  大家按按按 稍後也有些結果給你看了
[00:00:19.700 --> 00:00:21.660]  但是同樣我們也都…
[00:00:21.660 --> 00:00:23.260]  我們回應世界的轉變
[00:00:23.260 --> 00:00:26.400]  也都從一個《約翰一書》裡面學習
[00:00:26.400 --> 00:00:28.660]  其實我們下半年還有
[00:00:28.660 --> 00:00:30.300]  我們還看《傳道書》
[00:00:30.300 --> 00:00:33.260]  所以我有三卷書來閱讀
[00:00:33.260 --> 00:00:35.960]  那麼《約翰一書》和《傳道書》
[00:00:35.960 --> 00:00:38.000]  我打算逐句逐句解開它
[00:00:38.000 --> 00:00:39.400]  除了第一章
[00:00:39.400 --> 00:00:41.520]  因為我就… 總之沒有說第一章
[00:00:41.520 --> 00:00:44.960]  寫了筆記在程序表裡
[00:00:44.960 --> 00:00:46.560]  哇 我沒有拿程序表
[00:00:46.560 --> 00:00:47.860]  那麼你上網看
[00:00:47.860 --> 00:00:49.500]  第一章我已經講解了
[00:00:49.500 --> 00:00:51.360]  寫了給你看
[00:00:51.360 --> 00:00:53.160]  那麼你自己慢慢讀一讀
[00:00:53.160 --> 00:00:55.360]  但是我們看《約翰一書》
[00:00:55.360 --> 00:00:56.660]  《約翰一書》是
[00:00:56.660 --> 00:00:59.560]  試圖約翰給我們的書信
[00:00:59.560 --> 00:01:01.660]  《約翰一書》其實是
[00:01:01.660 --> 00:01:02.560]  我們可以這樣來看
[00:01:02.560 --> 00:01:04.060]  就是和《約翰福音》
[00:01:04.060 --> 00:01:05.360]  是同一個系列的
[00:01:05.360 --> 00:01:06.660]  同一個作者所寫的
[00:01:06.660 --> 00:01:09.760]  所以那些寫作風格都有些類似的
[00:01:09.760 --> 00:01:12.960]  那麼稍後我也會再點出一些主題
[00:01:12.960 --> 00:01:14.060]  那麼等於呢
[00:01:14.060 --> 00:01:15.760]  我說話也有些口頭禪一聽
[00:01:15.760 --> 00:01:16.860]  就算我變了音了
[00:01:16.860 --> 00:01:17.660]  你也知道我是說話
[00:01:17.660 --> 00:01:19.260]  我的口頭禪很容易認
[00:01:19.260 --> 00:01:21.260]  所以有些標誌在那裡
[00:01:21.260 --> 00:01:22.660]  你就知道是我來的
[00:01:22.660 --> 00:01:23.460]  那麼同樣
[00:01:23.460 --> 00:01:25.860]  你也知道是約翰所寫的
[00:01:25.860 --> 00:01:27.960]  那麼約翰在這個時候
[00:01:27.960 --> 00:01:29.760]  應該是一個年紀比較老邁的
[00:01:29.760 --> 00:01:31.260]  老的試圖
[00:01:31.260 --> 00:01:33.460]  所以我的小子們
[00:01:33.460 --> 00:01:35.560]  我將這些話寫給你們
[00:01:35.560 --> 00:01:37.560]  是叫你們不犯罪
[00:01:37.560 --> 00:01:39.460]  小小你有一個感覺
[00:01:39.460 --> 00:01:40.260]  覺得好像
[00:01:40.260 --> 00:01:41.860]  好像一個白白
[00:01:41.860 --> 00:01:44.460]  像老邁的年輕人
[00:01:44.460 --> 00:01:45.660]  我有些東西寫給你
[00:01:45.660 --> 00:01:46.960]  叫你們不要犯罪
[00:01:46.960 --> 00:01:48.360]  似乎是這樣
[00:01:48.360 --> 00:01:50.160]  但是又不完全是這樣
[00:01:50.160 --> 00:01:51.060]  因為後面那裡
[00:01:51.060 --> 00:01:52.060]  不只是你們
[00:01:52.060 --> 00:01:52.760]  還有我們
[00:01:52.760 --> 00:01:54.660]  他也是其中一份子
[00:01:54.660 --> 00:01:57.660]  那麼他最重要是寫這個書信
[00:01:57.660 --> 00:01:58.160]  告訴你們
[00:01:58.160 --> 00:02:00.160]  要叫你們不犯罪
[00:02:00.160 --> 00:02:01.460]  他的期望是
[00:02:01.460 --> 00:02:03.760]  我們可以知罪認罪
[00:02:03.760 --> 00:02:05.160]  以及悔罪
[00:02:05.160 --> 00:02:07.260]  所以求神也幫助我們
[00:02:07.260 --> 00:02:07.760]  好
[00:02:07.760 --> 00:02:08.860]  那麼我們繼續看
[00:02:08.860 --> 00:02:10.660]  知罪認罪悔罪
[00:02:10.660 --> 00:02:12.260]  還有一件事就是
[00:02:12.260 --> 00:02:13.860]  若有人犯罪了我們
[00:02:13.860 --> 00:02:15.360]  當中有一位中堡就算了
[00:02:15.360 --> 00:02:17.060]  二者耶穌基督
[00:02:17.060 --> 00:02:18.260]  有些人不知道
[00:02:18.260 --> 00:02:19.160]  跟我的牧師說
[00:02:19.160 --> 00:02:19.760]  原來
[00:02:19.760 --> 00:02:20.860]  就是我說完一堂之後
[00:02:20.860 --> 00:02:22.460]  原來平時煮餐的時候
[00:02:22.460 --> 00:02:23.460]  是背金句的
[00:02:23.460 --> 00:02:24.760]  我當然是背金句
[00:02:24.760 --> 00:02:26.060]  是金句來的
[00:02:26.060 --> 00:02:26.860]  因為每個星期
[00:02:26.860 --> 00:02:28.360]  我們都提醒我們
[00:02:28.360 --> 00:02:31.060]  在我們中間有一位中堡就算了
[00:02:31.060 --> 00:02:32.160]  二者耶穌基督
[00:02:32.160 --> 00:02:35.060]  為我們作了挽回祭
[00:02:35.060 --> 00:02:37.060]  所以先說兩件事情
[00:02:37.060 --> 00:02:38.160]  第一件事就是
[00:02:38.160 --> 00:02:39.760]  各位弟兄姊妹
[00:02:39.760 --> 00:02:41.260]  原來我們最近
[00:02:41.260 --> 00:02:42.260]  我最近
[00:02:42.260 --> 00:02:43.560]  其實都不是最近
[00:02:43.560 --> 00:02:44.860]  我們將會有洗禮
[00:02:44.860 --> 00:02:46.060]  6月1日洗禮
[00:02:46.060 --> 00:02:46.760]  看看
[00:02:46.760 --> 00:02:48.960]  都有幾位有些洗禮
[00:02:48.960 --> 00:02:50.760]  我們都會執事
[00:02:50.760 --> 00:02:52.860]  以及同工去面試
[00:02:52.860 --> 00:02:54.360]  我有一個問題問了
[00:02:54.360 --> 00:02:56.860]  其實有接近兩成幾三成人
[00:02:56.860 --> 00:02:58.960]  是答不對標準答案的
