
[00:00:00.000 --> 00:00:02.000]  所以最後晚餐
[00:00:02.000 --> 00:00:09.040]  在約方十五章記載了一句很特別的說話
[00:00:09.040 --> 00:00:12.600]  他說如果你遵守我的誡命
[00:00:12.600 --> 00:00:14.520]  我視你為朋友
[00:00:14.520 --> 00:00:17.480]  因為上帝叫我們做朋友是很有趣的
[00:00:17.480 --> 00:00:20.160]  接著他這樣說
[00:00:20.160 --> 00:00:24.120]  他說我再不看你是一個僕人
[00:00:24.120 --> 00:00:26.600]  為什麼你要做我的朋友呢
[00:00:26.600 --> 00:00:29.880]  他說我要分享我的事
[00:00:30.320 --> 00:00:31.840]  僕人不會知道我的事
[00:00:31.840 --> 00:00:33.640]  朋友跟你說心事
[00:00:33.640 --> 00:00:37.040]  他說上帝天父怎麼跟我說的
[00:00:37.040 --> 00:00:38.920]  我可以跟我的朋友分享
[00:00:38.920 --> 00:00:43.240]  今天我想說一件事
[00:00:43.240 --> 00:00:47.120]  就是正正耶穌在最後的晚餐之後
[00:00:47.120 --> 00:00:48.800]  他釘十架
[00:00:48.800 --> 00:00:51.000]  復活
[00:00:51.000 --> 00:00:52.680]  升天前
[00:00:52.680 --> 00:00:54.480]  就是這段時候
[00:00:54.480 --> 00:00:56.960]  四十天在地上
[00:00:58.360 --> 00:01:00.680]  他顯然
[00:01:00.680 --> 00:01:02.040]  知不知道他顯然了多少次
[00:01:02.040 --> 00:01:05.480]  我統計了八次
[00:01:05.480 --> 00:01:07.480]  頭幾次在捉迷藏
[00:01:07.480 --> 00:01:09.800]  是不是耶穌 不是耶穌
[00:01:09.800 --> 00:01:11.120]  內容不是很多
[00:01:11.120 --> 00:01:15.000]  之後有幾次
[00:01:15.000 --> 00:01:16.640]  僅有幾次
[00:01:16.640 --> 00:01:18.240]  內容很重要
[00:01:18.240 --> 00:01:21.360]  是耶穌好像朋友一樣想跟我們分享
[00:01:21.360 --> 00:01:24.280]  他臨走前一些很重要要說的話
[00:01:24.280 --> 00:01:27.280]  如果大家想一想我明天要走了
[00:01:28.480 --> 00:01:29.840]  我而已不是你
[00:01:29.840 --> 00:01:33.000]  我一定會想
[00:01:33.000 --> 00:01:35.000]  如果你讓我說五句話
[00:01:35.000 --> 00:01:39.640]  我一定會想最重要的那五件事我會交代
[00:01:39.640 --> 00:01:41.640]  給我的家人兒女朋友
[00:01:41.640 --> 00:01:45.000]  耶穌臨走
[00:01:45.000 --> 00:01:46.120]  祂說了幾件事
[00:01:46.120 --> 00:01:49.400]  今天我會分享其中一樣
[00:01:49.400 --> 00:01:51.280]  就是祂復活
[00:01:51.280 --> 00:01:53.240]  大概第十天祂說的事
[00:01:53.240 --> 00:01:55.840]  今天我們紀念
[00:01:55.840 --> 00:01:57.640]  由祂死去復活的十天
[00:01:57.640 --> 00:01:59.800]  究竟祂說了些什麼
[00:01:59.800 --> 00:02:02.320]  祂說朋友我想跟你說
[00:02:02.320 --> 00:02:05.080]  想跟你一起承擔
[00:02:05.080 --> 00:02:11.960]  今天講題是從此以後
[00:02:11.960 --> 00:02:14.920]  從此以後有什麼改變
[00:02:14.920 --> 00:02:16.560]  從此以後有什麼分別
[00:02:16.560 --> 00:02:25.320]  不知道大家有沒有看過《花生漫畫》
[00:02:25.320 --> 00:02:27.080]  Snoopy
[00:02:27.080 --> 00:02:31.680]  《花生漫畫》裏面有幾個人物大家都應該認識
[00:02:31.680 --> 00:02:34.280]  第一個當然是史諾比
[00:02:34.280 --> 00:02:37.000]  第二就是查理布朗
[00:02:37.000 --> 00:02:39.320]  第三就是露西
[00:02:39.320 --> 00:02:41.120]  即是露絲
[00:02:41.120 --> 00:02:43.800]  有誰看過這漫畫
[00:02:43.800 --> 00:02:44.720]  揮揮手
[00:02:44.720 --> 00:02:46.040]  一定有
[00:02:46.040 --> 00:02:47.560]  其中一個故事很有趣
[00:02:47.560 --> 00:02:49.360]  它說露絲
[00:02:49.360 --> 00:02:51.440]  露絲經常開檔
[00:02:51.440 --> 00:02:54.640]  她開的叫心理輔導的櫃位
[00:02:54.640 --> 00:02:57.160]  她開檔是這樣的 心理輔導
[00:02:57.160 --> 00:02:59.680]  五仙很便宜 現在的很貴
[00:02:59.680 --> 00:03:00.920]  要一千幾百
[00:03:00.920 --> 00:03:02.520]  她就寫了 通常開檔就寫
[00:03:02.520 --> 00:03:04.000]  The doctor is in
[00:03:04.000 --> 00:03:05.200]  她就是
[00:03:05.200 --> 00:03:06.320]  當時呢
[00:03:06.320 --> 00:03:09.120]  布朗很沮喪
[00:03:09.120 --> 00:03:10.320]  頭凹凹
[00:03:10.320 --> 00:03:12.800]  經過她的櫃位 經常都是這樣
[00:03:12.800 --> 00:03:13.880]  接著
[00:03:13.880 --> 00:03:16.720]  就很想尋求幫助
[00:03:16.720 --> 00:03:18.880]  露絲見到布朗
[00:03:18.880 --> 00:03:21.240]  就說了一句話
[00:03:21.240 --> 00:03:21.960]  她怎麼說
[00:03:21.960 --> 00:03:27.600]  她說 生命好像一張太陽椅
[00:03:27.600 --> 00:03:29.640]  布朗已經夠煩了
[00:03:29.640 --> 00:03:31.120]  還說些不知你說什麼的
[00:03:31.120 --> 00:03:32.040]  於是她就說了
[00:03:32.040 --> 00:03:34.400]  你說什麼 像什麼
[00:03:34.400 --> 00:03:36.120]  接著
[00:03:36.120 --> 00:03:37.440]  露絲就說了
