
[00:00:00.000 --> 00:00:05.800]  有一個故事講到一位牧師在主一崇拜的報告
[00:00:05.800 --> 00:00:10.160]  即是我們的家事分享環節裏面就跟會眾講
[00:00:10.160 --> 00:00:13.180]  我有三個消息要和大家講
[00:00:13.180 --> 00:00:15.440]  第一個是壞消息
[00:00:15.440 --> 00:00:17.820]  第二個是好消息
[00:00:17.820 --> 00:00:20.320]  第三個是壞消息
[00:00:20.320 --> 00:00:23.600]  第一個壞消息是什麼呢?
[00:00:23.600 --> 00:00:28.000]  就是我們這座建築物在教堂日久失修
[00:00:28.000 --> 00:00:33.680]  很多地方漏水 要很多錢才能修好
[00:00:33.680 --> 00:00:35.520]  第二個是好消息
[00:00:35.520 --> 00:00:40.020]  就是我們有足夠的錢可以做維修
[00:00:40.020 --> 00:00:44.600]  第三個壞消息就是錢還在你的袋裏面
[00:00:44.600 --> 00:00:49.080]  很多故事講到很多時候我們教會和信徒
[00:00:49.080 --> 00:00:54.800]  面對金錢奉獻產生的壓力和困擾
[00:00:54.800 --> 00:00:57.760]  如果信徒都不明白奉獻
[00:00:57.760 --> 00:01:01.000]  或者受到困擾 未信的人就更加
[00:01:01.000 --> 00:01:03.580]  記得很多年前我在加拿大
[00:01:03.580 --> 00:01:08.000]  我在一個普通話的社交網站上登了一篇文章
[00:01:08.000 --> 00:01:11.760]  那時剛剛情人節 我登了一篇福音的文章
[00:01:11.760 --> 00:01:15.240]  就是情人節牧師的遐想
[00:01:15.240 --> 00:01:17.760]  其實不是講我的愛情故事
[00:01:17.760 --> 00:01:21.000]  而是從愛那裏講到耶穌基督
[00:01:21.000 --> 00:01:23.400]  情人節牧師遐想
[00:01:23.400 --> 00:01:26.280]  引起了很大的辯論
[00:01:26.280 --> 00:01:28.480]  在社交網上有些人可以留言
[00:01:28.480 --> 00:01:31.920]  總共點擊率達到2000個
[00:01:31.920 --> 00:01:36.720]  有些未信的朋友覺得教會是騙他們的錢
[00:01:36.720 --> 00:01:38.880]  就把牧師改了個名字
[00:01:38.880 --> 00:01:41.880]  普通話的牧字 牧師
[00:01:41.880 --> 00:01:46.160]  牧字和墳墓的墓是同一個音
[00:01:46.160 --> 00:01:49.120]  屍字和屍體的屍是同一個音
[00:01:49.120 --> 00:01:51.960]  就把牧師改成了牧師
[00:01:51.960 --> 00:01:53.800]  牧師騙錢
[00:01:53.800 --> 00:01:56.920]  然後有人就說 為甚麼你那麼可憐 改了這個名字
[00:01:56.920 --> 00:02:00.920]  於是一直討論 討論到錢 金錢 教會的問題
[00:02:00.920 --> 00:02:02.720]  我沒有參與這個討論
[00:02:02.720 --> 00:02:07.680]  我就覺得 原來那些人的看法也很驚訝
[00:02:07.680 --> 00:02:12.400]  我們基督徒其實對奉獻很多時候都不是很明白
[00:02:12.400 --> 00:02:15.720]  有另一個故事就講到有兩個人行山
[00:02:15.720 --> 00:02:17.360]  行山就迷失了路
[00:02:17.360 --> 00:02:20.520]  那個時代還沒有手機
[00:02:20.520 --> 00:02:23.960]  哇 牧師還沒有手機 那個是不是咸豐年 這麼久了
[00:02:23.960 --> 00:02:27.800]  其實二十多年前都沒有手機 有些人是不知道的
[00:02:27.800 --> 00:02:31.840]  行山迷失了路 困在深山裏面怎麼辦呢?
[00:02:31.840 --> 00:02:34.480]  有一個就方失失 亭亭轉
[00:02:34.480 --> 00:02:40.760]  另一個就躺在草地裏曬太陽 很安定 很舒服
[00:02:40.760 --> 00:02:44.320]  第一個就問他 你不害怕嗎? 為甚麼你那麼安定?
[00:02:44.320 --> 00:02:48.480]  他說我很安定的 因為我牧師就知道我來這裏行山
[00:02:48.480 --> 00:02:54.000]  他會總動員整幫教會的會眾來找我 一定找到我的
[00:02:54.000 --> 00:02:56.680]  他說為甚麼你牧師這麼緊張要找你呢?
[00:02:56.680 --> 00:03:00.000]  他說因為我每個星期奉獻十萬元
[00:03:00.000 --> 00:03:02.320]  這個故事的環節
[00:03:02.320 --> 00:03:05.760]  有一個環節就是一定不會出現在太古城堂
[00:03:05.760 --> 00:03:07.840]  就不是說你不會奉獻十萬元
[00:03:07.840 --> 00:03:12.440]  而是你的牧師是不知道每一個信徒奉獻多少
[00:03:12.440 --> 00:03:17.000]  我也都不想知道
[00:03:17.000 --> 00:03:20.440]  我過去的幾十年 我侍奉這麼多間教會
[00:03:20.440 --> 00:03:26.280]  沒有試過有一間是由經濟問題解決不了
[00:03:26.280 --> 00:03:30.160]  每一間教會上帝都有供應
[00:03:30.160 --> 00:03:32.920]  所以我不擔心太古城堂
[00:03:32.920 --> 00:03:37.360]  在戴德生有一句話說
[00:03:37.360 --> 00:03:41.280]  戴德生就是英國的宣教士百多年前來到中國
[00:03:41.280 --> 00:03:43.520]  在內地會的創辦人
[00:03:43.520 --> 00:03:47.960]  他說上帝的工作按照上帝的心意來做
[00:03:47.960 --> 00:03:52.280]  永不會缺乏上帝的供應
[00:03:52.280 --> 00:03:55.280]  這個都是我很多年的經歷
[00:03:55.280 --> 00:03:57.440]  所以我不擔心教會沒有錢
[00:03:57.440 --> 00:04:01.560]  或者你會問 牧師既然你不擔心教會沒有錢
[00:04:01.560 --> 00:04:06.280]  為甚麼要講這個奉獻的道呢 不就不用講了
[00:04:06.280 --> 00:04:08.760]  沒錯 我是不擔心教會
