
[00:00:00.000 --> 00:00:05.440]  多謝,各位早晨
[00:00:05.440 --> 00:00:09.000]  能夠回來跟大家分享上主的說話,實在是很大的福氣
[00:00:09.000 --> 00:00:14.000]  能夠回來跟大家分享上主的說話,實在是很大的福氣
[00:00:14.000 --> 00:00:19.680]  對我們靈峰所做的工作,大家想知多一點,可以上我們的網站
[00:00:19.680 --> 00:00:24.480]  對我們靈峰所做的工作,大家想知多一點,可以上我們的網站
[00:00:24.480 --> 00:00:31.800]  不要打了.com,因為會帶你去酒店
[00:00:31.800 --> 00:00:36.200]  我不是幫酒店打工的
[00:00:36.200 --> 00:00:42.600]  今早我們看新命記第六章
[00:00:42.600 --> 00:00:50.100]  我們已經讀過其中幾節的經文
[00:00:50.100 --> 00:00:56.400]  記得嗎?有一天有人去見耶穌
[00:00:56.400 --> 00:01:04.800]  問祂在律法中最大的誡命是哪一條
[00:01:04.800 --> 00:01:08.400]  其實這不是新問題
[00:01:08.400 --> 00:01:17.400]  耶穌時期的拉比們經常為這個爭辯不休
[00:01:17.400 --> 00:01:28.100]  哪一條是最大的,哪一條是最小的呢?
[00:01:28.100 --> 00:01:35.400]  他們記得最小的那一條是在新命記裏面的
[00:01:35.400 --> 00:01:43.200]  就是關於鳥巢
[00:01:43.200 --> 00:01:50.100]  就是說你去到鳥巢那裏你只可以拿蛋,不可以拿媽媽
[00:01:50.100 --> 00:01:54.100]  這個就是誡命中最小的一條
[00:01:54.100 --> 00:02:00.600]  不是因為不重要
[00:02:00.600 --> 00:02:07.600]  而是說如果這條都要馴服的話,那其他的就更加要馴服了
[00:02:07.600 --> 00:02:11.400]  但是最大的一條誡命呢?
[00:02:11.400 --> 00:02:19.700]  這位就是來到耶穌面前問祂
[00:02:19.700 --> 00:02:32.700]  在耶穌時代的拉比很多都會同意耶穌所給的答案
[00:02:32.700 --> 00:02:38.700]  最大的誡命就是要盡心盡性盡意盡力愛主你的上帝
[00:02:41.700 --> 00:02:44.700]  這一句話是由新命記第六章出來的
[00:02:44.700 --> 00:02:52.700]  然後主耶穌再補上一句
[00:02:52.700 --> 00:02:56.700]  「其次也相仿,就是要愛人如己」
[00:02:56.700 --> 00:03:03.700]  這個年輕人就讚耶穌,你答得好
[00:03:07.700 --> 00:03:13.700]  是愛上帝比獻一切的繁祭更為重要
[00:03:13.700 --> 00:03:18.700]  但是主耶穌去得更盡
[00:03:18.700 --> 00:03:26.700]  祂說再沒有比這兩條誡命更大的誡命了
