
[00:00:00.000 --> 00:00:01.520]  金和銀我也沒有
[00:00:01.520 --> 00:00:02.680]  但我看看這段新聞
[00:00:02.680 --> 00:00:04.560]  我又用另一個角度來看
[00:00:04.560 --> 00:00:07.080]  是兩個例行公事加起來之後
[00:00:07.080 --> 00:00:08.280]  上帝獨行其事
[00:00:08.280 --> 00:00:09.320]  從頭說一次
[00:00:09.320 --> 00:00:11.480]  兩個例行公事加起來之後
[00:00:11.480 --> 00:00:12.680]  上帝獨行其事
[00:00:12.680 --> 00:00:13.760]  什麼意思呢?
[00:00:13.760 --> 00:00:15.600]  這個例行公事
[00:00:15.600 --> 00:00:17.600]  其實我們平時也有很多例行公事
[00:00:17.600 --> 00:00:18.120]  做基督徒
[00:00:18.120 --> 00:00:19.480]  做人也是有很多例行公事
[00:00:19.480 --> 00:00:20.560]  不知道你覺不覺得
[00:00:20.560 --> 00:00:24.560]  譬如如果你每天都鼓勵你靈修
[00:00:24.560 --> 00:00:25.840]  看聖經祈禱
[00:00:25.840 --> 00:00:27.640]  通常你都說沒什麼得著
[00:00:27.640 --> 00:00:28.200]  同不同意?
[00:00:28.200 --> 00:00:28.720]  例行公事
[00:00:28.720 --> 00:00:31.400]  不過也照做,乖乖地照做
[00:00:31.400 --> 00:00:32.360]  是例行公事
[00:00:32.360 --> 00:00:34.480]  有時候我這樣說
[00:00:34.480 --> 00:00:36.600]  有其他很多不同的例行公事
[00:00:36.600 --> 00:00:39.280]  例如牧師其實每個星期站在門口
[00:00:39.280 --> 00:00:40.880]  握手拜拜那些都是例行公事
[00:00:40.880 --> 00:00:43.240]  你覺不覺得像不像?
[00:00:43.240 --> 00:00:44.160]  那又沒什麼特別的
[00:00:44.160 --> 00:00:45.840]  都是握手拜拜一下
[00:00:45.840 --> 00:00:48.360]  現在不讓握手也去看看
[00:00:48.360 --> 00:00:50.680]  也是每個星期差不多這樣做一下
[00:00:50.680 --> 00:00:51.720]  都是例行公事
[00:00:51.720 --> 00:00:52.920]  是例例地行公事
[00:00:52.920 --> 00:00:54.440]  但其實我是用心做的
[00:00:54.440 --> 00:00:56.440]  不過有些人是逃避我的
[00:00:56.440 --> 00:00:58.640]  看我站在這邊,他是走那邊的
[00:00:58.640 --> 00:01:01.040]  無論如何都是在例行公事
[00:01:01.040 --> 00:01:02.840]  甚至我們每個月
[00:01:02.840 --> 00:01:03.880]  有文不在這裡
[00:01:03.880 --> 00:01:10.080]  我們每個月都去街頭報道
[00:01:10.080 --> 00:01:12.000]  一點點都是例行公事
[00:01:12.000 --> 00:01:13.520]  有時候都會有一個感覺
[00:01:13.520 --> 00:01:15.680]  不會期望很多人信主
[00:01:15.680 --> 00:01:19.160]  那些人排隊來拿你的福音單張
[00:01:19.160 --> 00:01:21.800]  但是我覺得我們都要做的
[00:01:21.800 --> 00:01:23.160]  做得多少
[00:01:23.160 --> 00:01:24.600]  例例地行公事
[00:01:24.600 --> 00:01:25.320]  同不同意?
[00:01:25.320 --> 00:01:26.040]  有時候我們都做
[00:01:26.040 --> 00:01:27.080]  但是都要做的
[00:01:27.080 --> 00:01:28.800]  不知道什麼時候
[00:01:28.800 --> 00:01:29.760]  一個例行公事
[00:01:29.760 --> 00:01:33.000]  我們看看經文提到一樣東西
[00:01:33.000 --> 00:01:34.480]  新初禱告的時候
[00:01:34.480 --> 00:01:36.280]  彼得約翰上聖殿去
[00:01:36.280 --> 00:01:37.960]  新初禱告的時候
[00:01:37.960 --> 00:01:39.080]  就是一個定的時候
[00:01:39.080 --> 00:01:41.720]  原來猶太人三次祈禱的
[00:01:41.720 --> 00:01:44.320]  早上一早日出的時候
[00:01:44.320 --> 00:01:46.200]  下午三點就是現在這個新初
[00:01:46.200 --> 00:01:47.880]  或者黃昏日落的時候
[00:01:47.880 --> 00:01:50.080]  三個時段例行公事
