
[00:00:00.000 --> 00:00:04.000]  我本來想叫今天的訊息叫做
[00:00:04.000 --> 00:00:06.000]  「海沙般的挑戰」
[00:00:06.000 --> 00:00:10.000]  Betty這姊妹是要大哥
[00:00:10.000 --> 00:00:12.000]  所以她打電話給我
[00:00:12.000 --> 00:00:15.000]  她說: 牧師,你這個題目是什麼意思?
[00:00:15.000 --> 00:00:18.000]  我才心想,大件事
[00:00:18.000 --> 00:00:22.000]  原來我的題目一舊運
[00:00:22.000 --> 00:00:24.000]  我自己看都是很多問題
[00:00:24.000 --> 00:00:28.000]  所以我今天又改變了我的題目
[00:00:28.000 --> 00:00:31.000]  叫它做「完成征戰加南」
[00:00:31.000 --> 00:00:35.000]  我覺得這個題目是比較貼切
[00:00:35.000 --> 00:00:38.000]  副標題是「屬靈真戰的要領」
[00:00:38.000 --> 00:00:43.000]  我們每個基督徒身上都要打屬靈的真戰
[00:00:43.000 --> 00:00:45.000]  透過約書亞記
[00:00:45.000 --> 00:00:49.000]  透過以色列人怎樣被加南人攻擊
[00:00:49.000 --> 00:00:53.000]  我們能夠學習我們怎樣應對屬靈的真戰
[00:00:53.000 --> 00:00:58.000]  這就是我們今天要學的
[00:00:58.000 --> 00:01:03.000]  約書亞記載了有四場主要的真戰
[00:01:03.000 --> 00:01:07.000]  第一場是在耶利歌城
[00:01:07.000 --> 00:01:10.000]  第二場是在艾城
[00:01:10.000 --> 00:01:13.000]  第三場是在基片
[00:01:13.000 --> 00:01:16.000]  第四場是在下鎖
[00:01:16.000 --> 00:01:21.000]  就是我們今天要講的故事
[00:01:21.000 --> 00:01:26.000]  約書亞首先攻擊耶利歌城和艾城
[00:01:26.000 --> 00:01:30.000]  耶利歌和艾城都在加南地最中心的地方
[00:01:30.000 --> 00:01:34.000]  神是教約書亞先攻擊中心的地方
[00:01:34.000 --> 00:01:38.000]  將敵人分開南邊和北邊
[00:01:38.000 --> 00:01:41.000]  他們就不能夠聯手攻擊約書亞
[00:01:41.000 --> 00:01:46.000]  約書亞和以色列人就能夠逐一將他們擊敗
[00:01:46.000 --> 00:01:50.000]  上一次第十章是講到南邊的戰爭
[00:01:50.000 --> 00:01:54.000]  耶路撒冷王阿多尼洗德
