
[00:00:00.000 --> 00:00:03.700]  好 今天我們看一個《傳道書》七章八節
[00:00:03.700 --> 00:00:05.100]  雖然只有一句
[00:00:05.100 --> 00:00:07.900]  但是隱藏著一個很深的意義在裡面
[00:00:07.900 --> 00:00:13.000]  就是事情的終局 強如他的起頭
[00:00:13.000 --> 00:00:17.200]  第二句就是全心忍耐的是勝過居心驕傲
[00:00:17.200 --> 00:00:18.800]  發言得是非常好的
[00:00:18.800 --> 00:00:20.300]  好像一句詩句一樣
[00:00:20.300 --> 00:00:22.400]  就是對反對亂一樣
[00:00:22.400 --> 00:00:25.500]  英文就是The end of the matter is better than its beginning
[00:00:25.500 --> 00:00:30.800]  就是我們看終局是還要看它的起頭
[00:00:30.800 --> 00:00:32.900]  或是看它的過程
[00:00:32.900 --> 00:00:35.800]  寫這句很有智慧的作者
[00:00:35.800 --> 00:00:37.800]  大家都知道是《傳道書》的作者
[00:00:37.800 --> 00:00:39.700]  就是所羅門王
[00:00:39.700 --> 00:00:43.000]  所羅門王就是大衛的兒子
[00:00:43.000 --> 00:00:47.000]  所羅門王就是他在
[00:00:47.000 --> 00:00:51.100]  就是他統領這個猶大和以色列全國的時候
[00:00:51.100 --> 00:00:56.000]  是當時中東地區巴勒斯坦地區最富裕
[00:00:56.000 --> 00:00:58.500]  也是最強的國家
[00:00:58.500 --> 00:01:02.000]  他有很多財富
[00:01:02.000 --> 00:01:06.000]  但是他也依靠神
[00:01:06.000 --> 00:01:08.500]  因為他知道有很多事情都要靠神
[00:01:08.500 --> 00:01:10.600]  他就寫了《傳道書》
[00:01:10.600 --> 00:01:13.100]  很多人知道《傳道書》就是說空虛
[00:01:13.100 --> 00:01:14.900]  空虛又空虛
[00:01:14.900 --> 00:01:19.000]  他覺得其實雖然他已經很有權力
[00:01:19.000 --> 00:01:20.400]  很有財富
[00:01:20.400 --> 00:01:22.500]  但是心仍然是空虛
[00:01:22.500 --> 00:01:25.200]  假如沒有神同在的話
[00:01:25.200 --> 00:01:28.300]  一切都是轉眼成空
[00:01:28.300 --> 00:01:31.100]  他覺得很多事很多事情
[00:01:31.100 --> 00:01:34.300]  它的開頭可能是不理想的
[00:01:34.300 --> 00:01:36.900]  或者過程可能是很困難
[00:01:36.900 --> 00:01:38.500]  但是終局
[00:01:38.500 --> 00:01:41.600]  就可以告訴你是勝過一切
[00:01:41.600 --> 00:01:44.800]  這個就是今天給我們提醒了很多事情
[00:01:44.800 --> 00:01:47.200]  很多時候特別是香港來的朋友
[00:01:47.200 --> 00:01:48.300]  我經常聽到一句說話
[00:01:48.300 --> 00:01:51.900]  小孩子千萬不要輸在哪裡
[00:01:51.900 --> 00:01:54.300]  輸在起跑線那裡
[00:01:54.300 --> 00:01:57.200]  輸在起跑線是不是真的這麼吃虧呢
[00:01:57.200 --> 00:01:58.500]  其實真的不是
[00:01:58.500 --> 00:01:59.300]  你看回
[00:01:59.300 --> 00:02:01.700]  你若干年後你回頭看
[00:02:01.700 --> 00:02:04.100]  其實就分別不大
[00:02:04.100 --> 00:02:05.500]  不要怪家長
[00:02:05.500 --> 00:02:07.100]  其實怪就怪制度
[00:02:07.100 --> 00:02:09.000]  香港教育的制度
[00:02:09.000 --> 00:02:11.200]  人家個個是這樣做
[00:02:11.200 --> 00:02:12.400]  你不去跟
[00:02:12.400 --> 00:02:13.500]  你就輸了
[00:02:13.500 --> 00:02:14.800]  你輸了當然不安樂
[00:02:14.800 --> 00:02:16.500]  小孩子又被人小看
[00:02:16.500 --> 00:02:18.400]  所以沒辦法
[00:02:18.400 --> 00:02:19.800]  所以聽說
[00:02:19.800 --> 00:02:21.200]  因為我的女兒出生
[00:02:21.200 --> 00:02:23.800]  我沒有受過香港的教育
[00:02:23.800 --> 00:02:25.900]  聽說進幼稚園
[00:02:25.900 --> 00:02:27.900]  都要拿所有所謂portfolio
[00:02:27.900 --> 00:02:29.500]  什麼portfolio是什麼
[00:02:29.500 --> 00:02:32.900]  我以前知道是找工作才有portfolio
[00:02:32.900 --> 00:02:35.400]  原來進幼稚園都要portfolio
