
[00:00:00.000 --> 00:00:02.120]  如果你還記得第一次
[00:00:02.120 --> 00:00:04.480]  應該是一個月前左右
[00:00:04.480 --> 00:00:06.720]  在這裡開始講《爾忽所書》的時候
[00:00:06.720 --> 00:00:08.720]  我不是講了一個祈禱嗎?
[00:00:08.720 --> 00:00:13.480]  求神將祂智慧和啟示的靈賞賜給我們
[00:00:13.480 --> 00:00:16.520]  智慧和啟示的靈賞賜給我們
[00:00:16.520 --> 00:00:19.480]  在那裡可以說是這本書
[00:00:19.480 --> 00:00:21.600]  有一個很重要的祈禱
[00:00:21.600 --> 00:00:23.080]  《爾忽所書》
[00:00:23.080 --> 00:00:28.560]  其實有兩個圖稿是很重要和很出名的
[00:00:28.560 --> 00:00:30.800]  第一個就是第一章
[00:00:30.800 --> 00:00:36.280]  我們剛才講的第十五節開始
[00:00:36.280 --> 00:00:38.680]  一直到第二十三節
[00:00:38.680 --> 00:00:42.040]  而第二個圖稿就是今天很想跟大家分享的
[00:00:42.040 --> 00:00:47.000]  就是保羅在他一直講述教會
[00:00:47.000 --> 00:00:50.040]  特別是耶穌基督的教會那種重要
[00:00:50.040 --> 00:00:53.480]  那種奇妙神的計劃裡面
[00:00:53.480 --> 00:00:55.680]  他帶來他第二個的祈禱
[00:00:55.680 --> 00:01:00.320]  這個祈禱我相信也是很鼓勵我們怎樣祈禱
[00:01:00.320 --> 00:01:03.520]  還有鼓勵我們在我們的禱告
[00:01:03.520 --> 00:01:05.360]  特別是為教會、為弟兄姊妹
[00:01:05.360 --> 00:01:07.800]  為耶穌基督的身體祈禱的時候
[00:01:07.800 --> 00:01:10.120]  我們有什麼焦點和方向
[00:01:10.120 --> 00:01:13.880]  今天主要會講第三章第十四節、二十一節
[00:01:13.880 --> 00:01:18.280]  但是我想因為第三章都是一個連貫的整體
[00:01:18.280 --> 00:01:21.480]  我們會讀一次整張聖經
[00:01:21.480 --> 00:01:24.040]  其實是很快的
[00:01:24.040 --> 00:01:28.120]  不過我的焦點會去到後面的祈禱
[00:01:28.120 --> 00:01:30.880]  怎樣去進深祈禱呢?
[00:01:30.880 --> 00:01:33.000]  我們看看二弗所說的第三章
[00:01:33.000 --> 00:01:34.600]  第一節開始
[00:01:34.600 --> 00:01:36.040]  我們一起讀第一節
[00:01:36.040 --> 00:01:39.040]  去到第十三節
[00:01:39.040 --> 00:01:40.600]  一至十三節一起讀一次
[00:01:40.600 --> 00:01:41.160]  請
[00:01:41.160 --> 00:01:45.000]  因此,我保羅為你們愛邦人
[00:01:45.000 --> 00:01:49.440]  作了基督耶穌被囚的替你們祈禱
[00:01:49.440 --> 00:01:53.360]  曾聽見神賜恩給我
[00:01:53.360 --> 00:01:57.200]  將關切你們的積分託付我
[00:01:57.200 --> 00:02:01.240]  用啟示使我知道福音的奧秘
[00:02:01.240 --> 00:02:04.560]  正如我以前略略寫過的
[00:02:04.560 --> 00:02:09.760]  你們念了就能曉得我心知基督的奧秘
[00:02:09.760 --> 00:02:14.560]  這奧秘在以前的世代沒有叫人知道
[00:02:14.560 --> 00:02:20.320]  像如今藉著聖靈啟示他的聖使徒和先知
[00:02:20.320 --> 00:02:25.440]  這奧秘就是愛邦人在基督耶穌裡
[00:02:25.440 --> 00:02:28.840]  藉著福音得以同為後製
[00:02:28.840 --> 00:02:32.200]  同為一體,同蒙應許
[00:02:32.200 --> 00:02:35.080]  我作了這福音的執事
[00:02:35.080 --> 00:02:37.320]  是照神的恩賜
[00:02:37.320 --> 00:02:42.080]  這恩賜是照他運行的大能賜給我的
[00:02:42.080 --> 00:02:46.600]  我本來比眾聖徒中最少的還少
[00:02:46.600 --> 00:02:49.800]  然而他還賜我這恩典
[00:02:49.800 --> 00:02:55.280]  叫我把基督那測不透的豐富傳給愛邦人
[00:02:55.280 --> 00:02:57.800]  又使眾人都明白
[00:02:57.800 --> 00:03:03.800]  這歷代以來隱藏在創造萬物之神裡的奧秘
[00:03:03.800 --> 00:03:06.040]  是如何安排的
[00:03:06.040 --> 00:03:10.040]  為要藉著教會使天上執政的
[00:03:10.040 --> 00:03:14.640]  掌權的,現在得知神百般的智慧
[00:03:14.640 --> 00:03:18.040]  這是照神從萬世以前
[00:03:18.040 --> 00:03:22.600]  在我們主基督耶穌裡所定的旨意
[00:03:22.600 --> 00:03:24.800]  我們因信耶穌
[00:03:24.800 --> 00:03:28.040]  就在他裡面放膽無懼
[00:03:28.040 --> 00:03:31.440]  篤信不疑地來到神面前
[00:03:31.440 --> 00:03:37.960]  所以我求你們不要因我為你們所受的患難喪膽
[00:03:37.960 --> 00:03:40.960]  這原是你們的榮耀
[00:03:40.960 --> 00:03:45.360]  從這段經文開始第一節
[00:03:45.360 --> 00:03:46.880]  其實他已經想祈禱了
[00:03:46.880 --> 00:03:49.000]  你發覺第一節保羅就說
[00:03:49.000 --> 00:03:51.600]  因此我保羅為你們愛邦人
[00:03:51.600 --> 00:03:56.600]  為你們愛邦人作了基督耶穌被囚的替你們祈禱
[00:03:56.600 --> 00:03:58.400]  他根本上是想祈禱
