
[00:00:00.000 --> 00:00:02.840]  上個禮拜講下該書第一章
[00:00:02.840 --> 00:00:06.320]  講起來重建耶和華的殿
[00:00:06.320 --> 00:00:10.600]  邀請弟兄姊妹由你坐在位置上一起起身
[00:00:10.600 --> 00:00:12.680]  我們嘗試重建
[00:00:12.680 --> 00:00:13.800]  按照上帝的心意
[00:00:13.800 --> 00:00:16.480]  他叫我們不要只顧自己的屋子
[00:00:16.480 --> 00:00:18.080]  要顧上帝的屋子
[00:00:18.080 --> 00:00:22.400]  我們就起來去重建聖殿
[00:00:22.400 --> 00:00:28.120]  來到第二章就要講堅持了
[00:00:28.120 --> 00:00:34.520]  上個禮拜如果你有看會看到我展示過這張圖畫
[00:00:34.520 --> 00:00:36.520]  這是古列的滾筒
[00:00:36.520 --> 00:00:38.120]  就是當古列下詔
[00:00:38.120 --> 00:00:39.400]  以色列人
[00:00:39.400 --> 00:00:41.400]  即是波斯王下詔
[00:00:41.400 --> 00:00:44.960]  說你們誰想回故鄉
[00:00:44.960 --> 00:00:47.000]  有一封詔書
[00:00:47.000 --> 00:00:51.960]  你就可以回去耶路撒冷重建自己的聖殿
[00:00:51.960 --> 00:00:53.640]  敬拜自己的上帝
[00:00:53.640 --> 00:00:55.520]  為什麼今天要再出這個呢
[00:00:55.520 --> 00:00:56.960]  因為我帶了一個模型來
[00:00:56.960 --> 00:00:57.880]  放在我背包
[00:00:57.880 --> 00:00:59.200]  一會兒我會放在外面
[00:00:59.200 --> 00:01:00.960]  那個模型很小
[00:01:00.960 --> 00:01:02.560]  其實原本那個
[00:01:02.560 --> 00:01:03.600]  你看到這裡上方
[00:01:03.600 --> 00:01:05.600]  你會看到好像凹凹凸凸的
[00:01:05.600 --> 00:01:09.280]  其實是刻了波斯文
[00:01:09.280 --> 00:01:10.800]  一些攝影文字
[00:01:10.800 --> 00:01:14.200]  你幻想找墨水塗滿它
[00:01:14.200 --> 00:01:17.160]  然後你滾到一塊羊皮上
[00:01:17.160 --> 00:01:18.600]  或者一塊布上
[00:01:18.600 --> 00:01:21.120]  你就出了一個Image
[00:01:21.120 --> 00:01:22.880]  那個就是詔書了
[00:01:22.880 --> 00:01:23.280]  行不行
[00:01:23.280 --> 00:01:24.760]  一會兒給你看
[00:01:24.760 --> 00:01:25.120]  好
[00:01:25.120 --> 00:01:26.000]  重複一點
[00:01:26.000 --> 00:01:29.760]  我知道不是每個禮拜都有翻齊的
[00:01:29.760 --> 00:01:31.760]  上個禮拜說了些什麼呢
[00:01:31.760 --> 00:01:34.800]  說了猶太人回歸耶路撒冷
[00:01:34.800 --> 00:01:37.520]  接著他們開始重建聖殿
[00:01:37.520 --> 00:01:39.880]  但蓋了地基之後
[00:01:39.880 --> 00:01:40.880]  第二年
[00:01:40.880 --> 00:01:42.880]  接著就被人罵他們
[00:01:42.880 --> 00:01:45.000]  你們這群叛亂
[00:01:45.000 --> 00:01:47.040]  所以就上書到皇帝那裡
[00:01:47.040 --> 00:01:48.560]  皇帝就下旨
[00:01:48.560 --> 00:01:50.040]  你們不可以再蓋了
[00:01:50.040 --> 00:01:50.840]  你們要停工
[00:01:50.840 --> 00:01:53.480]  誰知道一等就等了十五年
[00:01:53.480 --> 00:01:55.040]  哈該書第一章的內容
[00:01:55.040 --> 00:01:57.800]  就說哈該先知鼓勵這群以色列人
[00:01:57.800 --> 00:01:58.400]  喂
[00:01:58.400 --> 00:02:03.800]  你不要忘記了你有個使命
[00:02:03.800 --> 00:02:05.440]  雖然過了十五年
[00:02:05.440 --> 00:02:07.720]  但你仍然有個責任
[00:02:07.720 --> 00:02:10.240]  這個仍然是你的使命
[00:02:10.240 --> 00:02:12.240]  你要重建耶和華的殿
[00:02:12.240 --> 00:02:14.680]  6月1號跟他們說了一堆
