
[00:00:00.000 --> 00:00:02.280]  今天看的那段經文也挺有趣的
[00:00:02.280 --> 00:00:06.840]  通常我們也會比較喜歡看一些比較開心的經文
[00:00:06.840 --> 00:00:09.320]  但是今天這段經文好像不是很開心的
[00:00:09.320 --> 00:00:10.600]  發怨言
[00:00:10.600 --> 00:00:13.360]  發怨言
[00:00:13.360 --> 00:00:16.000]  就是 Complaint(投訴)
[00:00:16.000 --> 00:00:19.280]  好事還是壞事呢?
[00:00:19.280 --> 00:00:22.840]  發怨言是好事還是壞事呢?
[00:00:22.840 --> 00:00:26.720]  其實這個問題好像有點多餘
[00:00:26.720 --> 00:00:31.520]  哪有人喜歡發怨言或者聽到別人發怨言呢?
[00:00:31.520 --> 00:00:32.720]  一定是怎麼樣呢?
[00:00:32.720 --> 00:00:33.760]  不開心
[00:00:33.760 --> 00:00:35.920]  所以才有怨言嘛
[00:00:35.920 --> 00:00:38.600]  尤其是在教會裡頭
[00:00:38.600 --> 00:00:42.920]  應該不會有人喜歡聽到發怨言的
[00:00:42.920 --> 00:00:47.760]  發怨言本身是一個很負面的情緒
[00:00:47.760 --> 00:00:51.480]  尤其是通常我們聽到有人發怨言
[00:00:51.480 --> 00:00:54.040]  我們很容易就會聯想到
[00:00:54.040 --> 00:00:55.600]  是因為怎麼樣呢?
[00:00:56.200 --> 00:00:58.880]  是因為他有點不開心
[00:00:58.880 --> 00:01:01.440]  可能是他的利益受損
[00:01:01.440 --> 00:01:04.240]  可能是覺得別人對他不好
[00:01:04.240 --> 00:01:09.040]  甚至可能我們會聯想到爭取一些東西
[00:01:09.040 --> 00:01:10.200]  爭取不到的話
[00:01:10.200 --> 00:01:11.200]  會怎麼樣呢?
[00:01:11.200 --> 00:01:12.760]  現在很流行說一句
[00:01:12.760 --> 00:01:14.280]  會生氣
[00:01:14.280 --> 00:01:15.840]  真的不開心
[00:01:15.840 --> 00:01:17.040]  會發怨言
[00:01:17.040 --> 00:01:20.800]  因此我們每一次聽到有人發怨言
[00:01:20.800 --> 00:01:24.240]  一些負能量走出來
[00:01:24.240 --> 00:01:25.880]  我們會很不安的
[00:01:25.880 --> 00:01:27.360]  我們很希望怎麼樣呢?
[00:01:27.360 --> 00:01:33.120]  我們很希望盡快去平息那些不開心
[00:01:33.120 --> 00:01:39.720]  我們很希望盡快撲滅這些負面的聲音
[00:01:39.720 --> 00:01:43.080]  其實這種想法無論在教會裡頭
[00:01:43.080 --> 00:01:44.720]  或者在社會上
[00:01:44.720 --> 00:01:45.840]  都是很普遍的
