
[00:00:00.000 --> 00:00:05.000]  我的經文是新漢語的版本
[00:00:05.000 --> 00:00:08.880]  耶穌聽見這消息就上船離開那裡
[00:00:08.880 --> 00:00:12.360]  私下去到荒野之地
[00:00:12.360 --> 00:00:15.800]  在和本就叫做曠野的地方
[00:00:15.800 --> 00:00:22.840]  群眾聽見就從各城步行來跟隨主耶穌
[00:00:22.840 --> 00:00:24.920]  耶穌就上了岸
[00:00:24.920 --> 00:00:29.480]  看見一大群人就憐憫他們
[00:00:29.480 --> 00:00:32.040]  治好了他們的病
[00:00:32.040 --> 00:00:36.560]  傍晚門徒來到耶穌那裡
[00:00:36.560 --> 00:00:40.000]  就說這裡是荒野之地
[00:00:40.000 --> 00:00:44.200]  事後都很晚了
[00:00:44.200 --> 00:00:48.200]  很晚的意思是要回去吃東西
[00:00:48.200 --> 00:00:51.200]  然後門徒就跟耶穌說
[00:00:51.200 --> 00:00:54.000]  不如打發群眾散去
[00:00:54.000 --> 00:00:56.200]  讓他們自己回家
[00:00:56.200 --> 00:01:02.640]  讓他們去村莊買自己的食物
[00:01:02.640 --> 00:01:04.320]  接著十六節
[00:01:04.320 --> 00:01:06.200]  耶穌的回應是
[00:01:06.200 --> 00:01:08.160]  他們不用離開
[00:01:08.160 --> 00:01:10.280]  你們給他們吃吧
[00:01:10.280 --> 00:01:11.800]  門徒就說
[00:01:11.800 --> 00:01:14.680]  我們這裡甚麼都沒有
[00:01:14.680 --> 00:01:16.880]  大家都知道剛才的場景是甚麼
[00:01:16.880 --> 00:01:19.480]  是一個荒野的場景
[00:01:19.480 --> 00:01:20.960]  這裡甚麼都沒有
[00:01:20.960 --> 00:01:23.480]  只有五個餅
[00:01:23.480 --> 00:01:24.920]  兩條魚
[00:01:24.920 --> 00:01:28.440]  耶穌就拿起來
[00:01:28.440 --> 00:01:32.040]  吩咐群眾坐在草地上
[00:01:32.040 --> 00:01:34.320]  自己拿起那五個餅
[00:01:34.320 --> 00:01:35.320]  兩條魚
[00:01:35.320 --> 00:01:38.360]  看著天竺瀉之後
[00:01:38.360 --> 00:01:41.640]  然後就張開大腿門徒
[00:01:41.640 --> 00:01:44.120]  門徒就大腿群眾
[00:01:44.120 --> 00:01:46.240]  大家都吃了
[00:01:46.240 --> 00:01:48.360]  並且吃飽了
[00:01:48.360 --> 00:01:51.920]  他們剩下的零碎收拾起來
[00:01:51.920 --> 00:01:54.760]  就裝滿了十二個籃子
[00:01:54.760 --> 00:01:58.360]  吃的人也沒有計算婦女和孩子
[00:01:58.360 --> 00:02:04.360]  光是男人就有五千人
[00:02:04.360 --> 00:02:07.640]  所以這個主題在聖經裡
[00:02:07.640 --> 00:02:09.320]  就算是不同的版本
[00:02:09.320 --> 00:02:12.560]  也給了一個神蹟的主題
[00:02:12.560 --> 00:02:17.000]  就是耶穌餵飽五千人的神蹟故事
[00:02:17.000 --> 00:02:19.240]  其實這個神蹟故事
[00:02:19.240 --> 00:02:21.840]  也很想和大家分享
[00:02:21.840 --> 00:02:24.040]  兩樣的主題
[00:02:24.040 --> 00:02:27.520]  其實我很想要有圖片
[00:02:27.520 --> 00:02:30.920]  圖片對於我寫關這裡也很重要
[00:02:30.920 --> 00:02:35.160]  希望他講的時候也可以出來
[00:02:35.160 --> 00:02:36.520]  今天所講的
[00:02:36.520 --> 00:02:37.920]  剛才我所讀的
[00:02:37.920 --> 00:02:41.800]  不知道你心裡有沒有那個圖片
[00:02:41.800 --> 00:02:42.920]  感謝主
[00:02:42.920 --> 00:02:45.120]  一叫就有了
[00:02:45.120 --> 00:02:48.800]  原來神在當中也有美好的預備
[00:02:48.800 --> 00:02:52.320]  今天和大家分享的有兩個主題
[00:02:52.320 --> 00:02:53.560]  剛才我讀的時候
[00:02:53.560 --> 00:02:57.200]  不知道你們有沒有畫出
[00:02:57.200 --> 00:03:00.080]  一些什麼在你們心裡
[00:03:00.080 --> 00:03:05.160]  你會不會看到這個主題
[00:03:05.160 --> 00:03:12.320]  就是基督的眼睛和子民的責任
[00:03:12.320 --> 00:03:16.960]  我們很多時候都會在不同的講壇上
[00:03:16.960 --> 00:03:21.280]  都會專注在那五個餅和兩條魚的神蹟
[00:03:21.280 --> 00:03:25.520]  但今天我很想大家去看這個經文的時候
[00:03:25.520 --> 00:03:27.840]  我們要看基督的眼睛
[00:03:27.840 --> 00:03:29.000]  或者應該這樣說
[00:03:29.000 --> 00:03:32.880]  我們要用基督的眼睛去看這群人
[00:03:32.880 --> 00:03:35.760]  和看這件事的發生
[00:03:35.760 --> 00:03:38.960]  另外就是我們的責任
[00:03:38.960 --> 00:03:41.520]  這個子民就在講門徒
[00:03:41.520 --> 00:03:45.840]  門徒在當中的責任是什麼呢?
[00:03:45.840 --> 00:03:49.040]  這裡就告訴我們是怎麼樣的
[00:03:49.040 --> 00:03:53.280]  一開始的時候我們先看基督的眼睛
[00:03:53.280 --> 00:03:55.280]  基督的眼睛
