
[00:00:00.000 --> 00:00:01.320]  領旨會平安
[00:00:01.320 --> 00:00:04.480]  請我們再一次低頭祈禱
[00:00:04.480 --> 00:00:09.600]  天父上帝,我們獻上感恩
[00:00:09.600 --> 00:00:12.560]  祢讓我們今天能夠在祢的殿當中
[00:00:12.560 --> 00:00:14.220]  經歷祢的豐富
[00:00:14.220 --> 00:00:18.320]  儘管外面可能有雨
[00:00:18.320 --> 00:00:20.640]  或者忽然有太陽
[00:00:20.640 --> 00:00:24.220]  讓我們都仍然明白祢的恩典夠用
[00:00:24.220 --> 00:00:27.740]  儘管這個世界有很多地方仍然有很多難處
[00:00:27.740 --> 00:00:29.480]  很多人在限制當中
[00:00:30.040 --> 00:00:31.660]  我們要求祢私恩憐憫
[00:00:31.660 --> 00:00:34.740]  讓我們在敬拜當中,經歷祢的豐富
[00:00:34.740 --> 00:00:36.120]  去服侍祢
[00:00:36.120 --> 00:00:38.760]  開開祢的耳朵,讓我們留心去聆聽
[00:00:38.760 --> 00:00:41.740]  開開祢的眼睛,讓我們能夠沾染祢的榮光
[00:00:41.740 --> 00:00:44.500]  更以我們的手腳去行動
[00:00:44.500 --> 00:00:46.360]  去回應祢的教導
[00:00:46.360 --> 00:00:49.200]  有願部人口中的言語,丙子梅之間的心思意念
[00:00:49.200 --> 00:00:51.380]  蒙聖靈的啟迪蒙主的月立
[00:00:51.380 --> 00:00:53.600]  禱告奉耶穌基督的名求
[00:00:53.600 --> 00:00:54.860]  阿們
[00:00:54.860 --> 00:00:59.880]  丙子梅剛剛聽到的方書的經課
[00:01:00.020 --> 00:01:01.020]  熟不熟悉?
[00:01:01.020 --> 00:01:02.600]  很熟悉吧?
[00:01:02.600 --> 00:01:06.000]  我想回教會,即使不是回教會很久
[00:01:06.000 --> 00:01:07.520]  你也會聽到的神蹟
[00:01:07.520 --> 00:01:10.820]  就是耶穌用五餅二魚餵飽五千人
[00:01:10.820 --> 00:01:12.320]  這個神蹟
[00:01:12.320 --> 00:01:15.220]  這個神蹟很獨特,很有趣
[00:01:15.220 --> 00:01:17.720]  因為這個神蹟令人感到震撼
[00:01:17.720 --> 00:01:20.120]  這個神蹟是很重要的
[00:01:20.120 --> 00:01:24.520]  因為在聖經中,有馬太、馬可、盧加、約翰四經的方書
[00:01:24.520 --> 00:01:27.820]  四經的方書中,都有記載這個神蹟
[00:01:28.160 --> 00:01:32.160]  而且是唯一記載了這個神蹟
[00:01:32.160 --> 00:01:35.660]  其他神蹟在不同的方書中散佈不同的位置
[00:01:35.660 --> 00:01:38.460]  只有這個五餅二魚的耶穌行的神蹟
[00:01:38.460 --> 00:01:41.260]  是四卷的方書中都有記載的
[00:01:41.260 --> 00:01:42.860]  丙子梅留意這一點
[00:01:42.860 --> 00:01:46.060]  所以,五餅二魚這個神蹟是非常重要
[00:01:46.060 --> 00:01:47.860]  有一個獨特的意義
[00:01:47.860 --> 00:01:51.160]  特別是留意到約翰福音,即是約翰福音我們也熟悉
[00:01:51.160 --> 00:01:53.560]  他也在說要補充其他方書的內容
[00:01:53.560 --> 00:01:56.560]  他也刻意要記載五餅二魚這個神蹟
[00:01:56.560 --> 00:02:01.060]  所以,今天我們再重新看一個我們很熟悉的神蹟的時候
[00:02:01.060 --> 00:02:03.060]  希望我們先帶著一個心態
[00:02:03.060 --> 00:02:07.060]  就是這個神蹟要記下,因為它有很獨特、很獨特的意思
[00:02:07.060 --> 00:02:09.560]  跟一般的神蹟可能有一點點不同
[00:02:09.560 --> 00:02:11.560]  請我們多留心
[00:02:11.560 --> 00:02:16.060]  經文一開始說,馬太福音第十四章十三節中提到
[00:02:16.060 --> 00:02:18.060]  耶穌聽見了一些東西
[00:02:18.060 --> 00:02:23.060]  就上船,退到曠野、方野的地方
[00:02:23.560 --> 00:02:27.560]  從經文物樂我們知道,由十四章開頭你會看到
[00:02:27.560 --> 00:02:30.060]  耶穌所聽見的是什麼呢?
[00:02:30.060 --> 00:02:34.060]  耶穌所聽見的,就是施洗約翰的死信
[00:02:34.060 --> 00:02:36.560]  施洗約翰是誰呢?熟悉聖經的人都知道
[00:02:36.560 --> 00:02:39.560]  施洗約翰就是那一位為耶穌洗禮的那一位
