
[00:00:00.000 --> 00:00:02.000]  弟兄姐妹主內平安
[00:00:02.000 --> 00:00:03.200]  休息了幾個星期
[00:00:03.200 --> 00:00:07.240]  很高興再次在港台跟大家見面
[00:00:07.240 --> 00:00:10.000]  剛才唱詩好一句
[00:00:10.000 --> 00:00:13.520]  聖災聖災聖災全能大主宰
[00:00:13.520 --> 00:00:16.880]  這首歌我在大大華華教會唱了幾十年
[00:00:16.880 --> 00:00:18.840]  英文唱過中文唱過
[00:00:18.840 --> 00:00:20.600]  今天唱得最激我
[00:00:20.600 --> 00:00:21.760]  就是感謝主
[00:00:21.760 --> 00:00:23.920]  給我們真的有這麼好的敬拜
[00:00:23.920 --> 00:00:27.520]  大家看到今年的年題是紮根真理
[00:00:27.520 --> 00:00:29.480]  以及童心侍奉
[00:00:29.480 --> 00:00:32.320]  我們每年教會都會出一個年題出來
[00:00:32.320 --> 00:00:34.480]  提醒大家我們需要做些什麼
[00:00:34.480 --> 00:00:37.880]  不是說這句話只有2025年才適用
[00:00:37.880 --> 00:00:39.680]  其實是我們每一年
[00:00:39.680 --> 00:00:41.600]  其實我人生的座右銘的記錄圖
[00:00:41.600 --> 00:00:44.880]  我們其實在真理上要紮得均衡
[00:00:44.880 --> 00:00:46.840]  我們一定要在侍奉上
[00:00:46.840 --> 00:00:48.000]  我們一定要童心
[00:00:48.000 --> 00:00:51.000]  這句話是上帝教導我們的
[00:00:51.000 --> 00:00:53.400]  要我們時刻的記住
[00:00:53.400 --> 00:00:56.400]  我們要紮根真理當然是要熟讀聖經
[00:00:56.400 --> 00:00:59.200]  聖經分舊約新約
[00:00:59.200 --> 00:01:01.760]  我們知道就是我們很多時候
[00:01:01.760 --> 00:01:04.080]  我們傾向看新約多
[00:01:04.080 --> 00:01:06.120]  很多時候覺得是容易明白
[00:01:06.120 --> 00:01:07.160]  有一點點誤會了
[00:01:07.160 --> 00:01:08.920]  好像舊約聖經是
[00:01:08.920 --> 00:01:12.960]  上帝和猶太人的民族說的
[00:01:12.960 --> 00:01:15.520]  和我們今天好像沒有什麼直接的關係
[00:01:15.520 --> 00:01:17.720]  就算有關係也是很間接的
[00:01:17.720 --> 00:01:18.720]  其實不是的
[00:01:18.720 --> 00:01:21.240]  聖經是沒有多餘的說話
[00:01:21.240 --> 00:01:22.920]  上帝的說話在聖經裡面
[00:01:22.920 --> 00:01:25.320]  是每一天都是提醒我們今天
[00:01:25.320 --> 00:01:27.360]  2025年的每一個信徒
[00:01:27.360 --> 00:01:28.480]  無論是新約舊約
[00:01:28.480 --> 00:01:30.280]  都是同樣的重要
[00:01:30.280 --> 00:01:31.720]  很多時候我們看舊約
[00:01:31.720 --> 00:01:34.000]  我們要是反而更加難
[00:01:34.000 --> 00:01:37.360]  因為我們看到它隱藏的那個信息
[00:01:37.360 --> 00:01:38.320]  隱藏著的信息
[00:01:38.320 --> 00:01:41.360]  有時候不是那麼容易可以看到出來的
[00:01:41.360 --> 00:01:45.120]  所以我們就要更花更多的時間去看
[00:01:45.120 --> 00:01:47.800]  第四世紀之前也說過
[00:01:47.800 --> 00:01:50.200]  早期教父有個奧古斯丁 Augustine
[00:01:50.200 --> 00:01:51.760]  他說過一句話
[00:01:51.760 --> 00:01:52.880]  他說The new is in the old
[00:01:52.880 --> 00:01:54.400]  Conceal the old is in the new
[00:01:54.400 --> 00:01:55.360]  Review
[00:01:55.360 --> 00:01:57.520]  就是新的隱藏在舊的
[00:01:57.520 --> 00:01:59.880]  舊的在新的顯露出來
[00:01:59.880 --> 00:02:02.160]  新約信徒的教導是
[00:02:02.160 --> 00:02:04.400]  其實保羅的教導
[00:02:04.400 --> 00:02:05.440]  彼得的教導
[00:02:05.440 --> 00:02:07.720]  其實在舊約那裡
[00:02:07.720 --> 00:02:10.240]  是一直都在的
[00:02:10.240 --> 00:02:12.160]  就是隱藏著的
[00:02:12.160 --> 00:02:14.720]  直到耶穌基督來了之後
[00:02:14.720 --> 00:02:15.720]  釘了十字架
[00:02:15.720 --> 00:02:18.040]  新約時期來了
[00:02:18.040 --> 00:02:20.920]  才是慢慢慢慢review
[00:02:20.920 --> 00:02:23.400]  是顯露出來給我們看
[00:02:23.400 --> 00:02:27.320]  過去幾堂我都是說摩西五經
[00:02:27.320 --> 00:02:28.480]  《律法書》
[00:02:28.480 --> 00:02:29.600]  先後說了《創世紀》
[00:02:29.600 --> 00:02:30.320]  《出埃及記》
[00:02:30.320 --> 00:02:31.280]  《利未記》
[00:02:31.280 --> 00:02:33.200]  也去到《文數記》說了兩堂
[00:02:33.200 --> 00:02:34.880]  今天第三堂《文數記》
[00:02:34.880 --> 00:02:38.880]  我們接下來兩個星期會說《文數記》兩個故事
[00:02:38.880 --> 00:02:42.560]  今天說十六節章的可拉的翻譯
[00:02:42.560 --> 00:02:47.240]  下次就會說巴蘭的貪婪
[00:02:47.240 --> 00:02:49.360]  其實兩個的
[00:02:49.360 --> 00:02:50.920]  無論是可拉還是巴蘭
[00:02:50.920 --> 00:02:53.440]  其實他們都是出於他們
[00:02:53.440 --> 00:02:57.960]  先祖遺留下來的罪性
[00:02:57.960 --> 00:03:00.840]  巴蘭的貪婪是因為他肉體上的情慾
[00:03:00.840 --> 00:03:02.360]  令他貪心
[00:03:02.360 --> 00:03:04.360]  可拉的翻譯是他眼目的情慾
[00:03:04.360 --> 00:03:07.320]  令他有驕傲和妒忌
[00:03:07.320 --> 00:03:09.880]  今天我們主要說可拉的翻譯
[00:03:09.880 --> 00:03:13.280]  其實可拉的翻譯是因為他眼目的情慾
[00:03:13.280 --> 00:03:15.840]  他看到一些不順眼的東西
[00:03:15.840 --> 00:03:17.960]  看到一些他不想看到的東西
[00:03:17.960 --> 00:03:20.840]  接著因為他個人的驕傲
[00:03:20.840 --> 00:03:22.680]  令他妒忌
[00:03:22.680 --> 00:03:25.680]  他妒忌摩西和阿倫
[00:03:25.680 --> 00:03:28.400]  摩西兩兄弟阿倫和阿倫
[00:03:28.400 --> 00:03:31.480]  在《尤大書》一章十一節
[00:03:31.480 --> 00:03:33.640]  即是新約去到差不多最末的時候
[00:03:33.640 --> 00:03:37.080]  他提到末後有很多假的先知
[00:03:37.080 --> 00:03:38.840]  假的教師
[00:03:38.840 --> 00:03:40.680]  他又說在一章十一節
[00:03:40.680 --> 00:03:42.840]  他說他們有禍了
[00:03:42.840 --> 00:03:45.560]  因為他們走該引的道路
[00:03:45.560 --> 00:03:48.360]  又為財利王巴蘭的錯貿女直奔
