
[00:00:00.000 --> 00:00:03.000]  我們一同低頭禱告天主
[00:00:03.000 --> 00:00:04.000]  天父感謝祢
[00:00:04.000 --> 00:00:08.000]  因為祢不單止是一位沒有恩典有憐憫的神
[00:00:08.000 --> 00:00:11.000]  更加主祢給我們很多機會
[00:00:11.000 --> 00:00:13.000]  透過祢自己的話語
[00:00:13.000 --> 00:00:14.000]  教訓督責
[00:00:14.000 --> 00:00:15.000]  使我們歸正
[00:00:15.000 --> 00:00:16.000]  教我們學義
[00:00:16.000 --> 00:00:17.000]  都是有益的
[00:00:17.000 --> 00:00:19.000]  求主幫助我們今天早上
[00:00:19.000 --> 00:00:20.000]  每一個到祢面前的人
[00:00:20.000 --> 00:00:22.000]  讓我們心中的意念
[00:00:22.000 --> 00:00:23.000]  我們口中的言語
[00:00:23.000 --> 00:00:25.000]  在祢面前都蒙越納
[00:00:25.000 --> 00:00:26.000]  所以聽我們的禱告
[00:00:26.000 --> 00:00:29.000]  奉耶穌基督明治祈求
[00:00:31.000 --> 00:00:34.000]  啟示錄我們講的教會
[00:00:34.000 --> 00:00:37.000]  今天講到第七個
[00:00:37.000 --> 00:00:41.000]  這個是老弟家教會
[00:00:41.000 --> 00:00:44.000]  在我們剛才大家所讀的那段經文裏面
[00:00:44.000 --> 00:00:47.000]  我們今天要去思想一下
[00:00:47.000 --> 00:00:52.000]  到底除了當時在地理環境裏面
[00:00:52.000 --> 00:00:54.000]  有七個地方之外
[00:00:54.000 --> 00:00:57.000]  有人將教會的歷史裏面
[00:00:57.000 --> 00:00:59.000]  花了七段時間去看
[00:00:59.000 --> 00:01:03.000]  其實無論是分時間也好
[00:01:03.000 --> 00:01:05.000]  分地域也好
[00:01:05.000 --> 00:01:08.000]  都是和你和我息息相關
[00:01:08.000 --> 00:01:10.000]  因為這個教會
[00:01:10.000 --> 00:01:12.000]  不是單單只是建築物
[00:01:12.000 --> 00:01:14.000]  這個教會只是一個群體
[00:01:14.000 --> 00:01:19.000]  這個群體是被耶穌基督補血所救贖的群體
[00:01:19.000 --> 00:01:21.000]  所以講到以弗所教會的時候
[00:01:21.000 --> 00:01:24.000]  提到他們恩信耶穌
[00:01:24.000 --> 00:01:25.000]  得到永生
[00:01:25.000 --> 00:01:27.000]  這群聚集在牆上的弟兄姊妹
[00:01:27.000 --> 00:01:30.000]  很勤力,做很多工作
[00:01:30.000 --> 00:01:32.000]  很多社會關懷
[00:01:32.000 --> 00:01:34.000]  甚至乎很有善行
[00:01:34.000 --> 00:01:37.000]  不過他們有一樣東西慢慢丟淡了
[00:01:37.000 --> 00:01:43.000]  就是初初感動他們回轉歸向神的愛
[00:01:43.000 --> 00:01:46.000]  神的愛慢慢疏離了
[00:01:46.000 --> 00:01:50.000]  這個是我們每一個做神的兒女要留心的地方
[00:01:50.000 --> 00:01:53.000]  因為在這個世界上有很多東西
[00:01:53.000 --> 00:01:55.000]  會將我們慢慢牽引到
[00:01:55.000 --> 00:01:58.000]  將我們的焦點不再集中在
[00:01:58.000 --> 00:02:00.000]  救我們的主耶穌基督身上
[00:02:00.000 --> 00:02:02.000]  去到其他事物身上
[00:02:02.000 --> 00:02:05.000]  包括我們弟兄姊妹經常講主,講神
[00:02:05.000 --> 00:02:08.000]  我們不是不需要講主,神的名字
[00:02:08.000 --> 00:02:10.000]  不過一講到主,神的時候
