
[00:00:00.000 --> 00:00:04.760]  感謝今天再有機會來到大家當中分享神的話語
[00:00:04.760 --> 00:00:07.520]  我們在我們的人生目標當中
[00:00:07.520 --> 00:00:11.360]  我們往往都尋求智慧、才能和尊貴
[00:00:11.360 --> 00:00:12.560]  我們小時候
[00:00:12.560 --> 00:00:16.160]  我們的父母會安排我們去讀哪間幼稚園
[00:00:16.160 --> 00:00:18.960]  小學、中學甚至大學
[00:00:18.960 --> 00:00:23.440]  我們自己個人都會讀書、努力
[00:00:23.440 --> 00:00:26.880]  去嘗試拿到好的成績
[00:00:26.880 --> 00:00:32.400]  將來在職場上有所成就、有所貢獻
[00:00:32.400 --> 00:00:37.440]  社會在職場上得到一個認可
[00:00:37.440 --> 00:00:39.200]  我們在社會上
[00:00:39.200 --> 00:00:43.840]  我們的地位都希望能夠得到確定
[00:00:43.840 --> 00:00:46.480]  在最近的疫情當中
[00:00:46.480 --> 00:00:49.680]  每個國家都投資了很多的資源
[00:00:49.680 --> 00:00:52.960]  在研究這個疫苗
[00:00:52.960 --> 00:00:56.720]  他們都是用了很多人力物力
[00:00:56.720 --> 00:01:01.200]  在智慧上、在知識上得到更新、得到進展
[00:01:01.200 --> 00:01:06.400]  能夠明白到這個疫情怎樣受到控制
[00:01:06.400 --> 00:01:11.280]  國家都相信誰能夠第一個研究到疫苗
[00:01:11.280 --> 00:01:13.200]  可以影響到全世界
[00:01:13.200 --> 00:01:18.320]  在社會上的地位得到更多的尊重
[00:01:18.320 --> 00:01:22.720]  被世界認可
[00:01:22.720 --> 00:01:27.840]  我們在疫情和社會混亂當中
[00:01:27.840 --> 00:01:30.560]  我們都看到一件事
[00:01:30.560 --> 00:01:33.440]  我們看到生命是多麼的脆弱
[00:01:33.440 --> 00:01:39.760]  人間的愛都受到考驗
[00:01:39.760 --> 00:01:43.280]  教會裏面往往都會有不同的意見
[00:01:43.280 --> 00:01:45.040]  怎樣去面對
[00:01:45.040 --> 00:01:50.080]  這些對教會都造成一定的衝擊
[00:01:50.080 --> 00:01:53.360]  其實上個主日
[00:01:53.360 --> 00:01:56.000]  我們從哥倫多前書開始
[00:01:56.000 --> 00:01:59.280]  看一個主題
[00:01:59.280 --> 00:02:03.520]  愛在我主教會
[00:02:03.520 --> 00:02:05.280]  神是信實的
[00:02:05.280 --> 00:02:10.080]  神透過保羅教導哥倫多的信徒
[00:02:10.080 --> 00:02:12.880]  要過一個豐盛的教會生活
[00:02:12.880 --> 00:02:18.160]  神給了他們的信徒各種不同的恩賜
[00:02:18.160 --> 00:02:20.720]  一樣都沒有權限
[00:02:20.720 --> 00:02:24.240]  但是他們有他的困難
[00:02:24.240 --> 00:02:25.840]  他們分黨分派
[00:02:25.840 --> 00:02:30.160]  結果教會不能夠合一
[00:02:30.160 --> 00:02:32.240]  背後的原因
[00:02:32.240 --> 00:02:37.120]  我們今天會從第一章的十八節
[00:02:37.120 --> 00:02:41.680]  直到三章的第四節
[00:02:41.680 --> 00:02:43.120]  去明白到
[00:02:43.120 --> 00:02:50.160]  原來他們對十字架的道理是有所誤會
[00:02:50.160 --> 00:02:53.360]  我們今天是守住親的日子
[00:02:53.360 --> 00:02:56.400]  究竟我們在十字架上所學到的
[00:02:56.400 --> 00:02:59.440]  想教導我們的基督徒的生活
[00:02:59.440 --> 00:03:02.560]  是有甚麼意義呢?
[00:03:02.560 --> 00:03:05.280]  我們信主以後
[00:03:05.280 --> 00:03:09.120]  我們怎樣可以能夠合一
[00:03:09.120 --> 00:03:11.600]  這樣在教會裏面一同努力
[00:03:11.600 --> 00:03:13.920]  將福音傳出去呢?
[00:03:13.920 --> 00:03:17.360]  這個就是我們今天學的主題
[00:03:17.360 --> 00:03:21.840]  十字架在基督徒的生活當中有甚麼意義?
[00:03:21.840 --> 00:03:24.000]  我們一起低頭祈禱
[00:03:24.000 --> 00:03:26.400]  愛你的天父上帝 我們感謝你
[00:03:26.400 --> 00:03:28.080]  感謝你賜下你的獨生愛子
