
[00:00:00.000 --> 00:00:05.860]  大家好,今天繼續滿分系列講道
[00:00:05.860 --> 00:00:08.400]  輪到我講生命記十九章
[00:00:08.400 --> 00:00:13.840]  我想借助這段經文跟大家講一下關於執行紀律的問題
[00:00:13.840 --> 00:00:18.040]  這一章經文有21節,我不打算在這裡逐節跟大家去讀
[00:00:18.040 --> 00:00:20.920]  也不打算在這裡逐節去解釋
[00:00:20.920 --> 00:00:25.940]  大家聽完我講的內容之後,大家回去再看經文就可以了
[00:00:25.940 --> 00:00:31.040]  這段經文主要講的是屠城或者庇護城的設立
[00:00:31.040 --> 00:00:32.500]  摩西在這裡吩咐百姓
[00:00:32.500 --> 00:00:37.260]  當他們去到迦南地得到上帝所賜這塊美地之後
[00:00:37.260 --> 00:00:40.540]  就要為自己畫出六座城
[00:00:40.540 --> 00:00:44.900]  使任何一個殺了人的人可以屠到那裡去
[00:00:44.900 --> 00:00:48.960]  十九章三節講到要設立指定三座城
[00:00:48.960 --> 00:00:54.300]  九節又講到要再添三座,一共六座城
[00:00:54.300 --> 00:00:56.460]  這樣說不是說做錯事
[00:00:56.460 --> 00:01:00.120]  殺了人就可以逃避法律的追究
[00:01:00.120 --> 00:01:02.600]  不需要接受審判
[00:01:02.600 --> 00:01:07.420]  屠城絕對不是一個用來包庇罪惡的地方
[00:01:07.420 --> 00:01:13.200]  關於設立屠城的安排其實在《出埃及記》一早已經有記載
[00:01:13.200 --> 00:01:15.860]  《出埃及記》二十一章十二到十四節講到
[00:01:15.860 --> 00:01:18.400]  打人致死必被處死
[00:01:18.400 --> 00:01:20.400]  他若不是出於預謀
[00:01:20.400 --> 00:01:27.320]  而是上帝交在他手中,我就設立一個地方讓他可以屠到那裡
[00:01:27.320 --> 00:01:31.300]  人若蓄意用詭計殺了他的鄰舍
[00:01:31.300 --> 00:01:36.280]  就是屠到我的壇那裡,也當把他捉去處死
[00:01:36.280 --> 00:01:38.860]  可以看到做錯事
[00:01:38.860 --> 00:01:42.600]  殺了人如果是蓄意有計謀的
[00:01:42.600 --> 00:01:45.480]  就要受到應有的懲罰
