
[00:00:00.000 --> 00:00:01.560]  好 第一節目 早晨
[00:00:01.560 --> 00:00:04.440]  讓我們在這裏再預備一層
[00:00:04.440 --> 00:00:07.320]  我們的身心靈來聆聽主的說話
[00:00:07.320 --> 00:00:08.880]  同心低頭禱告
[00:00:08.880 --> 00:00:11.760]  慈悲的天父 多謝禰
[00:00:11.760 --> 00:00:13.440]  給我們能夠再次回到
[00:00:13.440 --> 00:00:16.360]  在禰寶貴說話的面前的學習
[00:00:16.360 --> 00:00:18.480]  讓我們能夠看到
[00:00:18.480 --> 00:00:21.120]  禰獨生兒子耶穌祈禱在地上
[00:00:21.120 --> 00:00:23.400]  祂如何去教導我們
[00:00:23.400 --> 00:00:25.000]  每一個屬神禰的子民
[00:00:25.000 --> 00:00:28.160]  應有的表現和樣式
[00:00:28.160 --> 00:00:31.880]  讓我們不要覺得是徒然
[00:00:31.880 --> 00:00:34.640]  覺得是理所當然
[00:00:34.640 --> 00:00:35.840]  因爲很多時候
[00:00:35.840 --> 00:00:37.240]  其實在聖經裏面
[00:00:37.240 --> 00:00:40.440]  也同時賦予一些警戒
[00:00:40.440 --> 00:00:42.720]  讓我們作爲神裏的子民
[00:00:42.720 --> 00:00:46.560]  需要去小心地去掌握的事
[00:00:46.560 --> 00:00:47.840]  求禰的幫助
[00:00:47.840 --> 00:00:48.960]  讓今天每一個
[00:00:48.960 --> 00:00:51.080]  無論是聽的 說的
[00:00:51.080 --> 00:00:53.400]  無論在線上的 線下的
[00:00:53.400 --> 00:00:54.800]  實體崇拜的
[00:00:54.800 --> 00:00:57.680]  我們都祈求主禰真的帶領我們
[00:00:57.680 --> 00:00:58.840]  我們同心地禱告
[00:00:58.840 --> 00:01:01.840]  奉靠主耶穌基督德聖的名字而教
[00:01:01.840 --> 00:01:04.360]  阿們
[00:01:04.360 --> 00:01:06.440]  叫人認罪悔改
[00:01:06.440 --> 00:01:10.080]  其實是一件極不容易的事情
[00:01:10.080 --> 00:01:16.520]  而這份上帝要我們去完成的工作
[00:01:16.520 --> 00:01:19.720]  可以說是一件
[00:01:19.720 --> 00:01:24.600]  真是非常不可爲的一件事情
[00:01:24.600 --> 00:01:29.240]  但是上帝仍然要我們去積極地參與
[00:01:29.240 --> 00:01:33.760]  所以當我們回顧聖經裏面
[00:01:33.760 --> 00:01:36.080]  上帝和耶穌
[00:01:36.080 --> 00:01:40.280]  祂來到去成就這個救恩的過程
[00:01:40.280 --> 00:01:45.760]  也讓我們看到祂面對重重的挑戰
[00:01:45.760 --> 00:01:47.840]  有些人就會問
[00:01:47.840 --> 00:01:49.920]  既然是這麼難的事情
[00:01:49.920 --> 00:01:54.640]  要我們去認罪悔改 信耶穌
[00:01:54.640 --> 00:01:57.960]  那麼上帝何必還要這樣做呢?
[00:01:57.960 --> 00:02:00.560]  爲什麼要
[00:02:00.560 --> 00:02:02.360]  說得俗套一點
[00:02:02.360 --> 00:02:04.040]  要強人所難
[00:02:04.040 --> 00:02:06.640]  人根本不想回到上帝的裏面
[00:02:06.640 --> 00:02:09.800]  爲什麼上帝仍然要這樣做呢?
[00:02:09.800 --> 00:02:13.440]  我相信其中有兩個原因
[00:02:13.440 --> 00:02:14.840]  第一個原因
[00:02:14.840 --> 00:02:19.840]  這是上帝對於祂的創造對人的一個
[00:02:19.840 --> 00:02:22.600]  很愛的表現
[00:02:22.600 --> 00:02:24.920]  很關懷的表現
[00:02:24.920 --> 00:02:31.680]  上帝不想讓人失落在祂原本整個創造的當中
[00:02:31.680 --> 00:02:32.960]  第二件事
[00:02:32.960 --> 00:02:37.840]  上帝也在這麼重重困難的裏面願意去做的
[00:02:37.840 --> 00:02:42.120]  就是因爲祂盼望在這個過程當中
[00:02:42.120 --> 00:02:46.760]  能夠真的讓真正經歷過罪的人
[00:02:46.760 --> 00:02:53.880]  他們可以真的受過罪惡所帶來的捆綁的洗禮之後
[00:02:53.880 --> 00:02:56.800]  他們更加學會去珍惜
[00:02:56.800 --> 00:03:04.320]  能夠與上帝重歸於好的特殊的屬靈關係
[00:03:04.320 --> 00:03:06.160]  所以
[00:03:06.160 --> 00:03:12.160]  當一個人如果沒有經過試煉或者試驗之後
[00:03:12.160 --> 00:03:15.840]  他說我已經信了耶穌
[00:03:15.840 --> 00:03:17.320]  我有時候會覺得
[00:03:17.320 --> 00:03:19.960]  這個信可能會比較
[00:03:19.960 --> 00:03:22.160]  真的比較流亡一些
[00:03:22.160 --> 00:03:26.320]  或者比較未深思熟慮
[00:03:26.320 --> 00:03:29.960]  所以當我們去看回聖經的時候
[00:03:29.960 --> 00:03:31.840]  我們會發現到
[00:03:31.840 --> 00:03:35.240]  耶穌在整個報道的過程裏面
[00:03:35.240 --> 00:03:38.600]  其實也很期望
[00:03:38.600 --> 00:03:44.160]  當有些人真的犯罪極重的時候
[00:03:44.160 --> 00:03:48.000]  甚至屢勸不改的狀態之下
[00:03:48.000 --> 00:03:50.960]  上帝仍然沒有放棄他
