
[00:00:00.000 --> 00:00:03.720]  各位老師、各位家長、各位同學、各位丁姐妹,早晨
[00:00:03.720 --> 00:00:07.040]  願常住的平安常與大家同在
[00:00:07.040 --> 00:00:13.560]  要請大家再一次低頭祈禱
[00:00:13.560 --> 00:00:17.440]  天父,多謝祢招聚我們在這個殿裡去敬拜
[00:00:17.440 --> 00:00:20.800]  懇求聖靈,願我們同在,賜我們悟性
[00:00:20.800 --> 00:00:24.040]  以致我們能夠明白祢話語中的奧秘
[00:00:24.040 --> 00:00:27.800]  有言講的和聽的,都同蒙祢的月立
[00:00:27.800 --> 00:00:32.440]  祈禱奉主耶穌基督的名求,阿們
[00:00:32.440 --> 00:00:36.040]  有一次,我看到有一個在網絡上面
[00:00:36.040 --> 00:00:38.200]  看過這樣的事跡
[00:00:38.200 --> 00:00:42.920]  話說有一個小朋友,他在路邊低著頭
[00:00:42.920 --> 00:00:45.600]  用一根草在搖來搖去
[00:00:45.600 --> 00:00:48.880]  令那個成人看著小朋友,覺得很奇怪
[00:00:48.880 --> 00:00:53.360]  就問他:小朋友,你在做什麼?
[00:00:53.360 --> 00:00:55.760]  小朋友的頭沒有餓糕
[00:00:55.760 --> 00:00:58.720]  仍然很專注地在地上
[00:00:58.720 --> 00:01:03.720]  哦!我要帶這隻迷路了的螞蟻
[00:01:03.720 --> 00:01:06.440]  回到朋友那裡
[00:01:06.440 --> 00:01:08.520]  這個成人覺得很有趣
[00:01:08.520 --> 00:01:10.520]  為什麼這樣做的呢?
[00:01:10.520 --> 00:01:12.880]  於是他就蹲下來
[00:01:12.880 --> 00:01:14.720]  去看看這個小朋友
[00:01:14.720 --> 00:01:20.520]  怎樣去為這隻迷路了的螞蟻來引路
[00:01:20.520 --> 00:01:25.200]  接著這個小朋友一邊拿著他的草
[00:01:25.200 --> 00:01:29.760]  一邊幫這隻螞蟻引回他的朋友身邊
[00:01:29.760 --> 00:01:31.360]  一邊說
[00:01:31.360 --> 00:01:36.280]  你知不知道,螞蟻和他的同伴
[00:01:36.280 --> 00:01:39.200]  如果分散了的話
[00:01:39.200 --> 00:01:41.760]  他們就沒有可能再生存了
[00:01:41.760 --> 00:01:44.360]  於是一邊一邊地引那隻螞蟻
[00:01:44.360 --> 00:01:47.120]  來到他的同伴身邊
[00:01:47.120 --> 00:01:50.240]  接著見到螞蟻和他的同伴之後
[00:01:50.240 --> 00:01:58.040]  很開心地大家在觸碰大家的觸鬚
[00:01:58.040 --> 00:02:01.440]  我不知道你會不會讓這個小朋友
[00:02:01.440 --> 00:02:04.800]  他很真誠和很善良
[00:02:04.800 --> 00:02:08.640]  有很簡單的行為去感動呢?
[00:02:08.640 --> 00:02:09.960]  今天為大家選到的經文是
[00:02:09.960 --> 00:02:12.960]  《馬德芬的二十五章》
[00:02:12.960 --> 00:02:15.160]  其實《馬德芬的二十三至二十五章》
[00:02:15.160 --> 00:02:18.960]  是一個關於末日的預告
[00:02:18.960 --> 00:02:20.640]  由二十四章開始
[00:02:20.640 --> 00:02:22.880]  經文提醒我們
[00:02:22.880 --> 00:02:25.040]  聰明一點
[00:02:25.040 --> 00:02:28.160]  你究竟準備好了嗎?
[00:02:28.160 --> 00:02:29.760]  因為末後的日子
[00:02:29.760 --> 00:02:31.440]  耶穌回來的日子
[00:02:31.440 --> 00:02:34.840]  是好像賊一樣來到的
[00:02:34.840 --> 00:02:37.440]  就是在你沒有想過的日子
[00:02:37.440 --> 00:02:39.760]  忽然就發生了
[00:02:39.760 --> 00:02:41.280]  就好像死亡一樣
[00:02:41.280 --> 00:02:42.640]  說來就來
[00:02:42.640 --> 00:02:43.880]  明明昨天也好好的
[00:02:43.880 --> 00:02:46.400]  大家又聊又說又笑
[00:02:46.400 --> 00:02:48.280]  就忽然間收到電話
[00:02:48.280 --> 00:02:50.160]  說我們的摯愛好友
[00:02:50.160 --> 00:02:52.320]  離開了這個世界
[00:02:52.320 --> 00:02:54.360]  明明上個月也做了身體檢查
[00:02:54.360 --> 00:02:56.320]  一切都是好好的
[00:02:56.320 --> 00:02:58.160]  為什麼突然間
[00:02:58.160 --> 00:03:01.760]  就說我是有末期的癌症呢?
[00:03:01.760 --> 00:03:03.280]  是的,耶穌回來
[00:03:03.280 --> 00:03:04.680]  末日的審判
[00:03:04.680 --> 00:03:07.760]  就在我們以為沒事的
[00:03:07.760 --> 00:03:10.360]  在我們不以為的日子
[00:03:10.360 --> 00:03:12.600]  就發生了
[00:03:12.600 --> 00:03:13.640]  其實你可能會說
[00:03:13.640 --> 00:03:14.920]  或者耶穌說回來
[00:03:14.920 --> 00:03:16.920]  都已經回了二千多年了
[00:03:16.920 --> 00:03:18.840]  都還沒有回來
[00:03:18.840 --> 00:03:22.640]  難道好像狼來了?
