
[00:00:00.000 --> 00:00:02.780]  所以我們今天要繼續
[00:00:02.780 --> 00:00:05.760]  的來分享我們這一段時間
[00:00:05.760 --> 00:00:08.760]  我們講到神的旨意 對不對 要滿心
[00:00:08.760 --> 00:00:11.720]  知道神的旨意 其實滿心知道神的旨意
[00:00:11.720 --> 00:00:15.140]  也就是說 讓我們更多的認識神
[00:00:15.140 --> 00:00:19.480]  你認識神的旨意跟認識神 這兩個東西
[00:00:19.480 --> 00:00:21.140]  你分不開的 是不是
[00:00:21.140 --> 00:00:24.720]  如果你不知道一個人的心意 你怎麼能說
[00:00:24.720 --> 00:00:27.820]  認識他呢 兩個人 男朋友女朋友在那邊交往
[00:00:27.820 --> 00:00:31.320]  交往了一年半之後 還搞不清楚這個人是什麼人
[00:00:31.320 --> 00:00:33.020]  這叫糊塗
[00:00:33.020 --> 00:00:35.380]  是不是
[00:00:35.380 --> 00:00:39.060]  為什麼糊塗啊
[00:00:39.060 --> 00:00:43.320]  一年半了 還搞不清楚啊
[00:00:43.320 --> 00:00:45.880]  為什麼搞不清楚
[00:00:45.880 --> 00:00:49.320]  兩個人在一起都不講話
[00:00:49.320 --> 00:00:51.240]  那就搞不清楚了
[00:00:51.240 --> 00:00:53.960]  是不是 所以你要認識一個人啊
[00:00:53.960 --> 00:00:55.460]  要講話嘛 是不是
[00:00:56.100 --> 00:00:58.460]  不講話的話 很難認識這個人 是不是
[00:00:58.460 --> 00:01:01.580]  所以那些很喜歡講話的人 你比較容易認識他 對不對
[00:01:01.580 --> 00:01:05.120]  那些不講話的 你就很難認識他了
[00:01:05.120 --> 00:01:07.860]  請問我們的上帝 容易不容易認識啊
[00:01:07.860 --> 00:01:09.940]  容易啊
[00:01:09.940 --> 00:01:11.580]  真的啊
[00:01:11.580 --> 00:01:13.760]  所以你很認識神嗎
[00:01:13.760 --> 00:01:15.960]  親愛的同志們
[00:01:15.960 --> 00:01:19.120]  你怎麼認識神呢
[00:01:19.120 --> 00:01:24.440]  他所說的話都在哪裡 都是在這裡
[00:01:25.400 --> 00:01:28.320]  他沒有隱藏他自己 問題是
[00:01:28.320 --> 00:01:29.980]  你有沒有去讀他的話
[00:01:29.980 --> 00:01:34.080]  你更多的去讀他的話 你更多的去認識他
[00:01:34.080 --> 00:01:36.940]  你就更多的 你認識他的旨意
[00:01:36.940 --> 00:01:39.820]  你認識他的話 你就更多的認識誰 認識他
[00:01:39.820 --> 00:01:42.860]  所以在這個哥羅西蘇保羅作一個禱告
[00:01:42.860 --> 00:01:45.860]  他說我禱告 我禱告什麼呢 我禱告你們能夠
[00:01:45.860 --> 00:01:48.640]  對他更多的認識他的旨意
[00:01:48.640 --> 00:01:50.560]  以至於怎麼樣子呢
[00:01:50.560 --> 00:01:54.240]  以至於有四件事情會發生
[00:01:54.420 --> 00:01:56.240]  有四件事情
[00:01:56.240 --> 00:01:59.660]  我們已經講了前面兩個 第一個就是什麼呢
[00:01:59.660 --> 00:02:02.700]  以至於你們能夠在一切的善事上
[00:02:02.700 --> 00:02:04.260]  結果之
