
[00:00:00.000 --> 00:00:04.200]  如果你是聖經的話,我請你一起去擁抱神的華語
[00:00:04.200 --> 00:00:05.700]  我們去禱告
[00:00:05.700 --> 00:00:07.400]  天主上,我們感謝你
[00:00:07.400 --> 00:00:09.300]  因為你的華語的緣故
[00:00:09.300 --> 00:00:11.200]  我們能夠更多地認識你
[00:00:11.200 --> 00:00:13.000]  我們就求你開開我們的眼
[00:00:13.000 --> 00:00:14.100]  去直著你的華語
[00:00:14.100 --> 00:00:18.600]  讓我們更多地看見你是那位榮美的尊貴的君王
[00:00:18.600 --> 00:00:21.400]  讓我們看見你是那位傳遞的主宰
[00:00:21.400 --> 00:00:24.100]  讓我們能夠謙卑地俯伏在你面前
[00:00:24.100 --> 00:00:25.900]  去承認你的王權
[00:00:25.900 --> 00:00:27.200]  向你猶心的
[00:00:27.200 --> 00:00:29.600]  向你獻上猶心的敬拜
[00:00:29.600 --> 00:00:31.600]  帶領我們以下的時間
[00:00:31.600 --> 00:00:33.600]  能夠更多地看見你的榮美
[00:00:33.600 --> 00:00:35.600]  觸動我們的心靈
[00:00:35.600 --> 00:00:37.200]  改變我們的生命
[00:00:37.200 --> 00:00:38.400]  聽我們的祈禱
[00:00:38.400 --> 00:00:40.700]  奉求一下耶穌基督的德性的明智祈求
[00:00:40.700 --> 00:00:41.700]  阿們
[00:00:59.700 --> 00:01:01.600]  都頗期待的
[00:01:01.600 --> 00:01:03.900]  但是在預備的時間過程裏面
[00:01:03.900 --> 00:01:06.300]  都有些擔憂的
[00:01:06.300 --> 00:01:08.300]  都是寶寶出生會怎樣呢
[00:01:08.300 --> 00:01:09.600]  怎樣去照顧呢
[00:01:09.600 --> 00:01:12.500]  尤其是聽很多父母跟我們說
[00:01:12.500 --> 00:01:16.400]  第一個月你簡直是過著一個非人的生活
[00:01:16.400 --> 00:01:18.700]  因為寶寶當時的胃很小
[00:01:18.700 --> 00:01:20.300]  所以他很快就肚餓了
