
[00:00:00.000 --> 00:00:02.000]  史能傳十一章
[00:00:02.000 --> 00:00:05.840]  第十九
[00:00:05.840 --> 00:00:07.840]  原本是讀三十節的
[00:00:07.840 --> 00:00:09.840]  不過時間被人拿了一點
[00:00:09.840 --> 00:00:11.840]  所以就講到二十一節
[00:00:11.840 --> 00:00:13.840]  哈哈哈
[00:00:13.840 --> 00:00:15.840]  他講了結尾嘛
[00:00:15.840 --> 00:00:17.840]  所以那邊已經講了
[00:00:17.840 --> 00:00:19.840]  那我們讀十九到二十一
[00:00:19.840 --> 00:00:21.840]  就不讀那麼長了
[00:00:21.840 --> 00:00:23.840]  十九到二十一
[00:00:23.840 --> 00:00:25.840]  找到我們一起讀
[00:00:25.840 --> 00:00:27.840]  預備請
[00:00:27.840 --> 00:00:30.840]  那些因史提反的士
[00:00:30.840 --> 00:00:32.840]  遭患難四散的門徒
[00:00:32.840 --> 00:00:36.840]  直走到肥利基和綠比路
[00:00:36.840 --> 00:00:38.840]  並安提阿
[00:00:38.840 --> 00:00:41.840]  他們不向別人講道
[00:00:41.840 --> 00:00:43.840]  只向猶太人講
[00:00:43.840 --> 00:00:47.840]  但內中有居比路和古利內人
[00:00:47.840 --> 00:00:50.840]  他們到了安提阿
[00:00:50.840 --> 00:00:54.840]  也向希臘人傳講主耶穌
[00:00:54.840 --> 00:00:56.840]  主與他們同在
[00:00:56.840 --> 00:01:00.840]  信而歸主的人就更多了
[00:01:00.840 --> 00:01:02.840]  有一節就讀到
[00:01:02.840 --> 00:01:04.840]  讀多一次有一節
[00:01:04.840 --> 00:01:05.840]  預備請
[00:01:05.840 --> 00:01:07.840]  主與他們同在
[00:01:07.840 --> 00:01:11.840]  信而歸主的人就更多了
[00:01:11.840 --> 00:01:15.840]  有一節提到主與他們同在
[00:01:15.840 --> 00:01:17.840]  剛才廟宇也提到
[00:01:17.840 --> 00:01:19.840]  主與我們同在
[00:01:19.840 --> 00:01:22.840]  我們怎樣理解這一節聖經呢
[00:01:22.840 --> 00:01:25.840]  主與他們同在
[00:01:25.840 --> 00:01:28.840]  信而歸主的人就更多了
[00:01:28.840 --> 00:01:32.840]  意思是主不與他們同在
[00:01:32.840 --> 00:01:35.840]  就沒有人歸主了
[00:01:35.840 --> 00:01:39.840]  主與他們同在我們怎樣理解呢
[00:01:39.840 --> 00:01:41.840]  怎樣理解呢
[00:01:41.840 --> 00:01:43.840]  我們經常說的這句話
