
[00:00:00.000 --> 00:00:01.800]  在古代的中國
[00:00:01.800 --> 00:00:03.400]  西域有個小國
[00:00:03.400 --> 00:00:04.680]  向中國皇帝
[00:00:04.680 --> 00:00:08.360]  進貢了三個純金的金人
[00:00:08.360 --> 00:00:11.080]  皇帝見到就非常開心
[00:00:11.080 --> 00:00:12.800]  但是西域的使者奉命
[00:00:12.800 --> 00:00:14.400]  要提出一個要求
[00:00:14.400 --> 00:00:16.240]  他就說請你們
[00:00:16.240 --> 00:00:18.240]  在這三個金人之中
[00:00:18.240 --> 00:00:21.000]  選出最有價值的那個
[00:00:21.000 --> 00:00:23.200]  於是皇帝就請了全國
[00:00:23.200 --> 00:00:27.360]  最出色的最好的珠寶工匠
[00:00:27.360 --> 00:00:31.480]  去仔細研究檢視這三個金人
[00:00:31.480 --> 00:00:34.680]  他們分別將金人量他們的重量
[00:00:34.680 --> 00:00:37.680]  仔細研究他們的做工手工
[00:00:37.680 --> 00:00:40.280]  結果這些工匠
[00:00:40.280 --> 00:00:41.280]  得出的結論就是
[00:00:41.280 --> 00:00:43.920]  這三個金人是完全一模一樣
[00:00:43.920 --> 00:00:46.960]  沒有辦法逐出選擇
[00:00:46.960 --> 00:00:48.640]  一個泱泱大國
[00:00:48.640 --> 00:00:50.800]  竟然有一個這麼簡單的難題
[00:00:50.800 --> 00:00:52.120]  都沒有辦法解決
[00:00:52.120 --> 00:00:54.960]  皇帝覺得很沒面子
[00:00:54.960 --> 00:00:57.120]  就在一籌莫展的時候
[00:00:57.120 --> 00:00:58.840]  有一個大臣無序自薦
[00:00:58.840 --> 00:01:00.080]  就說皇上
[00:01:00.080 --> 00:01:03.400]  我就有個方法去作出選擇
[00:01:03.400 --> 00:01:06.600]  這個大臣就分別拿三條和菌草
[00:01:06.600 --> 00:01:11.200]  分別插進這三個金人的耳朵裡
[00:01:11.200 --> 00:01:12.320]  第一條和菌草
[00:01:12.320 --> 00:01:14.200]  就在第一個金人的
[00:01:14.200 --> 00:01:17.120]  另外一隻耳朵裡出來
[00:01:17.120 --> 00:01:18.360]  第二條和菌草
[00:01:18.360 --> 00:01:20.920]  就在第二個金人的口裡出來
[00:01:20.920 --> 00:01:22.200]  第三條和菌草
[00:01:22.200 --> 00:01:24.640]  就跌入了第三個金人的肚子裡
[00:01:24.640 --> 00:01:26.760]  沒有聲音
[00:01:26.760 --> 00:01:27.920]  大臣就說
[00:01:27.920 --> 00:01:29.680]  皇上我作出一個決定
[00:01:29.680 --> 00:01:33.080]  我終於選擇到哪個金人是最有價值的
[00:01:33.080 --> 00:01:35.840]  就是第三個金人最有價值
[00:01:35.840 --> 00:01:37.440]  那我就說為什麼呢
[00:01:37.440 --> 00:01:38.840]  原因就是
[00:01:38.840 --> 00:01:40.600]  最有價值的人
[00:01:40.600 --> 00:01:43.160]  不是左耳入右耳出
[00:01:43.160 --> 00:01:45.640]  也都不是好講大話
[00:01:45.640 --> 00:01:48.280]  而是多聽少講
[00:01:48.280 --> 00:01:51.240]  善於聆聽的人
[00:01:51.240 --> 00:01:53.440]  那個西域智者聽完之後
[00:01:53.440 --> 00:01:54.680]  欣然同意
[00:01:54.680 --> 00:01:56.720]  於是大讚大國
[00:01:56.720 --> 00:01:57.920]  就真是大國
[00:01:57.920 --> 00:01:59.440]  果然勁
[00:01:59.440 --> 00:02:02.120]  佩服佩服
[00:02:02.120 --> 00:02:03.040]  丁姿梅
[00:02:03.040 --> 00:02:06.400]  這個大臣就選對了
[00:02:06.400 --> 00:02:08.040]  同樣在我們人生裡面
[00:02:08.040 --> 00:02:09.720]  都有很多的選擇
[00:02:09.720 --> 00:02:11.880]  你有沒有選對了呢
[00:02:11.880 --> 00:02:15.000]  正確的選擇是需要智慧的
