
[00:00:00.000 --> 00:00:03.200]  「日不落帝國之日落」
[00:00:03.200 --> 00:00:07.280]  「日不落帝國」原來是一個西班牙文
[00:00:07.280 --> 00:00:10.520]  最初出現在十六世紀的時候
[00:00:10.520 --> 00:00:13.080]  西班牙國王卡洛斯一世
[00:00:13.080 --> 00:00:16.080]  他曾經這樣說
[00:00:16.080 --> 00:00:20.760]  「在我的領土之上 太陽是永不落下的」
[00:00:20.760 --> 00:00:25.720]  意思是他的國家領土相當遼闊
[00:00:25.720 --> 00:00:27.960]  闊到一個地步
[00:00:27.960 --> 00:00:31.960]  即使太陽在某個地方已經落山
[00:00:31.960 --> 00:00:33.640]  但在他的領土上
[00:00:33.640 --> 00:00:38.000]  總有另一個地方仍然可以看到太陽
[00:00:38.000 --> 00:00:44.080]  除了西班牙這個地方曾經被稱為「日不落帝國」之外
[00:00:44.080 --> 00:00:48.680]  後來大英帝國也曾經有這個稱號
[00:00:48.680 --> 00:00:51.840]  特別是在維多利亞女皇的時代
[00:00:51.840 --> 00:00:58.560]  香港亦在那個時代成為大英帝國的殖民地
[00:00:58.560 --> 00:01:03.440]  其實早在公元前九百多年的時候
[00:01:03.440 --> 00:01:05.360]  所羅門所建立的王朝
[00:01:05.360 --> 00:01:10.320]  雖然版圖沒有「日不落帝國」那麼大
[00:01:10.320 --> 00:01:14.160]  但他所建立的王朝的輝煌程度
[00:01:14.160 --> 00:01:21.320]  在以色列的歷史上可以說是空前絕後
[00:01:21.320 --> 00:01:25.760]  不過薩那的光輝並非永恆
[00:01:25.760 --> 00:01:31.120]  盛極一時的王朝總有衰敗的一天
[00:01:31.120 --> 00:01:35.640]  為何所羅門的王朝會由盛轉衰呢?
[00:01:35.640 --> 00:01:38.040]  當中的原因在哪裏呢?
[00:01:38.040 --> 00:01:44.240]  這段歷史我們又可以在當中吸取到甚麼教訓呢?
[00:01:44.240 --> 00:01:48.720]  其實所羅門王朝由盛轉衰歸根究底
[00:01:48.720 --> 00:01:53.280]  都是因為所羅門偏離了盛的道路
[00:01:53.280 --> 00:01:57.680]  而他的偏離其實亦有跡可尋
[00:01:57.680 --> 00:02:04.040]  我們可以從三個階段來看他的偏離
[00:02:04.040 --> 00:02:06.320]  在講第一個階段之前
[00:02:06.320 --> 00:02:12.600]  我想和大家看看所羅門和他的父親大衛
[00:02:12.600 --> 00:02:15.200]  兩者有甚麼不同呢?
[00:02:15.200 --> 00:02:17.440]  大衛是一個戰士
[00:02:17.440 --> 00:02:19.560]  他打敗巨人哥利亞的時候
[00:02:19.560 --> 00:02:23.680]  他當時應該只是一個十多歲的年輕人
[00:02:23.680 --> 00:02:27.880]  到他建立王朝登基作王的時候
[00:02:27.880 --> 00:02:31.040]  經文說他當時是三十歲
[00:02:31.040 --> 00:02:35.920]  即是說他用了十多年的時間去打江山
[00:02:35.920 --> 00:02:42.640]  他經歷了十多年的戰場經歷
[00:02:42.640 --> 00:02:49.080]  但他的兒子所羅門可以說是含著金鎖匙出生的人
[00:02:49.080 --> 00:02:52.280]  他一出生就已經是一個王子
[00:02:52.280 --> 00:02:53.960]  甚至他在母親的肚子裡
[00:02:53.960 --> 00:02:57.640]  他已經命定將來要繼承王位
[00:02:57.640 --> 00:03:04.720]  所以他後來繼承了他父親大衛的王朝
[00:03:04.720 --> 00:03:08.160]  繼承了父親的鴻圖偉業
[00:03:08.160 --> 00:03:11.320]  他亦很懂得向神求智慧
[00:03:11.320 --> 00:03:13.440]  神真的給他智慧
[00:03:13.440 --> 00:03:20.080]  結果他將他的國家勢力擴張
[00:03:20.080 --> 00:03:22.080]  建立一個富強的國家
[00:03:22.080 --> 00:03:26.040]  他的名聲亦全遍列邦
[00:03:26.040 --> 00:03:28.640]  作為以色列的王
[00:03:28.640 --> 00:03:35.960]  所羅門不單在政治 軍事 經濟 文化上取得驕人的成就
[00:03:35.960 --> 00:03:40.800]  他在宗教上亦有史無前例的創舉
