
[00:00:00.000 --> 00:00:03.400]  我們一起禱告 求主帶領我們以下的時間
[00:00:03.400 --> 00:00:12.940]  主啊 感謝祢 讓我們有機會來聽祢的道 祢的聖言
[00:00:12.940 --> 00:00:17.480]  主啊 祢的話語大有能力 能夠改變人的生命
[00:00:17.480 --> 00:00:23.240]  主啊 求祢幫助我們每一個在座的弟兄姊妹
[00:00:23.240 --> 00:00:29.800]  我們都能夠帶著謙卑 溫柔的心來領受祢的道
[00:00:30.700 --> 00:00:34.020]  求祢的聖靈去幫助我們進入真理
[00:00:34.020 --> 00:00:40.700]  因為祢的話語能夠幫助我們怎樣回應這個世代
[00:00:40.700 --> 00:00:47.460]  求祢與我們同在 願意聽的 說的 都得蒙祢的祝福
[00:00:47.460 --> 00:00:50.760]  祈禱奉耶穌基督的名 阿們
[00:00:50.760 --> 00:00:55.140]  《使徒行傳》我們一路看到現在第六章
[00:00:55.140 --> 00:00:59.700]  說到耶穌基督升天之後 教會誕生 一路成長
[00:01:00.100 --> 00:01:04.300]  當中我們過去的五章都看到很多精彩的故事
[00:01:04.300 --> 00:01:06.780]  但教會也面對很多的挑戰
[00:01:06.780 --> 00:01:11.500]  最近教睦同工走在一起的時候 也談到一個話題
[00:01:11.500 --> 00:01:14.500]  啟福堂快到第三年了
[00:01:14.500 --> 00:01:17.500]  前面的日子怎樣繼續走呢
[00:01:17.500 --> 00:01:20.660]  有一天我突然想起
[00:01:20.660 --> 00:01:26.220]  很想想起我們的舞堂 窩福堂的故事
[00:01:27.380 --> 00:01:30.460]  Doris整天站在舞台上介紹書本
[00:01:30.460 --> 00:01:32.460]  今天又介紹另外兩本書
[00:01:32.460 --> 00:01:36.900]  一本是窩福堂三十週年的《窩福的故事》
[00:01:36.900 --> 00:01:41.620]  另一本是四十週年出版的《紀念冊》
[00:01:41.620 --> 00:01:45.780]  最近我一氣好快地看了這兩本書
[00:01:45.780 --> 00:01:50.340]  特別看到蘇永睿牧師所寫的《窩福的故事》
[00:01:50.340 --> 00:01:53.300]  發覺有一個道理
[00:01:53.940 --> 00:01:59.260]  窩福從1976年4月成立到現在43年的時間
[00:01:59.260 --> 00:02:04.700]  我發覺無論是第一世紀的教會 還是窩福堂
[00:02:04.700 --> 00:02:08.740]  從來教會都不是一個真空裏面去成長
[00:02:08.740 --> 00:02:17.260]  反而神的心意是要讓教會在風雨飄搖的日子裏面成長
[00:02:17.260 --> 00:02:21.500]  我所謂的風雨飄搖是指
[00:02:21.980 --> 00:02:24.780]  教會無論在外面或者裏面
[00:02:24.780 --> 00:02:30.300]  都是常常面對不同的挑戰和壓力和需要
[00:02:30.300 --> 00:02:36.460]  教會是否懂得回應這些挑戰、需要和壓力
[00:02:36.460 --> 00:02:41.060]  就決定了那間教會是否能夠繼續成長
[00:02:41.060 --> 00:02:42.780]  我舉個例子
[00:02:42.780 --> 00:02:45.340]  當我看到窩福的故事的時候
[00:02:45.340 --> 00:02:47.780]  窩福是1976年成立
[00:02:47.780 --> 00:02:51.940]  80年代的時候香港經濟起飛
[00:02:52.460 --> 00:02:53.620]  社會穩定下來
[00:02:53.620 --> 00:02:57.500]  於是社會裏面就出現了一班叫中產人士
[00:02:57.500 --> 00:03:02.260]  於是窩福就和他們開始聚會
[00:03:02.260 --> 00:03:06.180]  但是慢慢當教會人數越來越增長的時候
[00:03:06.180 --> 00:03:10.140]  同時大家知道80年代都是工廠臨立的時代
[00:03:10.140 --> 00:03:13.580]  教會也都來自了一班基層人士
[00:03:13.580 --> 00:03:17.900]  這班基層人士來到窩福的時候發覺不是很適應
[00:03:17.900 --> 00:03:20.380]  因為窩福的文化很西化
[00:03:21.180 --> 00:03:24.260]  那些人說話一句兩句都是英文
[00:03:24.260 --> 00:03:25.860]  他們聽不明白
[00:03:25.860 --> 00:03:30.180]  於是當時在窩福裏面有一個叫蘇恩配的姐妹
[00:03:30.180 --> 00:03:32.580]  她是創辦突破機構
[00:03:32.580 --> 00:03:38.580]  她很鼓吹我們要將教教的價值觀文化要滲入普羅大眾
[00:03:38.580 --> 00:03:42.100]  她很敏感到當時基層人士的需要
[00:03:42.100 --> 00:03:48.020]  在1981年的時候她就帶著一批弟兄姐妹來到新蒲崗這個地方
[00:03:48.420 --> 00:03:51.260]  開始了窩道會新蒲崗
[00:03:51.260 --> 00:03:52.980]  今天你不見劉牧師在這裏
[00:03:52.980 --> 00:03:54.580]  因為他都過去那裏講道
[00:03:54.580 --> 00:04:00.220]  在80年代香港新市鎮發展
[00:04:00.220 --> 00:04:02.420]  有很多新的屋邨成立
[00:04:02.420 --> 00:04:06.420]  於是很多人開始搬入這些新的屋邨
[00:04:06.420 --> 00:04:12.260]  但是當時社會不足夠配套資源來支援這些家庭
[00:04:12.260 --> 00:04:15.860]  於是在這些屋邨裏面發現有很多家庭的問題
[00:04:16.740 --> 00:04:20.900]  窩福當時看到這個需要就帶著一班弟兄姐妹
[00:04:20.900 --> 00:04:26.300]  進入屯門 彩雲邨 或者沙田的博康邨
