
[00:00:00.000 --> 00:00:05.820]  各位弟兄姊妹 現在就踏入十二月了
[00:00:05.820 --> 00:00:11.600]  都想預祝大家聖誕快樂 主恩滿載
[00:00:11.600 --> 00:00:18.080]  今天主題的訊息就是「神願意爲你」
[00:00:18.080 --> 00:00:20.840]  神願意爲我們怎麼樣呢?
[00:00:20.840 --> 00:00:26.480]  現今的世界 我們所身處的這個世界
[00:00:26.480 --> 00:00:34.360]  此時此刻 你覺得是不是一個Wonderful World呢?
[00:00:34.360 --> 00:00:40.120]  從前有一個名聲叫做Louis Armstrong
[00:00:40.120 --> 00:00:43.520]  是一個美國爵士音樂的音樂家
[00:00:43.520 --> 00:00:49.080]  他有一首名曲 曲名叫做What a Wonderful World
[00:00:49.080 --> 00:00:56.920]  大家聽過了嗎? 通常成熟點的都聽過了
[00:00:56.920 --> 00:01:00.880]  我特別找了Winnie 去幫我們彈這首歌
[00:01:00.880 --> 00:01:03.200]  也唱給我們聽 好不好?
[00:01:03.200 --> 00:01:07.880]  好像DJ一樣 請大家留意臺詞
[00:01:07.880 --> 00:01:10.080]  留意歌詞
[00:01:10.080 --> 00:01:18.480]  I see trees of green red roses too
[00:01:18.480 --> 00:01:23.920]  I see them bloom for me and you
[00:01:23.920 --> 00:01:35.600]  And I think to myself what a wonderful world
[00:01:35.600 --> 00:01:41.440]  The colors of the rainbow so pretty in the sky
[00:01:41.440 --> 00:01:47.040]  Are also on the faces of people going by
[00:01:47.040 --> 00:01:54.240]  I see friends shaking hands saying how do you do
[00:01:54.240 --> 00:01:59.840]  They really saying I love you
[00:01:59.840 --> 00:02:07.680]  I see skies of blue and clouds of white
[00:02:07.680 --> 00:02:13.120]  The bright blessed day the dark sacred night
[00:02:13.120 --> 00:02:26.640]  And I think to myself what a wonderful world
[00:02:26.640 --> 00:02:29.440]  我很開心聽到大家一起唱
[00:02:29.440 --> 00:02:31.840]  一首好聽的歌
[00:02:31.840 --> 00:02:34.000]  歌詞裏面說我看到綠色的樹
[00:02:34.000 --> 00:02:37.840]  紅色的玫瑰 藍色的天 白色的雲
[00:02:37.840 --> 00:02:39.360]  我見到彩虹
[00:02:39.360 --> 00:02:41.760]  我見到朋友握手問候
[00:02:41.760 --> 00:02:47.040]  我心裏就想What a wonderful world
[00:02:47.040 --> 00:02:49.440]  多麼美好的世界
[00:02:49.440 --> 00:02:51.440]  大家有沒有共鳴?
[00:02:51.440 --> 00:02:54.240]  大家有沒有同感?
[00:02:54.240 --> 00:03:01.120]  我們的世界真是一個多麼美好的世界
[00:03:01.120 --> 00:03:03.760]  真是嗎?
[00:03:03.760 --> 00:03:09.120]  俄烏的戰爭 加沙的饑荒
[00:03:09.120 --> 00:03:12.080]  各地都有反政府示威
[00:03:12.080 --> 00:03:14.720]  還有反反政府示威
[00:03:14.720 --> 00:03:17.440]  現在我們都有反移民示威
[00:03:17.440 --> 00:03:22.640]  在反移民示威的旁邊就會有反反移民示威
[00:03:22.640 --> 00:03:26.240]  民主社會的撕裂
[00:03:26.240 --> 00:03:28.960]  專制社會的管控
[00:03:28.960 --> 00:03:31.840]  飢餓的越來越飢餓
[00:03:31.840 --> 00:03:35.600]  溫飽的可以浪費食物
[00:03:35.600 --> 00:03:39.200]  貧窮的越來越貧窮
[00:03:39.200 --> 00:03:42.000]  富有的越來越富有
[00:03:42.000 --> 00:03:46.640]  種族歧視 性別歧視 年齡歧視
[00:03:46.640 --> 00:03:51.120]  甚至全福音都可能是刑事
[00:03:51.120 --> 00:03:56.240]  這個世界真是那麼美好嗎?
[00:03:56.240 --> 00:03:59.840]  Louis Armstrong 成長的時候
