
[00:00:00.000 --> 00:00:02.000]  各位頂枝妹平安
[00:00:02.000 --> 00:00:06.520]  感謝主今天可以在這裡見到大家
[00:00:06.520 --> 00:00:08.120]  我不知道大家
[00:00:08.120 --> 00:00:10.000]  你期不期待今天回來的
[00:00:10.000 --> 00:00:10.880]  有沒有人期待的
[00:00:10.880 --> 00:00:12.880]  可不可以舉手給我看看
[00:00:12.880 --> 00:00:15.560]  都有九成的人期待啊
[00:00:15.560 --> 00:00:16.680]  感謝主
[00:00:16.680 --> 00:00:17.880]  坦白說
[00:00:17.880 --> 00:00:20.000]  如果今天的講員不是我的話
[00:00:20.000 --> 00:00:22.000]  我會更加的期待
[00:00:22.000 --> 00:00:25.840]  不過原來我發覺
[00:00:25.840 --> 00:00:27.640]  當你每一天
[00:00:27.640 --> 00:00:30.640]  或者每個星期行常去做一些事
[00:00:30.640 --> 00:00:31.920]  久而久之
[00:00:31.920 --> 00:00:34.800]  可能你慢慢失去一份期待
[00:00:34.800 --> 00:00:36.400]  但當經過上個星期
[00:00:36.400 --> 00:00:37.920]  我們原來想敬拜
[00:00:37.920 --> 00:00:39.360]  沒得敬拜的時候
[00:00:39.360 --> 00:00:40.640]  其實不是沒得敬拜
[00:00:40.640 --> 00:00:42.320]  你可以去其他地方敬拜
[00:00:42.320 --> 00:00:43.560]  我們就會發覺我們
[00:00:43.560 --> 00:00:47.240]  原來是有一份期待敬拜的心
[00:00:47.240 --> 00:00:51.040]  可以講到原來都不是必然
[00:00:51.040 --> 00:00:53.040]  你問一下呂牧師就知道
[00:00:53.040 --> 00:00:54.240]  上個星期本來他講的
[00:00:54.240 --> 00:00:55.720]  他沒得講
[00:00:55.720 --> 00:00:58.320]  所以久而久之可以講到
[00:00:58.320 --> 00:00:59.440]  我也是期待的
[00:00:59.440 --> 00:01:01.440]  感謝主
[00:01:01.440 --> 00:01:04.680]  上個星期的確是一個很特別的主日
[00:01:04.680 --> 00:01:09.160]  和平時打風取消崇拜是很不同
[00:01:09.160 --> 00:01:10.440]  因為不需要留在家裡
[00:01:10.440 --> 00:01:14.760]  其實各區都是相對平靜的
[00:01:14.760 --> 00:01:19.600]  我有機會就回到我的舞會裡面去敬拜
[00:01:19.600 --> 00:01:21.800]  剛好碰到一位
[00:01:21.800 --> 00:01:25.120]  我以前團契小組裡面的一個弟兄
[00:01:25.120 --> 00:01:26.520]  崇拜完了之後
[00:01:26.520 --> 00:01:31.520]  就和他一家在酒樓裡面一起吃飯
[00:01:31.520 --> 00:01:37.760]  這位弟兄的正職是一位工程師
[00:01:37.760 --> 00:01:42.720]  我認識他大約接近十年
[00:01:42.720 --> 00:01:46.640]  這位弟兄
[00:01:46.640 --> 00:01:48.960]  他由2006年開始
[00:01:48.960 --> 00:01:53.920]  他就兼職去報讀一些信徒裝備的課程
[00:01:53.920 --> 00:01:57.160]  是一個聖經研究的副學士
[00:01:57.160 --> 00:01:59.760]  他用了五年的時間
[00:01:59.760 --> 00:02:02.680]  完成了他的副學士
[00:02:02.680 --> 00:02:03.440]  還沒完
[00:02:03.440 --> 00:02:04.960]  他再接再厲
[00:02:04.960 --> 00:02:07.040]  用多八年的時間
[00:02:07.040 --> 00:02:10.120]  去修讀一個聖經研究的碩士
[00:02:10.120 --> 00:02:13.560]  前前後後用了十三年的時間
[00:02:13.560 --> 00:02:16.760]  期間他有一份正職
[00:02:16.760 --> 00:02:21.480]  他家裡和公司都在荃灣
[00:02:21.480 --> 00:02:27.520]  他下班之後就到荔枝角上課
[00:02:27.520 --> 00:02:28.880]  他之前還住得遠
[00:02:28.880 --> 00:02:30.480]  住在森井
[00:02:30.480 --> 00:02:34.600]  他每個學期讀一科兩科
[00:02:34.600 --> 00:02:37.080]  讀了十三年的時間
[00:02:37.080 --> 00:02:40.520]  讀了這兩個學位
[00:02:40.520 --> 00:02:42.640]  容易嗎
[00:02:42.640 --> 00:02:44.000]  一點都不容易
[00:02:44.000 --> 00:02:45.640]  如果你們曾經嘗試過
[00:02:45.640 --> 00:02:48.600]  有一份全職的工作
[00:02:48.600 --> 00:02:51.480]  再去兼職讀書的話
[00:02:51.480 --> 00:02:53.400]  是相當的不容易
[00:02:53.400 --> 00:02:54.560]  在這段時間
[00:02:54.560 --> 00:03:00.240]  他經歷了兩個女兒的出世
[00:03:00.240 --> 00:03:02.600]  曾經太太在這段時間
[00:03:02.600 --> 00:03:04.040]  有一些病患
[00:03:04.040 --> 00:03:05.960]  以致她要停學
[00:03:05.960 --> 00:03:08.360]  她要來照顧家裡
[00:03:08.360 --> 00:03:10.440]  及後他太太情況好轉
