
[00:00:00.000 --> 00:00:03.800]  講道系列 講道真基督徒的講道系列三
[00:00:03.800 --> 00:00:06.300]  那我們有這個講道系列是因為
[00:00:06.300 --> 00:00:10.000]  我們之所以稱這個系列叫做「真基督徒」
[00:00:10.000 --> 00:00:12.000]  表示當然是有假的啦
[00:00:12.000 --> 00:00:15.000]  在東岸有一間環教會
[00:00:15.000 --> 00:00:17.000]  有一天來了一對夫婦
[00:00:17.000 --> 00:00:19.000]  那麼聚會完了之後
[00:00:19.000 --> 00:00:20.000]  因為是新朋友嘛
[00:00:20.000 --> 00:00:22.000]  所以牧師就停下來
[00:00:22.000 --> 00:00:24.000]  就關心一下他們那對夫婦
[00:00:24.000 --> 00:00:25.000]  就問他們說
[00:00:25.000 --> 00:00:28.000]  那你們到底是基督徒嗎 這樣子
[00:00:28.000 --> 00:00:30.000]  那麼那對夫婦就說
[00:00:30.000 --> 00:00:33.000]  這個不好說耶
[00:00:33.000 --> 00:00:35.000]  那牧師就說 這有什麼不好說的
[00:00:35.000 --> 00:00:36.000]  基督徒嘛 就試
[00:00:36.000 --> 00:00:38.000]  就說是不是就不是了嘛
[00:00:38.000 --> 00:00:40.000]  他說 這有點複雜
[00:00:40.000 --> 00:00:42.000]  那牧師就說 不妨直說
[00:00:42.000 --> 00:00:44.000]  那個人就說 想了一想
[00:00:44.000 --> 00:00:46.000]  就好 那我跟你講實話
[00:00:46.000 --> 00:00:49.000]  他說 他說怎麼說呢
[00:00:49.000 --> 00:00:50.000]  他說 這麼說吧
[00:00:50.000 --> 00:00:54.000]  我算是一個受了洗的非基督徒
[00:00:54.000 --> 00:00:55.000]  那牧師就問他說
[00:00:55.000 --> 00:00:57.000]  什麼叫受了洗的非基督徒啊
[00:00:57.000 --> 00:00:59.000]  他說情況是這樣的
[00:00:59.000 --> 00:01:00.000]  他兩夫婦呢
[00:01:00.000 --> 00:01:02.000]  就去到美國中部讀書
[00:01:02.000 --> 00:01:04.000]  他說在讀書那幾年呢
[00:01:04.000 --> 00:01:05.000]  在美國中部一個小鎮
[00:01:05.000 --> 00:01:07.000]  那個小鎮好像很少中國人
[00:01:07.000 --> 00:01:09.000]  那麼 當然不是現在
[00:01:09.000 --> 00:01:10.000]  好多年前就是
[00:01:10.000 --> 00:01:13.000]  現在就無論美國哪間大學
[00:01:13.000 --> 00:01:14.000]  都好多中國人
[00:01:14.000 --> 00:01:16.000]  我前陣子跟一個人聊天
[00:01:16.000 --> 00:01:18.000]  他說 要不要去阿拉斯加
[00:01:18.000 --> 00:01:19.000]  我去阿拉斯加幹嘛
[00:01:19.000 --> 00:01:21.000]  他說那邊阿拉斯加大學
[00:01:21.000 --> 00:01:23.000]  現在來了一大批中國學生
[00:01:23.000 --> 00:01:25.000]  他說我每年都去一次
[00:01:25.000 --> 00:01:27.000]  他說那邊好像不知道
[00:01:27.000 --> 00:01:28.000]  北極還是什麼
[00:01:28.000 --> 00:01:30.000]  南極的第一間進修會
[00:01:30.000 --> 00:01:31.000]  他說就開在那邊
[00:01:31.000 --> 00:01:32.000]  你要不要去
[00:01:32.000 --> 00:01:34.000]  我說那地方太冷了吧
[00:01:34.000 --> 00:01:37.000]  現在美國哪一個大學
[00:01:37.000 --> 00:01:38.000]  都很多中國學生
[00:01:38.000 --> 00:01:41.000]  那當年他那個小鎮沒什麼中國人
[00:01:41.000 --> 00:01:42.000]  他說去到那邊的時候
[00:01:42.000 --> 00:01:44.000]  就遇到一個美國人的牧師
[00:01:44.000 --> 00:01:46.000]  那美國人的牧師就對他們很好
[00:01:46.000 --> 00:01:47.000]  就招待他們啊
[00:01:47.000 --> 00:01:50.000]  就家裡開放給他們住
