
[00:00:00.000 --> 00:00:03.280]  今天這個 接下來這個題目是講什麼呢?
[00:00:03.280 --> 00:00:06.160]  有沒有看過這套劇集啊?
[00:00:06.160 --> 00:00:09.280]  有人看過 《愛回家》
[00:00:09.280 --> 00:00:11.600]  我們用這個題目
[00:00:11.600 --> 00:00:15.840]  接下來這五堂我們就講一個題目叫做
[00:00:15.840 --> 00:00:17.840]  一個家庭是怎麼樣的
[00:00:17.840 --> 00:00:19.840]  上個禮拜我們講了一個題目叫做
[00:00:19.840 --> 00:00:22.640]  理想的家
[00:00:22.640 --> 00:00:25.360]  理想的家就是我們說
[00:00:25.360 --> 00:00:29.680]  理想的家裏面就需要有耶穌基督在當中裏面
[00:00:29.680 --> 00:00:32.320]  但是我覺得有時候不是這麼容易的
[00:00:32.320 --> 00:00:33.680]  先賣個關子
[00:00:33.680 --> 00:00:35.280]  看到這張照片的時候
[00:00:35.280 --> 00:00:37.280]  問一下父母
[00:00:37.280 --> 00:00:42.080]  這個情景是不是很常見?
[00:00:42.080 --> 00:00:44.960]  有兄弟姐妹那些就是這樣
[00:00:44.960 --> 00:00:46.960]  兩個在爭執
[00:00:46.960 --> 00:00:49.440]  給你們一個機會
[00:00:49.440 --> 00:00:55.200]  以下就有十項的調查出來
[00:00:55.200 --> 00:00:57.600]  你認為在這十項裏面
[00:00:57.600 --> 00:00:59.280]  給你們十秒時間
[00:00:59.280 --> 00:01:02.480]  你認為由10去到1
[00:01:02.480 --> 00:01:05.600]  1是最高會常出現的爭拗的情況
[00:01:05.600 --> 00:01:07.200]  家庭裏面爭拗的情況
[00:01:07.200 --> 00:01:10.000]  你認為頭三名是什麼?
[00:01:10.000 --> 00:01:11.520]  在你心裏面計算就可以了
[00:01:11.520 --> 00:01:13.520]  一會兒我會開估
[00:01:13.520 --> 00:01:16.480]  要不要讀一次?
[00:01:16.480 --> 00:01:18.720]  妒忌 這是不依次序的
[00:01:18.720 --> 00:01:19.680]  你自己選
[00:01:19.680 --> 00:01:22.480]  妒忌 受到不公平的對待
[00:01:22.480 --> 00:01:25.360]  憎恨 年紀相差
[00:01:25.360 --> 00:01:26.640]  踐踏別人的空間
[00:01:26.640 --> 00:01:28.000]  要得注意力
[00:01:28.000 --> 00:01:30.080]  要爭食物
[00:01:30.080 --> 00:01:31.360]  其實甚麼都爭
[00:01:31.360 --> 00:01:33.040]  顏色又爭 甚麼都爭
[00:01:33.040 --> 00:01:35.040]  種種的壓力
[00:01:35.040 --> 00:01:37.040]  電視遙控
[00:01:37.040 --> 00:01:41.200]  還有拿別人的東西在爭
[00:01:41.200 --> 00:01:42.480]  有了嗎?
[00:01:42.480 --> 00:01:44.240]  心裏面有1、2、3 你自己想想
[00:01:44.240 --> 00:01:48.000]  就是頭三名你認為爭執最多的
[00:01:48.000 --> 00:01:50.000]  好了 那我就開估了
[00:01:50.000 --> 00:01:53.520]  通常就是由第十名開始
[00:01:53.520 --> 00:01:54.880]  你猜一下能不能猜中
[00:01:54.880 --> 00:01:56.880]  第十名原來是什麼呢?
[00:01:56.880 --> 00:01:58.880]  原來是妒忌
[00:01:58.880 --> 00:02:00.880]  原來妒忌是第十名
[00:02:00.880 --> 00:02:02.880]  不是最多常發生的
[00:02:02.880 --> 00:02:04.880]  妒忌大家都知道了
[00:02:04.880 --> 00:02:06.880]  第九名是甚麼呢?
[00:02:06.880 --> 00:02:08.880]  爭 我小時候經常都是這樣
[00:02:08.880 --> 00:02:10.880]  我和我哥就要鬥快
[00:02:10.880 --> 00:02:12.880]  鬥快回到家裏 跑回家裏
[00:02:12.880 --> 00:02:14.880]  鬥快第一個進廁所
[00:02:14.880 --> 00:02:16.880]  鬥快第一個起床 甚麼都要鬥
[00:02:16.880 --> 00:02:18.880]  因為兩個相差年紀差不多
[00:02:18.880 --> 00:02:20.880]  都要鬥 鬥快寫字
[00:02:20.880 --> 00:02:22.880]  鬥快讀完書 媽媽最喜歡
[00:02:22.880 --> 00:02:24.880]  做完功課
[00:02:24.880 --> 00:02:26.880]  第三 第八名
[00:02:26.880 --> 00:02:28.880]  原來是年紀的相差
[00:02:28.880 --> 00:02:30.880]  有沒有試過
[00:02:30.880 --> 00:02:32.880]  媽媽給姐姐或給哥哥
[00:02:32.880 --> 00:02:34.880]  外出比較多的機會
[00:02:34.880 --> 00:02:36.880]  你就會困在家裏
[00:02:36.880 --> 00:02:38.880]  爭一次 為甚麼哥哥姐姐
[00:02:38.880 --> 00:02:40.880]  可以出去 我沒有呢
[00:02:40.880 --> 00:02:42.880]  多點自由
[00:02:42.880 --> 00:02:44.880]  第七項
[00:02:44.880 --> 00:02:46.880]  原來是各種壓力
[00:02:46.880 --> 00:02:48.880]  小朋友最多 會哭
[00:02:48.880 --> 00:02:50.880]  會睡眠不足等等
[00:02:50.880 --> 00:02:52.880]  大人就有很多困難
[00:02:52.880 --> 00:02:54.880]  困難
[00:02:54.880 --> 00:02:56.880]  第六項
[00:02:56.880 --> 00:02:58.880]  原來是要
[00:02:58.880 --> 00:03:00.880]  父母的注意力
[00:03:00.880 --> 00:03:02.880]  生了兩個小孩
[00:03:02.880 --> 00:03:04.880]  長大後
[00:03:04.880 --> 00:03:06.880]  媽媽經常照顧兩個小孩
[00:03:06.880 --> 00:03:08.880]  哥哥
[00:03:08.880 --> 00:03:10.880]  弟弟就要
[00:03:10.880 --> 00:03:12.880]  得注意力
[00:03:12.880 --> 00:03:14.880]  第五項
[00:03:14.880 --> 00:03:16.880]  原來是欠
[00:03:16.880 --> 00:03:18.880]  遙控
[00:03:18.880 --> 00:03:20.880]  有沒有欠遙控
[00:03:20.880 --> 00:03:22.880]  欠iPad
[00:03:22.880 --> 00:03:24.880]  現在比較新潮
[00:03:24.880 --> 00:03:26.880]  iPad可以控制
[00:03:26.880 --> 00:03:28.880]  總之是要控制
[00:03:28.880 --> 00:03:30.880]  控制別人就要欠
[00:03:30.880 --> 00:03:32.880]  第四項
[00:03:32.880 --> 00:03:34.880]  欠
[00:03:34.880 --> 00:03:36.880]  欠食物
[00:03:36.880 --> 00:03:38.880]  甚麼都欠
[00:03:38.880 --> 00:03:40.880]  我有個哥哥 跟我年紀差不多
[00:03:40.880 --> 00:03:42.880]  每次買衣服都要買一樣
[00:03:42.880 --> 00:03:44.880]  還要買一樣顏色
