
[00:00:00.000 --> 00:00:05.000]  和大家分享上禮的說話之前讓我們一起低頭祈禱
[00:00:05.000 --> 00:00:07.000]  親愛的感謝你
[00:00:07.000 --> 00:00:09.000]  感謝你的揀選
[00:00:09.000 --> 00:00:11.000]  感謝你的愛顧
[00:00:11.000 --> 00:00:14.000]  讓我們成為你的孩子
[00:00:14.000 --> 00:00:19.000]  讓你知道我們每一位弟兄姊妹有個別獨特的需要
[00:00:19.000 --> 00:00:21.000]  讓你去慰養我們
[00:00:21.000 --> 00:00:25.000]  讓你藉著你的話語來滋潤我們的生命
[00:00:25.000 --> 00:00:28.000]  更加願講的和聽的都同蒙你的願了
[00:00:28.000 --> 00:00:31.000]  祈禱奉主耶穌基督的名求
[00:00:31.000 --> 00:00:33.000]  阿們
[00:00:33.000 --> 00:00:35.000]  很多年之前有個朋友問我
[00:00:35.000 --> 00:00:37.000]  牧師
[00:00:37.000 --> 00:00:40.000]  聖經小蘭傳經常講述
[00:00:40.000 --> 00:00:43.000]  耶穌的門徒
[00:00:43.000 --> 00:00:46.000]  得到上帝賜予的能力
[00:00:46.000 --> 00:00:49.000]  他們有趕鬼和醫病的能力
[00:00:49.000 --> 00:00:51.000]  為什麼在我們這個世代
[00:00:51.000 --> 00:00:55.000]  我不是很見到牧師和宣教師有這個能力
[00:00:55.000 --> 00:00:59.000]  當然我朋友講的是醫治身體疾病的能力
[00:00:59.000 --> 00:01:01.000]  他進一步說
[00:01:01.000 --> 00:01:03.000]  曾經我也聽過有些人有醫病趕鬼的能力
[00:01:03.000 --> 00:01:05.000]  不過我教過的牧師
[00:01:05.000 --> 00:01:09.000]  都會用懷疑的眼光去看他
[00:01:09.000 --> 00:01:11.000]  是不是異端邪說
[00:01:11.000 --> 00:01:13.000]  我朋友就問
[00:01:13.000 --> 00:01:16.000]  究竟這個能力是不是已經失傳了
[00:01:16.000 --> 00:01:22.000]  還是上帝已經不再賜下這個能力在這個世代
[00:01:22.000 --> 00:01:25.000]  當時其實我不是很懂得回應
[00:01:25.000 --> 00:01:26.000]  不過他提醒我
[00:01:26.000 --> 00:01:28.000]  是呀
[00:01:28.000 --> 00:01:35.000]  上帝會不會忘記了去醫治我們呢
[00:01:35.000 --> 00:01:38.000]  但我同樣在魯吉芬的《四人十八字》
[00:01:38.000 --> 00:01:39.000]  看到這段經文
[00:01:39.000 --> 00:01:41.000]  可能這段經文大家都很熟悉
[00:01:41.000 --> 00:01:42.000]  這段經文這樣說
[00:01:42.000 --> 00:01:44.000]  主的靈在我身上
[00:01:44.000 --> 00:01:46.000]  因為祂用膏膏我
[00:01:46.000 --> 00:01:49.000]  叫我傳呼音給貧窮的人
[00:01:49.000 --> 00:01:52.000]  趁我宣告被擄的得釋放
[00:01:52.000 --> 00:01:54.000]  失明的得看見
[00:01:54.000 --> 00:01:56.000]  受壓迫的得自由
[00:01:56.000 --> 00:01:59.000]  宣告上帝要立人的欺憐
[00:01:59.000 --> 00:02:03.000]  這段經文對於物質很豐富
[00:02:03.000 --> 00:02:05.000]  以聰穆明
[00:02:05.000 --> 00:02:07.000]  想做就去做
[00:02:07.000 --> 00:02:08.000]  居在法特地區
[00:02:08.000 --> 00:02:10.000]  好像我們香港的
[00:02:10.000 --> 00:02:11.000]  我們每一個信徒
[00:02:11.000 --> 00:02:13.000]  有什麼意義呢
[00:02:13.000 --> 00:02:15.000]  可能我們不覺得自己很有錢
[00:02:15.000 --> 00:02:17.000]  但也不是很窮
[00:02:17.000 --> 00:02:19.000]  餐溫飽
[00:02:19.000 --> 00:02:21.000]  不會很愁
[00:02:21.000 --> 00:02:23.000]  也不是被擄
[00:02:23.000 --> 00:02:25.000]  不像以色列人那樣被擄
[00:02:25.000 --> 00:02:27.000]  我們受壓制又壓迫嗎
[00:02:27.000 --> 00:02:29.000]  也好像是
