
[00:00:00.000 --> 00:00:10.000]  《錄音》或《錄影》的版權是屬於基督教宣導會畢國堂所有
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一,是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎您將此《錄音》或《錄影》的連結傳給親友
[00:00:18.000 --> 00:00:24.000]  懇請注意,未經授權,請勿轉錄或剪輯本《錄音》或《錄影》
[00:00:24.000 --> 00:00:28.000]  甚願好像《使徒行傳》二十章三十二節下所說
[00:00:28.000 --> 00:00:34.000]  這道能建立你們,叫你們和一切誠誠的人同得基業
[00:00:58.000 --> 00:01:07.000]  有火,一起將心中的意識獻給神
[00:01:07.000 --> 00:01:14.000]  我請大家和我一起祈禱,我們重新仰望主
[00:01:14.000 --> 00:01:17.000]  天上的主,我們感謝祢
[00:01:17.000 --> 00:01:22.000]  祢明明遠遠是我們的神,是我們的王
[00:01:22.000 --> 00:01:25.000]  是我們的生命的盤石
[00:01:25.000 --> 00:01:29.000]  主我們感謝祢,讓我們能夠認識祢
[00:01:29.000 --> 00:01:34.000]  主我們感謝祢,讓我們能夠領受耶穌基督待贖之恩
[00:01:34.000 --> 00:01:40.000]  讓我們在祢的裡面,我們今天領受永恆的盼望
[00:01:40.000 --> 00:01:43.000]  主我們今天在祢面前很渴望
[00:01:43.000 --> 00:01:48.000]  祢常常將祢自己的聖經的恩賢賜給我們
[00:01:48.000 --> 00:01:54.000]  不單單是頭腦上的認識,而是心靈裡真實的明白
[00:01:54.000 --> 00:01:59.000]  也都對應我們心中,我們今天所面對的處境
[00:01:59.000 --> 00:02:02.000]  我們更懂得去尊祢為大
[00:02:02.000 --> 00:02:07.000]  更懂得以祢為我們最重要
[00:02:07.000 --> 00:02:10.000]  天父,求祢在這段時間引導我們
[00:02:10.000 --> 00:02:15.000]  讓我們靠著祢的聖靈,領受祢給我們的指教
[00:02:15.000 --> 00:02:20.000]  我們同心仰望,奉耶穌基督成名求
[00:02:20.000 --> 00:02:27.000]  剛剛在上星期,我有機會看到在網上一段影片
[00:02:27.000 --> 00:02:33.000]  這段影片是真人飾演主耶穌在聖經裡所提及
[00:02:33.000 --> 00:02:38.000]  祂曾經叫拉撒路從死裡復活過來那段事蹟
[00:02:38.000 --> 00:02:42.000]  我看的時候想不到,很有感動
[00:02:42.000 --> 00:02:47.000]  雖然是很熟悉的事情,但是有一種新的感動在我心裡
[00:02:47.000 --> 00:02:53.000]  大家會記得當主耶穌去到墳墓門口的時候
[00:02:53.000 --> 00:02:57.000]  祂看到一塊石頭擋住墳前
[00:02:57.000 --> 00:03:03.000]  因此就吩咐人把石頭推開
[00:03:03.000 --> 00:03:08.000]  但當祂一提出來的時候,馬大聽見就反對了
[00:03:08.000 --> 00:03:17.000]  他說:主耶穌,不行!在裡面已經四天了,屍體會發臭
[00:03:17.000 --> 00:03:20.000]  不可以推開
[00:03:20.000 --> 00:03:25.000]  這是很自然的反應,也是合理的估計
[00:03:25.000 --> 00:03:29.000]  但主耶穌當時說的話,令我印象深刻
[00:03:29.000 --> 00:03:33.000]  主耶穌就告訴他
[00:03:33.000 --> 00:03:43.000]  你知不知道我曾經對你說過,你若信就必看見神的榮耀
[00:03:43.000 --> 00:03:48.000]  因此主耶穌就吩咐人繼續把石頭推開
[00:03:48.000 --> 00:03:52.000]  推開的時候,鏡頭拍到周圍的人群的情況
[00:03:52.000 --> 00:03:56.000]  有些是很驚恐的,不知道什麼事會發生
[00:03:56.000 --> 00:04:03.000]  有些是帶著一種很輕描、很懷疑的神態,不知道什麼會發生
[00:04:03.000 --> 00:04:10.000]  有些很哀傷,知道死人會死去,不會有機會再復生
[00:04:10.000 --> 00:04:15.000]  在這個時候,鏡頭有一個轉變,回到墳墓前
[00:04:15.000 --> 00:04:20.000]  有一片黑的死寂的時刻
[00:04:20.000 --> 00:04:24.000]  在這個時候,我特別留意著,接著會怎樣呢?
[00:04:24.000 --> 00:04:30.000]  接著大家會知道,就是一個人形的人
[00:04:30.000 --> 00:04:38.000]  身被白布、毛巾包裹著,一步一步地走出來
[00:04:38.000 --> 00:04:44.000]  看到這個時候,我突然有種很大的感動,忍不住自己的眼淚
[00:04:44.000 --> 00:04:51.000]  回到主自己的話說,你若信就必看見神的榮耀
[00:04:51.000 --> 00:04:57.000]  我想起自己所經歷的事情,在過去曾經經歷神的奇妙工作
[00:04:57.000 --> 00:05:06.000]  但我知道這些不是我自己,是因為神吩咐我們信靠祂、聽從祂
[00:05:06.000 --> 00:05:09.000]  而經歷祂奇妙的作為
[00:05:09.000 --> 00:05:16.000]  或者說,人對神的信心將我們帶進神的榮耀裡
[00:05:16.000 --> 00:05:22.000]  可以見到神,可以經歷祂的奇妙
[00:05:22.000 --> 00:05:27.000]  各位電影節目人生,你會面對不同的挑戰
[00:05:27.000 --> 00:05:30.000]  但每當你面對挑戰的時候,你記得主跟你說
[00:05:30.000 --> 00:05:36.000]  你若信就必看見神的榮耀
[00:05:36.000 --> 00:05:41.000]  然後你放心去信靠祂,你會經歷神
[00:05:41.000 --> 00:05:46.000]  今日當我們看到聖經希伯來亞,阿伯拉罕的故事的時候
[00:05:46.000 --> 00:05:51.000]  你會留心看一看,阿伯拉罕如何去信靠神
[00:05:51.000 --> 00:05:56.000]  他如何去見到神,如何去看見神的榮耀
[00:05:56.000 --> 00:06:00.000]  從這個角度,我們一起去看經文
[00:06:00.000 --> 00:06:03.000]  這段經文大家會熟悉,但你一定記得
[00:06:03.000 --> 00:06:09.000]  開始的時候,神已經很清楚地吩咐阿伯拉罕做一件事情
[00:06:09.000 --> 00:06:16.000]  阿伯拉罕是真正的聽從,反映他對神有真實的信心
[00:06:16.000 --> 00:06:20.000]  當時神吩咐他,你要將你的兒子獻為繁祭
