
[00:00:00.000 --> 00:00:06.500]  今天和大家繼續在上次給大家的筆記裏面繼續講下去
[00:00:06.500 --> 00:00:10.380]  這個經文是「不要效法這個世界」
[00:00:10.380 --> 00:00:12.920]  這個世界是怎樣呢?
[00:00:12.920 --> 00:00:18.720]  這個世界是「撒旦就是這個世界的神,弄黑人的心眼」
[00:00:18.720 --> 00:00:22.400]  「撒旦就是掌管這個世界的王」
[00:00:22.400 --> 00:00:25.420]  本來「神創造這個世界」
[00:00:25.420 --> 00:00:28.100]  這個世界的意思就是這個地球
[00:00:28.100 --> 00:00:31.380]  是給亞當夏娃在這裏居住的
[00:00:31.380 --> 00:00:35.180]  其實神所做的一切到時是好的
[00:00:35.180 --> 00:00:39.560]  但是神創造亞當夏娃的時候
[00:00:39.560 --> 00:00:44.800]  他是和亞當夏娃是一個愛的創造
[00:00:44.800 --> 00:00:49.680]  神不是說「很無聊啊,今天悶悶地,弄些東西出來吧」
[00:00:49.680 --> 00:00:52.300]  「我講就做到的,弄兩個人出來吧」
[00:00:52.300 --> 00:01:00.040]  不是的,神創造亞當夏娃的時候是按照神的形象和樣式去做的
[00:01:00.040 --> 00:01:01.820]  那甚麼是形象和樣式呢?
[00:01:01.820 --> 00:01:04.820]  如果要研究形象和樣式這兩個原文的字
[00:01:04.820 --> 00:01:06.320]  又要講一大堆東西
[00:01:06.320 --> 00:01:10.060]  簡單來說就是他們是像神的
[00:01:10.060 --> 00:01:13.740]  就好像你生了一個兒子,是像你的
[00:01:13.740 --> 00:01:16.620]  不會像一隻貓的
[00:01:16.620 --> 00:01:18.620]  不會像一隻狗的,不會像其他東西的
[00:01:18.620 --> 00:01:21.280]  是像你,是一個人來的
[00:01:21.280 --> 00:01:26.460]  這裏來說,因為這個世界是最進入了這個世界
[00:01:26.460 --> 00:01:28.080]  為甚麼會有最進入這個世界呢?
[00:01:28.080 --> 00:01:29.720]  就是因為神創造亞當夏娃
[00:01:29.720 --> 00:01:31.520]  祂給予他一個選擇
[00:01:31.520 --> 00:01:36.040]  神不會勉強「你一定要愛我,你一定要選擇我」
[00:01:36.040 --> 00:01:38.640]  神真的給予人一個自由
[00:01:38.640 --> 00:01:45.720]  自由是愛裏面的一個很必要、是不可缺乏的條件之一
[00:01:45.720 --> 00:01:46.980]  是不是呢?
[00:01:46.980 --> 00:01:48.900]  沒有自由,那怎麼辦?
[00:01:48.900 --> 00:01:51.320]  你要我嫁給你,我就嫁給你
[00:01:51.320 --> 00:01:53.520]  你要我娶你,我就娶你
[00:01:53.520 --> 00:01:56.020]  這樣是沒有選擇、沒有自由的
[00:01:56.020 --> 00:01:57.780]  這個不是真的
[00:01:57.780 --> 00:02:01.500]  你要我坐在這裏敬拜就敬拜
[00:02:01.500 --> 00:02:04.500]  可以,我就坐在這裏
[00:02:04.500 --> 00:02:06.420]  所以聖經說
[00:02:06.420 --> 00:02:09.340]  「這百姓用嘴唇尊敬我」
[00:02:09.340 --> 00:02:12.920]  唱Hallelujah、唱詩歌很大聲
[00:02:12.920 --> 00:02:13.620]  那怎麼辦呢?
[00:02:13.620 --> 00:02:17.000]  甚至說道,那怎麼辦呢?
[00:02:17.000 --> 00:02:19.500]  「但是心卻遠離我」
[00:02:19.500 --> 00:02:21.780]  所以當主耶穌基督在世上的時候
[00:02:21.780 --> 00:02:23.200]  到那天有些人說
[00:02:23.200 --> 00:02:26.200]  主啊,我曾經奉你的名傳道
[00:02:26.200 --> 00:02:27.480]  奉你的名趕鬼
[00:02:27.480 --> 00:02:30.260]  奉你的名行異能,厲害嗎?
[00:02:30.260 --> 00:02:31.500]  你去統計一下
[00:02:31.500 --> 00:02:33.940]  一百萬的牧師,如果有這麼多的話
[00:02:33.940 --> 00:02:39.180]  有多少個能夠行異能、行神蹟奇事、能夠趕鬼、醫病呢?
