
[00:00:00.000 --> 00:00:03.000]  各位頂智妹,早安
[00:00:03.000 --> 00:00:08.000]  在講道之先,讓我們再一次同心討告
[00:00:08.000 --> 00:00:12.000]  親愛的聖靈,我們求祢開我們的眼睛
[00:00:12.000 --> 00:00:18.000]  讓我們看到主祢的話語,那種奇妙
[00:00:18.000 --> 00:00:26.000]  開我們的耳朵,讓我們能夠接收到主祢要向我們講的訊息
[00:00:26.000 --> 00:00:33.000]  開我們的心,讓我們有一顆預備好的心田
[00:00:33.000 --> 00:00:44.000]  一個好土,以致我們能夠成就主祢對我們講的真理
[00:00:44.000 --> 00:00:49.000]  主求祢幫助我們,讓我們不是單單做一個聽道的人
[00:00:49.000 --> 00:00:58.000]  讓我們更加願意行道,我們將主祢的真理在我們的生命裏面去活出來
[00:00:58.000 --> 00:01:04.000]  聽我們的祈禱,奉耶穌基督成名祈求,阿們
[00:01:04.000 --> 00:01:09.000]  先給大家看兩幅畫
[00:01:09.000 --> 00:01:14.000]  這幅畫是畫家林布蘭畫的
[00:01:14.000 --> 00:01:20.000]  你猜猜他想畫的主題是什麼
[00:01:20.000 --> 00:01:25.000]  另外一幅就是畫家輝體所畫的
[00:01:25.000 --> 00:01:31.000]  你又猜猜他想畫的主題是什麼
[00:01:31.000 --> 00:01:37.000]  其實這兩幅畫就是我今天要和大家一起去思想的
[00:01:37.000 --> 00:01:42.000]  耶穌講的兩個天國的比喻
[00:01:42.000 --> 00:01:47.000]  在馬太福音十三章就有八個的比喻
[00:01:47.000 --> 00:01:52.000]  是可以分成四對,是關於天國的奧秘
[00:01:52.000 --> 00:01:56.000]  今天我們就來到最後一對
[00:01:56.000 --> 00:02:04.000]  就是和合本叫做藏寶於田和尋珠的比喻
[00:02:04.000 --> 00:02:11.000]  這兩個比喻不單止是難解,更加容易引起誤解
[00:02:11.000 --> 00:02:19.000]  所以我期望大家今天可能要打醒精神去聽
[00:02:19.000 --> 00:02:24.000]  要明白一個比喻,我們起碼要明白三樣東西
[00:02:24.000 --> 00:02:30.000]  比喻的背景,比喻故事的內容是講什麼
[00:02:30.000 --> 00:02:35.000]  和這個比喻給我們有什麼教導
[00:02:35.000 --> 00:02:38.000]  先看一下背景
[00:02:38.000 --> 00:02:47.000]  八個比喻前面那四個就是耶穌坐在船上
[00:02:47.000 --> 00:02:51.000]  向著岸上很多人去講的
[00:02:51.000 --> 00:02:57.000]  所以當中是有門徒,也都是有飛信徒
[00:02:57.000 --> 00:03:01.000]  但是去到後面那四個的比喻
[00:03:01.000 --> 00:03:05.000]  耶穌就只是向門徒講的
[00:03:05.000 --> 00:03:08.000]  為什麼我們知道呢?
[00:03:08.000 --> 00:03:12.000]  因為在馬太福音十三章三十六節那裡說
[00:03:12.000 --> 00:03:18.000]  當下耶穌離開眾人,進了房子
[00:03:18.000 --> 00:03:22.000]  耶穌進了房子,他的門徒就跟著他進去
[00:03:22.000 --> 00:03:28.000]  然後耶穌就講了後面那四個的比喻
[00:03:28.000 --> 00:03:36.000]  開頭那四個比喻就是關乎人對天國的回應
[00:03:36.000 --> 00:03:41.000]  特別是講撒種和拜祭的比喻
[00:03:41.000 --> 00:03:49.000]  指出人在這個世界裡面仍然受著撒旦的影響
[00:03:49.000 --> 00:03:53.000]  門徒心裡面可能有一個問題
[00:03:53.000 --> 00:04:00.000]  就是一個人究竟怎樣才能夠在天國有份呢?
[00:04:00.000 --> 00:04:03.000]  是不是好像地上那些國家一樣
[00:04:03.000 --> 00:04:07.000]  你要拿他的國籍,你在那個國家出生
[00:04:07.000 --> 00:04:10.000]  你就可以得到那個國家的國籍
[00:04:10.000 --> 00:04:15.000]  作為猶太人,阿伯拉罕的子孫
[00:04:15.000 --> 00:04:22.000]  是不是他們自自然然就能夠在天國那裡有份呢?
[00:04:22.000 --> 00:04:28.000]  藏寶於田和尋珠這兩個的比喻
[00:04:28.000 --> 00:04:33.000]  就是針對門徒心裡面這個問題而講的
[00:04:33.000 --> 00:04:36.000]  兩個的比喻是非常之相似
[00:04:36.000 --> 00:04:40.000]  但是他們的教訓卻不是完全一樣
[00:04:40.000 --> 00:04:44.000]  不同的解經家或者不同的目者
[00:04:44.000 --> 00:04:48.000]  都有不同的看法和解釋
[00:04:48.000 --> 00:04:51.000]  可能你聽了這麼多年
[00:04:51.000 --> 00:04:55.000]  你也都聽過不同的解釋
[00:04:55.000 --> 00:04:58.000]  我參考了一些的釋經書
[00:04:58.000 --> 00:05:02.000]  我自己的領袖就是我認同
