
[00:00:00.000 --> 00:00:13.600]  聖誕節,我們很熟悉,在短短二十分鐘之內,我和大家透過這三個字來分析。
[00:00:13.600 --> 00:00:20.920]  爲什麼我們叫耶穌的降生是聖誕節呢?
[00:00:20.920 --> 00:00:28.320]  而我們自己的生日,不會叫聖誕的,或者出生。
[00:00:28.320 --> 00:00:32.480]  因爲耶穌基督是神聖的降生。
[00:00:32.480 --> 00:00:36.080]  聖誕裏面所講的聖節呢?
[00:00:36.080 --> 00:00:45.960]  不僅僅是道德情操的高尚,聖誕這個字最特別的意義是什麼呢?
[00:00:45.960 --> 00:00:53.280]  就是分別了出來,所以是分別爲聖,就是這個意思。
[00:00:53.280 --> 00:00:57.840]  爲什麼主耶穌的降生是這麼特別呢?
[00:00:57.840 --> 00:01:11.600]  原來當人類犯罪的時候,始終亞當夏娃被蛇引誘,蛇是魔鬼的代表。
[00:01:11.600 --> 00:01:20.640]  犯了罪了,但是神就立即宣佈了救恩的出現。
[00:01:20.640 --> 00:01:25.840]  大家來看powerpoint,因爲時間問題,我們不讀出來的了。
[00:01:25.840 --> 00:01:36.320]  他說到女人的後裔要傷蛇的頭,蛇要傷女人的後裔的腳跟。
[00:01:36.320 --> 00:01:47.200]  在希伯來的民族,一個人的後裔是男人的後裔,不是女人的後裔。
[00:01:47.200 --> 00:01:53.600]  就像我們中國人一樣,我們都是男人的後裔。
[00:01:53.600 --> 00:01:58.240]  因爲我們的性是跟誰的性?是跟爸爸的性。
[00:01:58.240 --> 00:02:07.680]  但是這裏是女人的後裔,是指出一個很特別的一個女性,一個是特別的後裔。
[00:02:07.680 --> 00:02:12.480]  大家都很熟悉,這個就是主耶穌基督。
[00:02:12.480 --> 00:02:20.320]  他被釘十字架,好像是失敗,但是他從死裏面復活。
[00:02:20.320 --> 00:02:32.720]  他戰勝了撒旦的權勢,他就傷了蛇的頭,蛇的頭被傷一定是死亡的。
[00:02:32.720 --> 00:02:38.400]  但是他咬腳跟就不死的。
[00:02:38.400 --> 00:02:43.360]  所以這裏是預示了耶穌的降生。
[00:02:43.360 --> 00:02:56.480]  這就是爲什麼希伯來的女性,如果結了婚,沒有懷孕,沒有兒子的話,就被侍衛神祝福。
[00:02:56.480 --> 00:02:59.920]  因爲連這個機會都沒有。
[00:02:59.920 --> 00:03:04.160]  但是最重要耶穌的降生是什麼呢?
[00:03:04.160 --> 00:03:08.640]  他必有童女懷孕生子。
[00:03:08.640 --> 00:03:17.680]  這個童女是很清楚指出一個處女,是沒有發生過性行爲的。
[00:03:17.680 --> 00:03:23.360]  現在這個社會里面很多童女懷孕生子的。
[00:03:23.360 --> 00:03:25.600]  是未婚懷孕的。
[00:03:25.600 --> 00:03:35.120]  但是不要忘記,這是指出一個完全沒有發生過性行爲的女子,懷孕生子。
[00:03:35.120 --> 00:03:38.080]  這就是主耶穌基督的降生。
[00:03:38.080 --> 00:03:42.720]  因爲主耶穌是聖靈成人的。
[00:03:42.720 --> 00:03:46.080]  那神爹要成爲人呢?
[00:03:46.080 --> 00:03:50.640]  這段經文是非常重要,我們一起讀出。
[00:03:50.640 --> 00:03:55.840]  約翰一書第四章第九到第十節。
[00:03:55.840 --> 00:04:16.480]  (約翰一書第四章第九到第十節)
[00:04:16.480 --> 00:04:21.280]  我們經常會想,耶穌基督的愛在十字架上彰顯出來。
[00:04:21.280 --> 00:04:25.280]  我們經常會想,耶穌基督的愛在十字架上彰顯出來。
[00:04:25.280 --> 00:04:32.160]  這是愛的高峯。
[00:04:32.160 --> 00:04:36.640]  沒錯,但確實不完整。
[00:04:36.640 --> 00:04:39.600]  其實這裏很清楚地說,
[00:04:39.600 --> 00:04:43.840]  耶穌降生已經是愛的表現。
[00:04:43.840 --> 00:04:48.400]  在十字架上有肉體的痛楚,
[00:04:48.400 --> 00:04:50.480]  但都是短暫的。
[00:04:50.480 --> 00:04:55.120]  幾個小時之後就死亡了,就復活了。
[00:04:55.120 --> 00:04:58.240]  所以這幾個小時相對於三十多年來說,
[00:04:58.240 --> 00:05:01.840]  是一個很短的時間。
[00:05:01.840 --> 00:05:07.200]  因爲完全沒有受限制的神,
[00:05:07.200 --> 00:05:09.120]  成爲人,
[00:05:09.120 --> 00:05:12.160]  而是有人的身體,
[00:05:12.160 --> 00:05:15.040]  就被限制在這裏了。
