
[00:00:00.000 --> 00:00:01.320]  讀兩節的聖經
[00:00:01.320 --> 00:00:04.500]  在四篇九十篇第十六到十七節
[00:00:04.500 --> 00:00:06.440]  我們只有兩節是一同來念
[00:00:06.440 --> 00:00:10.320]  來 願你的作為向你僕人顯現
[00:00:10.320 --> 00:00:13.640]  願你的榮耀向他們子孫顯明
[00:00:13.640 --> 00:00:17.240]  願祝我們神的榮美歸於我們身上
[00:00:17.240 --> 00:00:19.880]  願你堅立我們所所做的功
[00:00:19.880 --> 00:00:22.800]  我們所所做的功願你堅立
[00:00:22.800 --> 00:00:25.000]  我們就讀到這裡
[00:00:25.000 --> 00:00:27.680]  這兩個禮拜好像我們一直都在過節
[00:00:27.680 --> 00:00:29.000]  又是慶祝新年
[00:00:29.000 --> 00:00:31.200]  又是慶祝情人節
[00:00:31.200 --> 00:00:32.920]  我相信我們跟家人在一起
[00:00:32.920 --> 00:00:35.760]  一定有很多歡樂的時光
[00:00:35.760 --> 00:00:37.920]  在這一切歡樂時光當中
[00:00:37.920 --> 00:00:39.720]  我不知道你是否記得
[00:00:39.720 --> 00:00:42.360]  剛過去的二月八號
[00:00:42.360 --> 00:00:48.320]  也是去年亞斯伯利大學復興一周年的紀念
[00:00:48.320 --> 00:00:51.400]  在去年二月八號的那一天
[00:00:51.400 --> 00:00:56.280]  當學生們在每一周的臨休的聚會結束之後
[00:00:56.280 --> 00:00:58.560]  有一小群的學生
[00:00:58.560 --> 00:01:01.240]  因為可慕神的同在
[00:01:01.240 --> 00:01:03.720]  就不願意離開會場
[00:01:03.720 --> 00:01:06.200]  他們想繼續的敬拜
[00:01:06.200 --> 00:01:08.400]  繼續在神的榮耀當中
[00:01:08.400 --> 00:01:10.840]  他們不想離開會場
[00:01:10.840 --> 00:01:13.440]  所以他們就繼續敬拜下去
[00:01:13.440 --> 00:01:17.880]  結果越來越多學生就聚集跟他們在一起
[00:01:17.880 --> 00:01:21.520]  他們不停止的禱告敬拜
[00:01:21.520 --> 00:01:25.560]  結果忽然間神榮耀的同在彰顯出來
[00:01:25.560 --> 00:01:29.720]  整個敬拜就一直持續了兩個禮拜之久
[00:01:29.720 --> 00:01:34.360]  許多人從世界各地都湧入這個大學
[00:01:34.360 --> 00:01:39.080]  就想經歷那一份神的榮耀的同在
[00:01:39.080 --> 00:01:41.720]  這個亞斯伯利大學的復興
[00:01:41.720 --> 00:01:44.680]  雖然為期很短只有兩個禮拜
[00:01:44.680 --> 00:01:47.360]  但卻是對今天的我們來講
[00:01:47.360 --> 00:01:49.640]  是非常有意義的
[00:01:49.640 --> 00:01:52.840]  特別是當我們看見現今的美國
[00:01:52.840 --> 00:01:55.120]  無論是在政治、經濟
[00:01:55.120 --> 00:01:58.520]  社會秩序、屬靈光景上
