
[00:00:00.000 --> 00:00:02.720]  其實今天我講的經文就是在《士途人傳》第十六章
[00:00:02.720 --> 00:00:05.800]  由第九節到第十五節
[00:00:05.800 --> 00:00:08.160]  當然這段聖經我不想浪費時間去讀
[00:00:08.160 --> 00:00:12.960]  也是說到我們在《士途人傳》裏面的士途保羅
[00:00:12.960 --> 00:00:15.800]  他被一個異象吸引
[00:00:15.800 --> 00:00:18.840]  我們稱之為一個馬其頓的異象
[00:00:18.840 --> 00:00:21.200]  然後因著這個異象
[00:00:21.200 --> 00:00:23.160]  保羅的行程裏面
[00:00:23.160 --> 00:00:24.680]  他傳福音的行程
[00:00:24.680 --> 00:00:28.800]  原本他很想繼續在亞洲裏面傳福音
[00:00:28.800 --> 00:00:31.320]  但是神卻帶他去了歐洲
[00:00:31.320 --> 00:00:34.000]  去了希臘土耳其的方向
[00:00:34.000 --> 00:00:35.920]  然後福音就去了歐洲
[00:00:35.920 --> 00:00:37.680]  然後由福音去到歐洲
[00:00:37.680 --> 00:00:38.360]  去到美洲
[00:00:38.360 --> 00:00:40.720]  由美洲再來到亞洲
[00:00:40.720 --> 00:00:43.560]  當然今天我選這段聖經的原因
[00:00:43.560 --> 00:00:46.440]  題目就是神聖的約會
[00:00:46.440 --> 00:00:50.080]  如果用英文來說是一個Divine Appointment
[00:00:50.080 --> 00:00:51.760]  一個神聖的約會
[00:00:51.760 --> 00:00:54.760]  其實我四十多年前開始讀神學院
[00:00:54.760 --> 00:00:56.560]  那時候蒙召
[00:00:56.560 --> 00:00:59.320]  我的年紀大概是二十多歲
[00:00:59.320 --> 00:01:02.520]  神就呼召我要全時間去侍奉
[00:01:02.520 --> 00:01:05.400]  於是就進了神學院去受詛咒
[00:01:05.400 --> 00:01:07.840]  當時在加拿大進入神學院的時候
[00:01:07.840 --> 00:01:09.080]  真的很興奮
[00:01:09.080 --> 00:01:11.560]  因為真的有很多東西要學
[00:01:11.560 --> 00:01:15.000]  無論是希臘文、希伯來文、神學
[00:01:15.000 --> 00:01:17.000]  每一位老師的教導
[00:01:17.000 --> 00:01:19.240]  都覺得真的很精彩
[00:01:19.240 --> 00:01:20.960]  這些東西都是我不懂的
[00:01:20.960 --> 00:01:22.160]  是我完全不懂
[00:01:22.160 --> 00:01:23.680]  我們以前聽到的
[00:01:23.680 --> 00:01:25.960]  當你聽得不懂、不明白的時候
[00:01:25.960 --> 00:01:27.800]  你就會覺得那位講員很厲害
[00:01:27.800 --> 00:01:29.120]  因為你聽不懂
[00:01:29.120 --> 00:01:30.120]  你就覺得他很厲害
[00:01:30.120 --> 00:01:31.160]  當時真的是
[00:01:31.160 --> 00:01:32.880]  我聽那位講員說到
[00:01:32.880 --> 00:01:35.160]  他能夠十二支派一分鐘背完
[00:01:35.160 --> 00:01:36.560]  你行不行
[00:01:36.560 --> 00:01:37.440]  我都不行
[00:01:37.440 --> 00:01:39.280]  一分鐘背完十二支派我都不行
[00:01:39.280 --> 00:01:41.480]  我覺得這個牧師真的很厲害
[00:01:41.480 --> 00:01:44.640]  當時看到那些老師的教導
[00:01:44.640 --> 00:01:47.320]  為何他們對聖經可以這麼深入
[00:01:47.320 --> 00:01:48.880]  可以去了解
[00:01:48.880 --> 00:01:51.560]  我還記得當我自己讀系統神學的時候
[00:01:51.560 --> 00:01:56.840]  其中講到神與人的一個溝通方法
[00:01:56.840 --> 00:01:57.680]  這個方法就是
[00:01:57.680 --> 00:01:58.800]  如果看回聖經
[00:01:58.800 --> 00:02:02.760]  我們看到神可以直接與你講話
[00:02:02.760 --> 00:02:05.360]  祂可以與摩西講話
[00:02:05.360 --> 00:02:06.360]  很直接的
[00:02:06.360 --> 00:02:08.720]  有沒有聽過神與你講話
[00:02:08.720 --> 00:02:09.840]  直接講話
[00:02:09.840 --> 00:02:10.720]  Hi, how are you?
[00:02:10.720 --> 00:02:11.680]  有沒有
[00:02:11.680 --> 00:02:12.760]  真是直接的
[00:02:12.760 --> 00:02:14.280]  真是很清楚的
[00:02:14.280 --> 00:02:17.480]  我們的神也可以用意象
[00:02:17.480 --> 00:02:18.880]  嘩,很厲害
[00:02:18.880 --> 00:02:23.360]  這裡看到保羅無端端看到一個馬其頓的意象
[00:02:23.360 --> 00:02:25.880]  嘩,這個意象真是很厲害
[00:02:25.880 --> 00:02:29.120]  能夠帶我們去到一個地方
[00:02:29.120 --> 00:02:31.840]  同樣神可以藉著夢境
[00:02:31.840 --> 00:02:33.080]  有時天人做夢
[00:02:33.080 --> 00:02:34.680]  有些皇帝做夢
[00:02:34.680 --> 00:02:36.520]  要啟夢
[00:02:36.520 --> 00:02:38.600]  甚至一個方法就是
[00:02:38.600 --> 00:02:39.640]  雲有障礙
[00:02:39.640 --> 00:02:40.960]  以前我經常都講
[00:02:40.960 --> 00:02:42.280]  雲有障礙是什麼意思
[00:02:42.280 --> 00:02:43.160]  就是今天你坐在這裡
[00:02:43.160 --> 00:02:44.080]  其實你不在這裡
[00:02:44.080 --> 00:02:44.880]  這個意思
[00:02:44.880 --> 00:02:47.000]  就是你的雲去了別處
[00:02:47.000 --> 00:02:47.960]  雲有障礙
[00:02:47.960 --> 00:02:49.560]  即是神會帶你
[00:02:49.560 --> 00:02:52.000]  原本坐在高威
[00:02:52.000 --> 00:02:53.240]  但不知道去了哪家餐廳
[00:02:53.240 --> 00:02:55.520]  已經坐在那裡等吃晚飯
[00:02:55.520 --> 00:02:58.280]  即是神可以用不同的方法
[00:02:58.280 --> 00:02:59.120]  當時我們覺得
[00:02:59.120 --> 00:03:00.320]  嘩,真是很厲害
[00:03:00.320 --> 00:03:01.360]  這些神學家
[00:03:01.360 --> 00:03:03.520]  怎麼可以從聖經可以看到
[00:03:03.520 --> 00:03:07.240]  一些這麼精彩的教導
[00:03:07.240 --> 00:03:10.320]  當時覺得自己可以很了不起
[00:03:10.320 --> 00:03:11.720]  讀了幾年神學院
[00:03:11.720 --> 00:03:13.320]  覺得自己很厲害
[00:03:13.320 --> 00:03:14.800]  於是回到教會
[00:03:14.800 --> 00:03:17.640]  能夠去挑戰一些的執事
[00:03:17.640 --> 00:03:18.640]  嘩,很大膽
[00:03:18.640 --> 00:03:20.320]  經常挑戰一些執事
[00:03:20.320 --> 00:03:24.120]  結果令到教會分裂了
[00:03:24.120 --> 00:03:25.120]  當時我也是這樣
[00:03:25.120 --> 00:03:26.800]  我們為真理而已
[00:03:26.800 --> 00:03:27.760]  我們為真理
[00:03:27.760 --> 00:03:30.120]  嘩,我們要把持真理
[00:03:30.120 --> 00:03:31.360]  神明明是這樣說的
[00:03:31.360 --> 00:03:32.960]  教會應該是這樣的
[00:03:32.960 --> 00:03:34.040]  這些執事不對
[00:03:34.040 --> 00:03:37.040]  於是就將這些執事去指責
[00:03:37.040 --> 00:03:39.920]  甚至令到教會去到最後分裂
[00:03:39.920 --> 00:03:40.880]  經過四十多年之後
[00:03:40.880 --> 00:03:42.040]  如果有人問我
[00:03:42.040 --> 00:03:44.400]  會不會再重拾做這些事
[00:03:44.400 --> 00:03:45.880]  我說我不會
[00:03:45.880 --> 00:03:47.600]  因為四十多年之後
