
[00:00:00.000 --> 00:00:04.000]  鼎志梅摩西曾經在詩篇90篇說到
[00:00:04.000 --> 00:00:08.000]  我們人生可誇的是甚麼呢
[00:00:08.000 --> 00:00:11.000]  勞苦受煩
[00:00:11.000 --> 00:00:13.000]  轉爛成空
[00:00:13.000 --> 00:00:16.000]  勞苦就指我們一生都是做牛做馬
[00:00:16.000 --> 00:00:19.000]  很辛苦才能賺到三餐
[00:00:19.000 --> 00:00:21.000]  稍為好一點的
[00:00:21.000 --> 00:00:24.000]  就能儲到錢養活我們的下一代
[00:00:24.000 --> 00:00:27.000]  受煩是指甚麼呢
[00:00:27.000 --> 00:00:29.000]  人生有時很多苦惱的事
[00:00:29.000 --> 00:00:31.000]  很煩的事
[00:00:31.000 --> 00:00:33.000]  但是受煩還有一個意思
[00:00:33.000 --> 00:00:36.000]  是指我們裏面那種悲傷
[00:00:36.000 --> 00:00:38.000]  人生不單止是苦惱
[00:00:38.000 --> 00:00:40.000]  也充滿悲傷
[00:00:40.000 --> 00:00:43.000]  人為甚麼會悲傷呢
[00:00:43.000 --> 00:00:46.000]  是因為人在罪裏面
[00:00:46.000 --> 00:00:48.000]  人是沒有辦法開心的
[00:00:48.000 --> 00:00:50.000]  人要面對很多罪帶來一些苦惱
[00:00:50.000 --> 00:00:53.000]  帶來一些不開心的事
[00:00:53.000 --> 00:00:55.000]  不在於你的環境
[00:00:55.000 --> 00:00:57.000]  或者不在於你的身份背景
[00:00:57.000 --> 00:00:59.000]  在這個罪惡的世界裏面
[00:00:59.000 --> 00:01:01.000]  人就是勞苦受煩
[00:01:01.000 --> 00:01:04.000]  想都想不到買奶粉都這麼辛苦
[00:01:04.000 --> 00:01:07.000]  想都想不到買完奶粉回來
[00:01:07.000 --> 00:01:09.000]  都要想清楚這罐奶粉在哪裏買
[00:01:09.000 --> 00:01:11.000]  如果在大陸買呢
[00:01:11.000 --> 00:01:14.000]  都是想清楚吃不吃好
[00:01:14.000 --> 00:01:16.000]  因為太多造假的情況
[00:01:16.000 --> 00:01:18.000]  表面上這個罐是真的
[00:01:18.000 --> 00:01:20.000]  是某廠出的
[00:01:20.000 --> 00:01:22.000]  不過裏面不知道裝了甚麼粉
[00:01:22.000 --> 00:01:25.000]  所以我們不要怪那些搶奶粉的人
[00:01:25.000 --> 00:01:27.000]  他們不是幕後黑手
[00:01:27.000 --> 00:01:30.000]  他們只不過為自己下一代而著想
[00:01:30.000 --> 00:01:32.000]  是因為人的罪
[00:01:32.000 --> 00:01:33.000]  因為人的自愛
[00:01:33.000 --> 00:01:34.000]  因為人要貪婪
[00:01:34.000 --> 00:01:35.000]  物慾
[00:01:35.000 --> 00:01:37.000]  他不會理會人其他的東西
[00:01:37.000 --> 00:01:41.000]  今天科技進步
[00:01:41.000 --> 00:01:43.000]  很容易造假
[00:01:43.000 --> 00:01:46.000]  伊朗發射升空的馬騮
[00:01:46.000 --> 00:01:48.000]  看照片原來是假的
[00:01:48.000 --> 00:01:49.000]  有些不同
[00:01:49.000 --> 00:01:50.000]  這個不說了
[00:01:50.000 --> 00:01:52.000]  我想我們今天買任何東西
[00:01:52.000 --> 00:01:54.000]  譬如你買一層樓
[00:01:54.000 --> 00:01:56.000]  你不會看完這張照片之後
[00:01:56.000 --> 00:01:57.000]  你說我幫你下訂
