
[00:00:00.000 --> 00:00:04.000]  在約拿書第三章第十節這樣記
[00:00:04.000 --> 00:00:08.000]  於是神察看他們的行為
[00:00:08.000 --> 00:00:11.000]  見他們離開惡道
[00:00:11.000 --> 00:00:14.000]  他就後悔
[00:00:14.000 --> 00:00:19.000]  不把所說的災禍干預他們了
[00:00:19.000 --> 00:00:22.000]  如果約拿書就在這裡結束
[00:00:22.000 --> 00:00:25.000]  我相信是一個很正路
[00:00:25.000 --> 00:00:27.000]  很完美的結局
[00:00:27.000 --> 00:00:30.000]  就好像電視劇集
[00:00:30.000 --> 00:00:32.000]  大團圓結局
[00:00:32.000 --> 00:00:36.000]  皆大歡喜歡樂今宵
[00:00:36.000 --> 00:00:40.000]  你們未成的人肯悔改而得救
[00:00:40.000 --> 00:00:42.000]  起碼不用殺戮
[00:00:42.000 --> 00:00:44.000]  多好呀
[00:00:44.000 --> 00:00:47.000]  而先知約拿也能將功補過
[00:00:47.000 --> 00:00:49.000]  完成任務
[00:00:49.000 --> 00:00:55.000]  但聖經竟然出現第四章
[00:00:55.000 --> 00:00:59.000]  而且這更不是結局
[00:00:59.000 --> 00:01:01.000]  聖經第四章第一節說
[00:01:01.000 --> 00:01:04.000]  這是約拿大大的不悅
[00:01:04.000 --> 00:01:06.000]  且甚乏勞
[00:01:06.000 --> 00:01:08.000]  這一節的出現
[00:01:08.000 --> 00:01:13.000]  令整個氣氛突然轉變
[00:01:13.000 --> 00:01:17.000]  也令我們讀聖經的人感到莫名
[00:01:17.000 --> 00:01:20.000]  而去到第四章尾的時候
[00:01:20.000 --> 00:01:23.000]  更加有一種未完的感覺
[00:01:23.000 --> 00:01:25.000]  上帝好像留下一個思想
[00:01:25.000 --> 00:01:28.000]  一個未知怎樣的結局
[00:01:28.000 --> 00:01:32.000]  給我們去想去懸賞
[00:01:32.000 --> 00:01:34.000]  很多人包括基督徒
[00:01:34.000 --> 00:01:37.000]  都以為信仰的歷程
[00:01:37.000 --> 00:01:39.000]  一定是這樣的結局
[00:01:39.000 --> 00:01:40.000]  一條直線
[00:01:40.000 --> 00:01:43.000]  沒有起伏沒有掙扎
[00:01:43.000 --> 00:01:45.000]  甚至應該是一帆風順
[00:01:45.000 --> 00:01:47.000]  事事如意
[00:01:47.000 --> 00:01:51.000]  從此自己就變成一個百醉不侵
[00:01:51.000 --> 00:01:53.000]  聽教聽話
[00:01:53.000 --> 00:01:56.000]  非常淑寧的基督徒
[00:01:56.000 --> 00:01:59.000]  但是當我們相信得久的時候
[00:01:59.000 --> 00:02:01.000]  我們就體會
[00:02:01.000 --> 00:02:03.000]  信仰的生活
