
[00:00:00.000 --> 00:00:03.000]  丹心占卜早晨
[00:00:03.000 --> 00:00:06.000]  想跟大家誦一段聖經
[00:00:06.000 --> 00:00:09.000]  在約翰福音第四章一至第十八節
[00:00:09.000 --> 00:00:14.000]  這段經文就是耶穌基督接了一個撒瑪利亞婦人
[00:00:14.000 --> 00:00:18.000]  跟她個人報道裡的其中一個段落
[00:00:18.000 --> 00:00:20.000]  在這裡想問一問大家
[00:00:20.000 --> 00:00:22.000]  在過去一年裡
[00:00:22.000 --> 00:00:24.000]  你有沒有跟別人分享過信仰
[00:00:24.000 --> 00:00:27.000]  或者提及過一些信仰的經歷
[00:00:27.000 --> 00:00:30.000]  舉手吧 如果你有就舉手吧
[00:00:30.000 --> 00:00:33.000]  謝謝 都有部分
[00:00:33.000 --> 00:00:37.000]  想問問當你跟別人分享信仰的時候
[00:00:37.000 --> 00:00:39.000]  你覺得困難嗎
[00:00:39.000 --> 00:00:42.000]  如果是困難 你覺得難在哪裡呢
[00:00:42.000 --> 00:00:44.000]  如果你覺得困難 難在哪裡呢
[00:00:44.000 --> 00:00:47.000]  我試試你跟旁邊那位說一說
[00:00:47.000 --> 00:00:50.000]  問一下你難在哪裡呢
[00:00:50.000 --> 00:00:53.000]  當然你說不難就不用回答了
[00:00:53.000 --> 00:00:57.000]  難在哪裡呢
[00:00:57.000 --> 00:01:01.000]  差不多了 兩句而已
[00:01:01.000 --> 00:01:06.000]  問問大家 試試會不會有人大聲說
[00:01:06.000 --> 00:01:09.000]  你聽到對方說難些什麼
[00:01:09.000 --> 00:01:12.000]  你只說對方的答案
[00:01:12.000 --> 00:01:16.000]  不合聊天
[00:01:16.000 --> 00:01:19.000]  另外呢 有沒有
[00:01:19.000 --> 00:01:23.000]  沒有嗎 怎麼樣
[00:01:23.000 --> 00:01:26.000]  沒有 剛才很多聲音
[00:01:26.000 --> 00:01:29.000]  不知道怎麼說
[00:01:29.000 --> 00:01:31.000]  最難就是不知道怎麼說
[00:01:31.000 --> 00:01:33.000]  有時候可能很害怕
[00:01:33.000 --> 00:01:36.000]  總之沒有說
[00:01:36.000 --> 00:01:38.000]  有人這樣說
[00:01:38.000 --> 00:01:40.000]  在一般的社交場合環境裡
[00:01:40.000 --> 00:01:42.000]  有幾方面的事情就不要說
[00:01:42.000 --> 00:01:44.000]  因為比較敏感
[00:01:44.000 --> 00:01:47.000]  說出來的時候會惹人反感
[00:01:47.000 --> 00:01:49.000]  視乎你認不認同
[00:01:49.000 --> 00:01:51.000]  有一方面不要說
[00:01:51.000 --> 00:01:53.000]  不要問人家財富收入
[00:01:53.000 --> 00:01:55.000]  很敏感的 錢怎麼來的
[00:01:55.000 --> 00:01:57.000]  有多少錢
[00:01:57.000 --> 00:01:59.000]  另一方面就說
[00:01:59.000 --> 00:02:01.000]  身體健康
[00:02:01.000 --> 00:02:03.000]  我身體健康是我私人的東西
[00:02:03.000 --> 00:02:05.000]  你不要問我什麼
[00:02:05.000 --> 00:02:07.000]  當然不要說了
[00:02:07.000 --> 00:02:09.000]  另外就是政治的問題
[00:02:09.000 --> 00:02:11.000]  傾向藍還是傾向黃
[00:02:11.000 --> 00:02:14.000]  不要問了 你說這些就要吵架了
[00:02:14.000 --> 00:02:17.000]  另一方面就說 宗教信仰
[00:02:17.000 --> 00:02:19.000]  你不要說宗教信仰
[00:02:19.000 --> 00:02:20.000]  人有宗教信仰 你有宗教信仰
[00:02:20.000 --> 00:02:22.000]  你說不對的話
