
[00:00:00.000 --> 00:00:02.880]  本節目《平安耶穌生平與教訓》
[00:00:02.880 --> 00:00:05.080]  已經來到最後一講
[00:00:05.080 --> 00:00:07.320]  今天是第十講
[00:00:07.320 --> 00:00:10.360]  講的是「復活的主」
[00:00:10.360 --> 00:00:12.360]  主不僅受死
[00:00:12.360 --> 00:00:16.000]  主更加從死裡復活
[00:00:16.000 --> 00:00:17.400]  聖經告訴我們
[00:00:17.400 --> 00:00:21.080]  聽到《馬太福音》二十八章
[00:00:21.080 --> 00:00:24.760]  忽然地帶震動
[00:00:24.760 --> 00:00:27.560]  有主的使者顯現
[00:00:27.560 --> 00:00:33.800]  主的使者將墓門口那塊石頭滾開了
[00:00:33.800 --> 00:00:36.240]  然後他就進去裡面
[00:00:36.240 --> 00:00:40.720]  坐在耶穌葬的地方
[00:00:40.720 --> 00:00:44.280]  於是有些婦女來到墳墓
[00:00:44.280 --> 00:00:46.560]  想著要告耶穌
[00:00:46.560 --> 00:00:48.560]  哇!她們很震驚
[00:00:48.560 --> 00:00:51.680]  為什麼那塊石頭會搬開了?
[00:00:51.680 --> 00:00:53.680]  不知道發生什麼事
[00:00:53.680 --> 00:00:56.960]  於是主的使者就跟她們說
[00:00:56.960 --> 00:00:59.440]  祂不在這裡
[00:00:59.440 --> 00:01:02.560]  祂已經復活了
[00:01:02.560 --> 00:01:05.040]  於是就叫這些婦女
[00:01:05.040 --> 00:01:09.120]  要回去通知其他的門徒
[00:01:09.120 --> 00:01:13.440]  其他的門徒一聽到這個消息
[00:01:13.440 --> 00:01:15.040]  就有兩個人
[00:01:15.040 --> 00:01:16.280]  一個就是彼得
[00:01:16.280 --> 00:01:17.320]  一個就是約翰
[00:01:17.320 --> 00:01:20.160]  走來墳墓這裡
[00:01:20.160 --> 00:01:22.280]  要看看發生什麼事
[00:01:22.280 --> 00:01:24.840]  有一個人走得快一點的
[00:01:24.840 --> 00:01:27.440]  他就進去看看
[00:01:27.440 --> 00:01:29.960]  發覺那些果絲布
