
[00:00:00.000 --> 00:00:07.000]  在美國有一位八歲大的小孩
[00:00:07.000 --> 00:00:11.000]  他的名字叫做Christian
[00:00:11.000 --> 00:00:14.000]  這個名字也挺流行的
[00:00:14.000 --> 00:00:20.000]  他在電視上看到一個廣告
[00:00:20.000 --> 00:00:29.000]  就是去支持一些患了癌症的小朋友
[00:00:29.000 --> 00:00:36.000]  因爲他們患病要治療
[00:00:36.000 --> 00:00:38.000]  頭髮都掉了
[00:00:38.000 --> 00:00:41.000]  可以捐頭髮給他們
[00:00:41.000 --> 00:00:43.000]  真的頭髮
[00:00:43.000 --> 00:00:49.000]  所以這個八歲大的男孩
[00:00:49.000 --> 00:00:58.000]  下定決心捐頭髮給小孩
[00:00:58.000 --> 00:01:00.000]  男孩來的
[00:01:00.000 --> 00:01:02.000]  頭髮很短
[00:01:02.000 --> 00:01:06.000]  所以他決定留長頭髮
[00:01:06.000 --> 00:01:12.000]  留到可以捐頭髮的長度
[00:01:12.000 --> 00:01:15.000]  就是十寸以上
[00:01:15.000 --> 00:01:20.000]  他沒有告訴別人這個心願
[00:01:20.000 --> 00:01:24.000]  他就默默地留長頭髮
[00:01:24.000 --> 00:01:28.000]  一直不剪頭髮
[00:01:28.000 --> 00:01:29.000]  如果你有兒子的話
[00:01:29.000 --> 00:01:32.000]  你想一想
[00:01:32.000 --> 00:01:35.000]  他回到學校
[00:01:35.000 --> 00:01:38.000]  和鄰居玩的時候
[00:01:38.000 --> 00:01:41.000]  被人笑他
[00:01:41.000 --> 00:01:44.000]  被人揶揄他
[00:01:44.000 --> 00:01:49.000]  被人欺負他
[00:01:49.000 --> 00:01:51.000]  甚至有人說
[00:01:51.000 --> 00:01:56.000]  給你錢剪掉吧
[00:01:56.000 --> 00:01:57.000]  不知道爲什麼
[00:01:57.000 --> 00:02:00.000]  這個小孩有勇氣
[00:02:00.000 --> 00:02:03.000]  一直堅持了兩年
[00:02:03.000 --> 00:02:06.000]  留長頭髮
[00:02:06.000 --> 00:02:10.000]  結果剪了頭髮
[00:02:10.000 --> 00:02:13.000]  剪完之後
[00:02:13.000 --> 00:02:20.000]  剪了四處可以捐頭髮
[00:02:20.000 --> 00:02:23.000]  就捐了出去
[00:02:23.000 --> 00:02:28.000]  因爲他自己有這份決心
[00:02:28.000 --> 00:02:31.000]  在那兩年裏面
[00:02:31.000 --> 00:02:33.000]  有很多困難
[00:02:33.000 --> 00:02:35.000]  有很多嘲笑
[00:02:35.000 --> 00:02:39.000]  但是他都做得到
[00:02:39.000 --> 00:02:41.000]  我們在想
[00:02:41.000 --> 00:02:44.000]  我們做基督徒
[00:02:44.000 --> 00:02:47.000]  都會有很多困難
[00:02:47.000 --> 00:02:50.000]  都會被很多人嘲笑
[00:02:50.000 --> 00:02:54.000]  有很多不方便
[00:02:54.000 --> 00:02:59.000]  不過我們有沒有堅持到底呢
[00:02:59.000 --> 00:03:02.000]  有沒有放棄我們的信仰
[00:03:02.000 --> 00:03:05.000]  有沒有繼續回來教會呢
[00:03:05.000 --> 00:03:10.000]  過去有教會的普查
[00:03:10.000 --> 00:03:11.000]  就告訴我們
[00:03:11.000 --> 00:03:13.000]  在過去那五年裏面
[00:03:13.000 --> 00:03:16.000]  年輕的一代信徒
[00:03:16.000 --> 00:03:19.000]  十多二十多到三十多
[00:03:19.000 --> 00:03:20.000]  這些信徒
[00:03:20.000 --> 00:03:24.000]  有差不多六成的信徒
[00:03:24.000 --> 00:03:25.000]  這一羣年輕人
