
[00:00:00.000 --> 00:00:02.040]  開始先和大家分享一下
[00:00:02.040 --> 00:00:08.080]  我們一些辦公室裡的童工的趣事
[00:00:08.080 --> 00:00:10.560]  以下是一些純屬的笑話
[00:00:10.560 --> 00:00:12.000]  如果爛笑話已經說了
[00:00:12.000 --> 00:00:14.800]  你們不要嚇我
[00:00:14.800 --> 00:00:17.320]  當我預備這個訊息的時候
[00:00:17.320 --> 00:00:20.280]  我突然想起我要怎麼開始
[00:00:20.280 --> 00:00:21.560]  我就想起一個問題
[00:00:21.560 --> 00:00:25.440]  有什麼是在這個世界上很實在的存在
[00:00:25.440 --> 00:00:28.120]  但是卻是我們看不到的呢?
[00:00:28.120 --> 00:00:30.240]  於是我就把這個問題拋出去
[00:00:30.240 --> 00:00:32.480]  在辦公室裡集思廣益
[00:00:32.480 --> 00:00:35.400]  看看童工有什麼建議
[00:00:35.400 --> 00:00:37.160]  他們給了我很多答案
[00:00:37.160 --> 00:00:38.800]  大家可能心裡也有不少
[00:00:38.800 --> 00:00:43.040]  空氣我們看不到卻是存在的
[00:00:43.040 --> 00:00:45.240]  另外很多時候
[00:00:45.240 --> 00:00:47.000]  這個麻疹示弱
[00:00:47.000 --> 00:00:49.320]  今天早上聽到三姬說
[00:00:49.320 --> 00:00:51.920]  其實我們的防禦意識非常差
[00:00:51.920 --> 00:00:53.120]  其實無論在醫院
[00:00:53.120 --> 00:00:54.560]  無論在海關
[00:00:54.560 --> 00:00:56.160]  其實人們都很隨便的
[00:00:56.160 --> 00:00:58.160]  不怎麼檢查有沒有戴口罩
[00:00:58.160 --> 00:00:59.640]  有沒有檢疫發燒
[00:00:59.640 --> 00:01:00.600]  細菌
[00:01:00.600 --> 00:01:02.680]  所以鼓勵大家要洗手
[00:01:02.680 --> 00:01:04.320]  洗手洗手
[00:01:04.320 --> 00:01:06.360]  這個東西我們看不到的
[00:01:06.360 --> 00:01:09.400]  但卻有很實在的存在在影響我們
[00:01:09.400 --> 00:01:11.160]  電波
[00:01:11.160 --> 00:01:14.280]  很多的電波現在在這個空間運行
[00:01:14.280 --> 00:01:16.880]  我之所以聲音可以讓你們聽到
[00:01:16.880 --> 00:01:18.880]  其實是因為我這裡透過電波
[00:01:18.880 --> 00:01:20.480]  去了後面的房間
[00:01:20.480 --> 00:01:22.000]  再傳回來前面的喇叭
[00:01:22.000 --> 00:01:24.720]  然後你們可以聽到
[00:01:24.720 --> 00:01:26.280]  很多的電波
[00:01:26.280 --> 00:01:28.800]  我正在按的powerpoint
[00:01:28.800 --> 00:01:30.240]  都是透過一些電波
[00:01:30.240 --> 00:01:32.040]  更加不是很好的
[00:01:32.040 --> 00:01:34.160]  我們現在用很多的電子產品
[00:01:34.160 --> 00:01:35.560]  或者I物I物
[00:01:35.560 --> 00:01:37.760]  帶來很多的輻射
[00:01:37.760 --> 00:01:39.120]  都是很影響
[00:01:39.120 --> 00:01:41.600]  這些不是很好的影響
[00:01:41.600 --> 00:01:43.600]  很多不同的建議
[00:01:43.600 --> 00:01:45.720]  我們就喜好很多人有不同的
[00:01:45.720 --> 00:01:46.600]  可能呢
[00:01:46.600 --> 00:01:48.000]  一邊講一邊講的時候
[00:01:48.000 --> 00:01:49.120]  在辦公室裏面
[00:01:49.120 --> 00:01:51.720]  有一個童工其實原先很專心
[00:01:51.720 --> 00:01:53.160]  在做事對著電腦
[00:01:53.160 --> 00:01:54.320]  可能在想事
[00:01:54.320 --> 00:01:55.280]  可能被我們打擾
[00:01:55.280 --> 00:01:56.400]  我們太吵了
[00:01:56.400 --> 00:01:58.680]  於是他就起來
[00:01:58.680 --> 00:01:59.960]  起來就跟我們說
[00:01:59.960 --> 00:02:02.560]  他說
[00:02:02.560 --> 00:02:03.480]  我見過
[00:02:03.480 --> 00:02:06.720]  有一個姐妹跟我說
[00:02:06.720 --> 00:02:09.240]  她說她昨晚看到神
[00:02:09.240 --> 00:02:11.440]  她說她昨晚看到神
[00:02:11.440 --> 00:02:12.400]  我們就立刻
[00:02:12.400 --> 00:02:13.120]  靜下來
[00:02:13.120 --> 00:02:14.840]  哇 看到神
[00:02:14.840 --> 00:02:16.040]  沒理由的
[00:02:16.040 --> 00:02:18.760]  聖經裏面說看到神會死的
[00:02:18.760 --> 00:02:19.920]  那怎麼辦呢 很緊張
[00:02:19.920 --> 00:02:20.560]  於是問她
[00:02:20.560 --> 00:02:22.440]  很留心聽到她說
[00:02:22.440 --> 00:02:24.280]  她說她當時也很緊張
[00:02:24.280 --> 00:02:25.720]  她問一下姐妹
[00:02:25.720 --> 00:02:27.080]  你怎樣看到神
[00:02:27.080 --> 00:02:28.560]  姐妹說你有什麼緊張
[00:02:28.560 --> 00:02:29.200]  我想告訴你
[00:02:29.200 --> 00:02:31.560]  我昨晚去了看到神
[00:02:31.560 --> 00:02:32.920]  看到神很好看
[00:02:32.920 --> 00:02:34.360]  想介紹你去看
[00:02:34.360 --> 00:02:36.080]  阿牧姐這樣
[00:02:36.080 --> 00:02:38.240]  這個純粹原來是
[00:02:38.240 --> 00:02:39.720]  這個童工的一個爛笑
[00:02:39.720 --> 00:02:40.360]  因為呢
[00:02:40.360 --> 00:02:41.320]  可能他真的覺得
[00:02:41.320 --> 00:02:43.280]  我們吵著他做事
[00:02:43.280 --> 00:02:44.880]  所以他要我們停了
[00:02:44.880 --> 00:02:46.280]  然後又有另一個童工
[00:02:46.280 --> 00:02:46.920]  很好笑
[00:02:46.920 --> 00:02:48.320]  接著他又答嘴了
[00:02:48.320 --> 00:02:49.120]  他說不單止這樣
[00:02:49.120 --> 00:02:50.040]  我有一次
[00:02:50.040 --> 00:02:51.720]  我吃完飯回來
[00:02:51.720 --> 00:02:53.400]  中午吃完飯回來
[00:02:53.400 --> 00:02:55.320]  我隔壁位的人跟我說
[00:02:55.320 --> 00:02:56.280]  他說
[00:02:56.280 --> 00:02:58.120]  聖靈打電話給你
[00:02:58.120 --> 00:02:59.640]  你打回給他
[00:02:59.640 --> 00:03:00.680]  聖靈打給你
[00:03:00.680 --> 00:03:01.760]  你打回給他
