
[00:00:00.000 --> 00:00:01.720]  我們先聽聽神的話語
[00:00:01.720 --> 00:00:03.120]  我們先低頭祈禱
[00:00:03.120 --> 00:00:05.120]  天問求你自己親自用你的話語
[00:00:05.120 --> 00:00:06.920]  成為我們生命的幫助和激勵
[00:00:06.920 --> 00:00:08.920]  讓你的說話成為我們的提醒
[00:00:08.920 --> 00:00:12.320]  教導我們學習謙卑和如何回應神的呼召
[00:00:12.320 --> 00:00:13.760]  帶領我們以後的時間
[00:00:13.760 --> 00:00:15.400]  祈禱拉奉主德聖的名
[00:00:15.400 --> 00:00:16.400]  Amen
[00:00:16.400 --> 00:00:18.400]  在星期六的早上
[00:00:18.400 --> 00:00:19.800]  我每一次的講道
[00:00:19.800 --> 00:00:21.000]  至少在這一年裡面
[00:00:21.000 --> 00:00:23.400]  是會講耶穌基督的比喻
[00:00:23.400 --> 00:00:26.400]  今天是講第十一個比喻
[00:00:26.400 --> 00:00:28.400]  就是王的成言
[00:00:28.400 --> 00:00:30.400]  這個比喻是什麼呢?
[00:00:30.400 --> 00:00:34.800]  就是跟神的子民猶太人有關係
[00:00:34.800 --> 00:00:39.200]  特別因為他們拒絕了神主耶穌基督的救贖
[00:00:39.200 --> 00:00:43.000]  所以福音臨到外邦人的身上
[00:00:43.000 --> 00:00:46.200]  耶穌基督就是因應這些人的拒絕
[00:00:46.200 --> 00:00:49.600]  所以他講了一系列的比喻
[00:00:49.600 --> 00:00:53.800]  今天王的成言是這個系列比喻裡面的第三個
[00:00:53.800 --> 00:00:57.400]  這三個比喻都跟飲宴有關
[00:00:57.400 --> 00:00:59.000]  我們看第一個比喻
[00:00:59.000 --> 00:01:01.000]  就是爭坐首位
[00:01:01.000 --> 00:01:02.000]  很簡單
[00:01:02.000 --> 00:01:04.600]  耶穌就教導我們做人的道理
[00:01:04.600 --> 00:01:06.600]  當你去飲宴的時候
[00:01:06.600 --> 00:01:09.000]  不要想著坐最高的位置
