
[00:00:00.000 --> 00:00:02.040]  童福第一個猜出去的宣教史
[00:00:02.040 --> 00:00:04.040]  就是十年前
[00:00:04.040 --> 00:00:05.160]  就是2010年
[00:00:05.160 --> 00:00:06.440]  就是在星月
[00:00:06.440 --> 00:00:08.360]  去到一個穆斯林的地區
[00:00:08.360 --> 00:00:09.760]  在那裏服侍的時候
[00:00:09.760 --> 00:00:11.920]  其實是遇見很多的挑戰
[00:00:11.920 --> 00:00:14.520]  因爲不要說全福音侍奉
[00:00:14.520 --> 00:00:17.160]  生活也是一個挑戰
[00:00:17.160 --> 00:00:18.400]  買東西喫
[00:00:18.400 --> 00:00:20.280]  滷麪
[00:00:20.280 --> 00:00:21.280]  有病的時候
[00:00:21.280 --> 00:00:21.800]  怎麼辦?
[00:00:21.800 --> 00:00:22.840]  沒有中醫的
[00:00:22.840 --> 00:00:25.240]  怎麼看呢?
[00:00:25.240 --> 00:00:26.720]  很多東西的挑戰
[00:00:26.720 --> 00:00:28.720]  但是就在這些時間裏面
[00:00:28.720 --> 00:00:31.240]  往往看到上帝很奇妙地去工作
[00:00:31.240 --> 00:00:34.040]  所以說到宣教這件事
[00:00:34.040 --> 00:00:35.640]  其實很簡單
[00:00:35.640 --> 00:00:37.800]  特別在保羅的書信裏面
[00:00:37.800 --> 00:00:39.640]  就在講一個信息
[00:00:39.640 --> 00:00:40.840]  In Christ
[00:00:40.840 --> 00:00:42.240]  在基督內
[00:00:42.240 --> 00:00:44.360]  我們今天在基督裏面
[00:00:44.360 --> 00:00:49.040]  我們真的是一個宣教士
[00:00:49.040 --> 00:00:51.280]  我們有責任去宣揚
[00:00:51.280 --> 00:00:52.680]  那召我們出黑暗
[00:00:52.680 --> 00:00:54.600]  入奇妙光明正業美德
[00:00:54.600 --> 00:00:56.160]  這件事是推不了的
[00:00:56.160 --> 00:00:58.000]  我們在基督裏面就是宣教士
[00:00:58.000 --> 00:01:00.560]  而在基督以外
[00:01:00.560 --> 00:01:02.000]  就是宣教的工廠
[00:01:02.000 --> 00:01:03.520]  大家要想這件事
[00:01:03.520 --> 00:01:06.480]  我們是隱藏不了這個身份
[00:01:06.480 --> 00:01:08.160]  如果你是一個音樂人
[00:01:08.160 --> 00:01:09.600]  你到哪裏都可以去街頭表演
[00:01:09.600 --> 00:01:10.760]  你拿到一些不同的東西
[00:01:10.760 --> 00:01:12.920]  塞波蘭餐你也可以在廚房裏
[00:01:12.920 --> 00:01:14.480]  弄一些音樂
[00:01:14.480 --> 00:01:18.360]  如果你是一個很優雅的藝術家
[00:01:18.360 --> 00:01:20.280]  你去哪裏的東西都會很漂亮
[00:01:20.280 --> 00:01:21.400]  很酷的
[00:01:21.400 --> 00:01:23.800]  我想問有人沒有試過
[00:01:23.800 --> 00:01:25.640]  離開家裏出來住
[00:01:25.640 --> 00:01:26.400]  住過宿舍也好
