
[00:00:00.000 --> 00:00:09.640]  感謝崇基禮拜堂每年一度都給我邀請分享港台
[00:00:09.640 --> 00:00:12.920]  多謝高牧師的安排
[00:00:12.920 --> 00:00:16.560]  我感到十分榮耀
[00:00:16.560 --> 00:00:21.720]  因為能夠分享崇基禮拜堂的港台
[00:00:21.720 --> 00:00:25.800]  在我心目中的感受
[00:00:25.800 --> 00:00:31.800]  遠超過各位電影姊妹朋友的感受
[00:00:31.800 --> 00:00:34.360]  你看見我只不過是一個港元
[00:00:34.360 --> 00:00:37.200]  但我站在這個港台的時候
[00:00:37.200 --> 00:00:39.200]  真的是戰戰兢兢
[00:00:39.200 --> 00:00:43.800]  這個港台不是一個簡單的港台
[00:00:43.800 --> 00:00:47.520]  因為崇基禮拜堂、崇基學院
[00:00:47.520 --> 00:00:50.360]  在香港的歷史當中
[00:00:50.360 --> 00:00:53.920]  是佔一個很重要的角色
[00:00:53.920 --> 00:01:00.000]  今年如果大家有留意崇基學院的新聞的話
[00:01:00.000 --> 00:01:07.920]  你就知道今年是崇基學院慶祝75週年的慶典
[00:01:07.920 --> 00:01:13.120]  過去的75年比中文大學的歷史還要久
[00:01:13.120 --> 00:01:17.720]  75年不是一個短暫的時間
[00:01:17.720 --> 00:01:22.160]  所以崇基學院大我一年
[00:01:22.160 --> 00:01:26.120]  所以我和崇基學院都是親兄親弟
[00:01:26.120 --> 00:01:29.520]  我們在地上一同成長
[00:01:29.520 --> 00:01:33.120]  所以今年聽到崇基學院的75週年
[00:01:33.120 --> 00:01:35.640]  就是我這個哥哥的生日
[00:01:35.640 --> 00:01:38.640]  我這個做弟弟的真的感到很榮幸
[00:01:38.640 --> 00:01:41.840]  所以那個嘉年華會我也衝下去
[00:01:41.840 --> 00:01:46.280]  1月底的時候也去參加去感受一下
[00:01:46.280 --> 00:01:49.720]  所以崇基學院的成立
[00:01:49.720 --> 00:01:51.720]  這個禮拜堂的存在
[00:01:51.720 --> 00:01:57.600]  在香港的基督教歷史上
[00:01:57.600 --> 00:02:00.680]  是一個很重要的傳統
[00:02:00.680 --> 00:02:05.800]  我感謝有這個75週年紀念
[00:02:05.800 --> 00:02:10.600]  因為傳統傳下傳下就可能不是很統
[00:02:10.600 --> 00:02:15.440]  因為很多時間的改變
[00:02:15.440 --> 00:02:17.440]  政治、經濟
[00:02:17.440 --> 00:02:20.160]  我們活在一個傳統當中
[00:02:20.160 --> 00:02:24.080]  我們有時久不久要重新去想一想
[00:02:24.080 --> 00:02:26.760]  這個75年裡面
[00:02:26.760 --> 00:02:32.080]  崇基學院帶給我們每一個在香港生活的人
[00:02:32.080 --> 00:02:35.760]  我們成長當中的經歷
[00:02:35.760 --> 00:02:38.280]  所以我覺得傳統是我們需要有時
[00:02:38.280 --> 00:02:39.480]  我們要再去想一想
[00:02:39.480 --> 00:02:40.680]  我們再去看看
[00:02:40.680 --> 00:02:41.520]  我們更新
[00:02:41.520 --> 00:02:42.560]  我們重溫一下
[00:02:42.560 --> 00:02:46.600]  以致我們對於傳統本身的意義
[00:02:46.600 --> 00:02:48.520]  是更加的深刻
[00:02:48.520 --> 00:02:49.960]  所以在這個傳統當中
[00:02:49.960 --> 00:02:51.680]  我就揀選了一段經文
[00:02:51.680 --> 00:02:53.400]  剛才列出來的
[00:02:53.400 --> 00:02:59.360]  就是一個很傳統式的一段經文
[00:02:59.360 --> 00:03:02.600]  就是耶穌和門徒洗腳
[00:03:02.600 --> 00:03:04.600]  在座的弟兄姊妹們
[00:03:04.600 --> 00:03:06.800]  我相信對這段經文
[00:03:06.800 --> 00:03:09.280]  或者對這個故事是不陌生的
