
[00:00:00.000 --> 00:00:02.960]  我們一起禱告好嗎
[00:00:02.960 --> 00:00:05.960]  我們在天上的父神我們滿心的感謝祢
[00:00:05.960 --> 00:00:09.460]  感謝祢是祢自己的恩典把我們能夠聚集在一起
[00:00:09.460 --> 00:00:13.960]  也是祢自己的恩典能夠招聚我們在一起
[00:00:13.960 --> 00:00:15.460]  讓我們一起來敬拜祢
[00:00:15.460 --> 00:00:17.460]  讓我們也聽祢自己的話
[00:00:17.460 --> 00:00:18.460]  主我們謝謝祢
[00:00:18.460 --> 00:00:21.460]  我們把今天這一段時間都仰望在祢的手中
[00:00:21.460 --> 00:00:24.460]  主祢自己在我們每一個人的心中動功
[00:00:24.460 --> 00:00:27.960]  主祢自己的話在人的心裡面做祢自己的工作
[00:00:27.960 --> 00:00:31.960]  因為祢告訴我們祢的話語一出口絕不突然返回
[00:00:31.960 --> 00:00:34.960]  主我們憑著這個應許來到祢面前
[00:00:34.960 --> 00:00:37.960]  我們謝謝祢禱告奉耶穌基督的聖名
[00:00:37.960 --> 00:00:38.960]  Amen
[00:00:38.960 --> 00:00:41.960]  各位姐妹平安
[00:00:41.960 --> 00:00:45.960]  我們繼續講在人際或者是說關係上
[00:00:45.960 --> 00:00:48.960]  其實最主要就是人際關係
[00:00:48.960 --> 00:00:52.960]  怎麼樣在神的家裡面做一個好管家
[00:00:52.960 --> 00:00:54.960]  上個主日我們講的是
[00:00:54.960 --> 00:00:57.960]  神從一個人造出萬族的人
[00:00:57.960 --> 00:01:00.960]  這是最先一個最原始的一個關係
[00:01:00.960 --> 00:01:02.960]  就像我們人生下來之後
[00:01:02.960 --> 00:01:05.960]  最原生的一個關係是什麼
[00:01:05.960 --> 00:01:07.960]  就是親子之間的關係
[00:01:07.960 --> 00:01:10.960]  就是父母親和子女之間的關係
[00:01:10.960 --> 00:01:11.960]  那麼我們跟神之間呢
[00:01:11.960 --> 00:01:14.960]  就好像這個親子之間的關係一樣
[00:01:14.960 --> 00:01:17.960]  在路加福音第三章那邊告訴我們說
[00:01:17.960 --> 00:01:20.960]  他從主耶穌的家譜一直往上推
[00:01:20.960 --> 00:01:22.960]  推到最後推到亞當
[00:01:22.960 --> 00:01:24.960]  他怎麼稱呼亞當呢
[00:01:24.960 --> 00:01:26.960]  他說亞當是神的兒子
[00:01:26.960 --> 00:01:30.960]  所以人是神造的
[00:01:30.960 --> 00:01:31.960]  因為人是神造的
[00:01:31.960 --> 00:01:34.960]  所以我們可以說是從神
[00:01:34.960 --> 00:01:36.960]  祂把我們造出來
[00:01:36.960 --> 00:01:38.960]  然後我們是屬於祂的
[00:01:38.960 --> 00:01:42.960]  那創世紀第一章第三章
[00:01:42.960 --> 00:01:45.960]  很明顯的記載我們上次講過
[00:01:45.960 --> 00:01:48.960]  神照著祂自己的形象和樣式
[00:01:48.960 --> 00:01:49.960]  造男造女
[00:01:49.960 --> 00:01:53.960]  這是我們上次提到的一個歷史上的事實
[00:01:53.960 --> 00:01:55.960]  神照著祂自己的形象和樣式
[00:01:55.960 --> 00:01:57.960]  造男造女
[00:01:57.960 --> 00:01:59.960]  所以人是很尊貴的
[00:01:59.960 --> 00:02:01.960]  那麼人這個男女之間呢
[00:02:01.960 --> 00:02:06.960]  在神的面前也是完全一樣的
[00:02:06.960 --> 00:02:08.960]  那接下去我們也看到另外一個事實
[00:02:08.960 --> 00:02:10.960]  歷史上的事實
[00:02:10.960 --> 00:02:15.960]  就是神好像建立了一個親子之間的關係
[00:02:15.960 --> 00:02:18.960]  他就建立了一個教導的原則
[00:02:18.960 --> 00:02:20.960]  一個教導的關係
[00:02:20.960 --> 00:02:23.960]  他用知道善惡術來教導人
[00:02:23.960 --> 00:02:26.960]  讓我們人知道我們人是被造的
[00:02:26.960 --> 00:02:28.960]  我們需要聽他的
[00:02:28.960 --> 00:02:29.960]  今天我們也聽到了
