
[00:00:00.000 --> 00:00:07.000]  如果我們對別人說,你都沒有魂魄的,這句話都挺咒人的。
[00:00:07.000 --> 00:00:16.000]  如果對一個基督徒說,你都沒有愛心的,那都是有點過份的。
[00:00:16.000 --> 00:00:26.000]  如果對教會說,教會沒有愛心,那這個教會差不多可以說是玩完,因為神就是愛。
[00:00:26.000 --> 00:00:35.000]  那到底是不是真的沒有愛心呢?老實說,很多不信主的朋友來到教會裏面,地方教會裏面,
[00:00:35.000 --> 00:00:41.000]  其實第一個感受覺得挺好的,每天都來,嘩,這麼差。
[00:00:41.000 --> 00:00:49.000]  不過當然,有些人回到教會一段時間之後,因為人的問題,搞到他很不開心走了,
[00:00:49.000 --> 00:00:57.000]  教會這麼差,我也遇見過,還有我今天碰到一些人,他不信主的原因,
[00:00:57.000 --> 00:01:05.000]  不是因為外面的人叫他不信主,是因為教會的人令他不信主,真的有這樣的人,所以凡是半島人都要小心。
[00:01:05.000 --> 00:01:12.000]  今天跟大家看這個題目,回到他愛心的教會,其實不是我拿話題來說,
[00:01:12.000 --> 00:01:19.000]  不是我想在這裏講一些東西,激鼓勵一下大家,當然今天早上有弟兄反應給我聽,
[00:01:19.000 --> 00:01:27.000]  感謝神,一個很好的提醒。其實因為我上一次講完啟示錄,
[00:01:27.000 --> 00:01:34.000]  七個蒙福之道,講了一個福,凡是讀者書上預言,聽見有遵守的,是有福的。
[00:01:34.000 --> 00:01:44.000]  接著六個我還沒講,本來想上一堂講完七個,其實真的做不到,一個字講都講不完。
[00:01:44.000 --> 00:01:52.000]  後來有一個姊妹散會,問我牧師其他在哪裏,那些經文我想遲些可以列出給大家看,啟示錄很容易找到。
[00:01:52.000 --> 00:02:00.000]  而我原先在去年安排了給教會整年的半年裏,今天是講到第一個教會。
[00:02:00.000 --> 00:02:09.000]  所以我就看回,剛好師班全部準備,聖歌團都準備了所有的詩歌,
[00:02:09.000 --> 00:02:15.000]  所以我就回到這個題目,看回這七個教會。當我再看這七個教會的時候,
[00:02:15.000 --> 00:02:25.000]  我問了自己幾個問題,第一個問題就是,是不是對七個地方教會講的話,今天就對我們講呢?
[00:02:25.000 --> 00:02:34.000]  第二個問題就是,如果昔日已不鎖教會的情況,跟我們來比較一下,我們是不是這樣的呢?
[00:02:34.000 --> 00:02:42.000]  第三個問題就是,為什麼教會會失去愛心?當然指教會裏面的人,到底這個愛是什麼愛?
[00:02:42.000 --> 00:02:54.000]  難道我們沒有善行?我不相信,我相信今天教會的捐款,教會的善行,比昔日的教會做得更加多,更加廣闊。
[00:02:54.000 --> 00:03:04.000]  為什麼神對教會說他沒有愛心呢?第四個問題,我們就問這個問題,如果沒有了這個愛心的教會,是怎樣養的教會呢?
[00:03:04.000 --> 00:03:13.000]  我們今天,如果仍然有愛心,那就更好,對我們無關係呢?最後,若然我們真的失去了這個愛心,
[00:03:13.000 --> 00:03:28.000]  我們就重拾這個愛心,我們一起去祈禱。天父,我們相信今天早上,我們有生命氣息,能夠到你面前的聚集,是你的恩典,是愛的焦聚。
[00:03:28.000 --> 00:03:37.000]  主恩,祢知道我們的需要,昔日祢怎樣透過祢的僕人,使徒約翰,向當地七個教會傳遞的訊息,
[00:03:37.000 --> 00:03:46.000]  求今日聖靈都在我們心中,向我們每個人講說話,讓我們認識到我們的光景,以致我們成為燈台上的燈。
[00:03:46.000 --> 00:03:56.000]  所以,聽我們的禱告,賜福我們日的時間,按照我們需要給予我們,讓我們能夠成為一個你所喜愛的人,奉耶穌基督,明治祈求。
[00:03:56.000 --> 00:04:07.000]  當時,徒約翰在白魔海島受聖靈的感動,寫信給七個教會的時候,
[00:04:07.000 --> 00:04:29.000]  二佛所、侍妹娜、別加摩、推亞、推乃、撒迪、菲拉、鐵菲、魯迪加,當然在歷史歷代裡面去考究這些聖經或者文學著作的時候,說當時地方上的確有七個地方,一會兒給大家看一看,有這個新的地方,快點打出來給大家看一看。
[00:04:37.000 --> 00:04:57.000]  土耳其,一隻腳,一隻靴踢球,踢一個三角形的那個是意大利,意大利旁邊就是希臘,希臘旁邊就是土耳其,這個地方是土耳其的西部,今天土耳其的西部。
[00:04:57.000 --> 00:05:14.000]  另外一幅圖看一看,很清楚一點,下一幅,亞西亞這個字,亞洲就是指我們現在亞洲,當時的社會,羅馬帝國時代,亞西亞就是指這個地方。
[00:05:27.000 --> 00:05:54.000]  以弗所指,主侯三十年到一百年的時候,那個仕途建立的教會,那段時代。
[00:05:57.000 --> 00:06:08.000]  接下來就是主侯一百年到三百年,就是羅馬帝國對基督教殘酷的時間,很多人送去兜售場,很多基督徒殉道,那個時段。
